state_id,episode,task_id,horizon,coupling,reference_advantage,load,requirement,safe_set_bin,S0_raw,S0_normalized,S1_raw,S1_normalized,S2_raw,S2_normalized,S3_raw,S3_normalized
ep001_task038,1,38,10,easy,0.1614599055063195,low,0.99,16-28,-38.20366668701172,-0.5200686454772949,-42.372406005859375,-0.3653409779071808,-39.064453125,-0.5432208776473999,-48.58418273925781,-0.42682042717933655
ep001_task038,1,38,20,easy,0.1614599055063195,low,0.99,16-28,-38.20366668701172,-0.5200686454772949,-42.372406005859375,-0.3653409779071808,-39.064453125,-0.5432208776473999,-48.58418273925781,-0.42682042717933655
ep001_task038,1,38,50,easy,0.1614599055063195,low,0.99,16-28,-38.20366668701172,-0.5200686454772949,-42.372406005859375,-0.3653409779071808,-39.064453125,-0.5432208776473999,-48.58418273925781,-0.42682042717933655
ep001_task051,1,51,5,coupled,3.109423539347546,medium,0.999,16-28,2.8200721740722656,0.037866782397031784,-31.68280792236328,-0.2206590175628662,2.0541343688964844,0.014672582969069481,-38.174049377441406,-0.28651708364486694
ep001_task051,1,51,10,coupled,3.109423539347574,medium,0.999,16-28,2.8200721740722656,0.037866782397031784,-31.68280792236328,-0.2206590175628662,2.0541343688964844,0.014672582969069481,-38.174049377441406,-0.28651708364486694
ep001_task051,1,51,20,coupled,3.109423539347574,medium,0.999,16-28,2.8200721740722656,0.037866782397031784,-31.68280792236328,-0.2206590175628662,2.0541343688964844,0.014672582969069481,-38.174049377441406,-0.28651708364486694
ep001_task051,1,51,50,coupled,3.109423539347574,medium,0.999,16-28,2.8200721740722656,0.037866782397031784,-31.68280792236328,-0.2206590175628662,2.0541343688964844,0.014672582969069481,-38.174049377441406,-0.28651708364486694
ep001_task063,1,63,5,easy,-2.7114062033073765,low,0.999,16-28,-59.22037887573242,-0.805902361869812,-71.60163879394531,-0.7609538435935974,-60.538002014160156,-0.8345721364021301,-76.67494201660156,-0.8054157495498657
ep001_task063,1,63,10,easy,-2.7114062033073765,low,0.999,16-28,-59.22037887573242,-0.805902361869812,-71.60163879394531,-0.7609538435935974,-60.538002014160156,-0.8345721364021301,-76.67494201660156,-0.8054157495498657
ep001_task063,1,63,20,easy,-2.7114062033074333,low,0.999,16-28,-59.22037887573242,-0.805902361869812,-71.60163879394531,-0.7609538435935974,-60.538002014160156,-0.8345721364021301,-76.67494201660156,-0.8054157495498657
ep001_task063,1,63,50,easy,-2.7114062033073765,low,0.999,16-28,-59.22037887573242,-0.805902361869812,-71.60163879394531,-0.7609538435935974,-60.538002014160156,-0.8345721364021301,-76.67494201660156,-0.8054157495498657
ep001_task076,1,76,5,easy,0.3171402241027294,medium,0.9999,16-28,-35.95174026489258,-0.48944175243377686,-47.30662155151367,-0.4321247637271881,-37.18505096435547,-0.5177212953567505,-59.385040283203125,-0.5723897814750671
