horizon,requirement,state_variant,advantage_type,n,nonzero_reference_count,pearson,spearman,sign_agreement
20,0.9999,S1,normalized,260,235,0.11032067019834135,0.15982236481812803,0.4297872340425532
20,0.9999,S1,raw,260,235,0.11292343388634463,0.15217103619671218,0.451063829787234
20,0.9999,S2,normalized,260,235,0.081558051571714,0.13719659065790138,0.4595744680851064
20,0.9999,S2,raw,260,235,0.08577370141395135,0.1407425279626329,0.46382978723404256
20,0.9999,S3,normalized,260,235,0.08737222200045831,0.13796435331205228,0.43829787234042555
20,0.9999,S3,raw,260,235,0.08981502113059503,0.1360452882081048,0.44680851063829785
50,0.9,S0,normalized,300,300,0.20356678486256755,0.21709293768738083,0.57
50,0.9,S0,raw,300,300,0.2105298090530182,0.2142966747639817,0.5666666666666667
50,0.9,S1,normalized,300,300,0.1929517321476549,0.21384689043934052,0.5833333333333334
50,0.9,S1,raw,300,300,0.2150409298109662,0.22118144164229597,0.5733333333333334
50,0.9,S2,normalized,300,300,0.20171528227706984,0.225677507085053,0.5666666666666667
50,0.9,S2,raw,300,300,0.20744226760908885,0.21777005865436783,0.5633333333333334
50,0.9,S3,normalized,300,300,0.1915911174775481,0.22007742557272222,0.5866666666666667
50,0.9,S3,raw,300,300,0.2129488548965198,0.2252090558220374,0.5733333333333334
50,0.99,S0,normalized,220,220,0.10022874496497264,0.03901741356614516,0.509090909090909
50,0.99,S0,raw,220,220,0.10318628058711352,0.054126672824579614,0.5045454545454545
50,0.99,S1,normalized,220,220,0.09504230161303112,0.03445454349992318,0.4863636363636364
50,0.99,S1,raw,220,220,0.08201038188278338,0.029062163153661842,0.5
50,0.99,S2,normalized,220,220,0.09701730661781141,0.036430265675071294,0.509090909090909
50,0.99,S2,raw,220,220,0.0991677778706373,0.0526913720886691,0.509090909090909
50,0.99,S3,normalized,220,220,0.10179496417707873,0.04197479804280725,0.5
50,0.99,S3,raw,220,220,0.08812750001079521,0.04272597820808747,0.5045454545454545
50,0.999,S0,normalized,220,220,0.1525067392707299,0.15560543764206047,0.5409090909090909
50,0.999,S0,raw,220,220,0.12661713593955054,0.12739053419319862,0.5454545454545454
50,0.999,S1,normalized,220,220,0.1532412051135433,0.1616929054768961,0.5272727272727272
50,0.999,S1,raw,220,220,0.13304417343379266,0.13460443433404518,0.5363636363636364
50,0.999,S2,normalized,220,220,0.12743654719715652,0.15369856074183982,0.5409090909090909
50,0.999,S2,raw,220,220,0.09772480001447567,0.12374301227383447,0.55
50,0.999,S3,normalized,220,220,0.131091264039984,0.15841391118541145,0.5318181818181819
50,0.999,S3,raw,220,220,0.1060018415648877,0.12909567884451884,0.5454545454545454
50,0.9999,S0,normalized,260,235,0.10792867206059666,0.16283808734310692,0.4425531914893617
50,0.9999,S0,raw,260,235,0.11178909560595154,0.1653327549858892,0.46382978723404256
50,0.9999,S1,normalized,260,235,0.11032067019834133,0.15982236481812803,0.4297872340425532
50,0.9999,S1,raw,260,235,0.11292343388634467,0.15217103619671218,0.451063829787234
50,0.9999,S2,normalized,260,235,0.08155805157171411,0.13719659065790138,0.4595744680851064
50,0.9999,S2,raw,260,235,0.08577370141395149,0.1407425279626329,0.46382978723404256
50,0.9999,S3,normalized,260,235,0.0873722220004584,0.13796435331205228,0.43829787234042555
50,0.9999,S3,raw,260,235,0.0898150211305951,0.1360452882081048,0.44680851063829785
