dataset_index,neighbor_index,episode,neighbor_episode,task_id,neighbor_task_id,s0_distance,pair_reliability_distance,effective_mask_hamming,safe_mask_hamming,policy_probability_tv,flight_standardized_distance,inflight_workload_standardized_distance,backlog_observation_distance,return_gap,mask_alias,flight_alias,close_s0_neighbor,flight_queue_change_gap,next_task_backlog_gap,realized_latency_gap
13,44413,1,223,14,14,0.08607244185091358,0.003399775365895259,0,0,0.0053627966,0.0,0.0,0.086072445,20.80098342042396,False,False,False,1.2020088181050044,1.7688285724285002,0.10426314171503392
14,44014,1,221,15,15,0.15554549479352686,0.0004727446797756144,0,0,0.0117189875,0.0,0.0,0.15554549,20.862639255429315,False,False,False,0.4906331245754676,1.2318940043459214,0.030974565714593894
15,20215,1,102,16,16,0.0,0.0005622277973837891,0,0,0.0,8.727784462192718,1.8992975829365513,0.0,143.94646445960075,False,True,True,0.6519469499257632,0.6519469499257632,0.21187697763419422
16,44416,1,223,17,17,0.06146645497605948,0.0026267665942531636,0,0,0.003912349,0.0,0.0,0.061466455,70.09496249841226,False,False,False,0.03501172935118724,0.3533723710748503,0.0
17,44017,1,221,18,18,0.08117210119962692,0.01117710877821625,0,0,0.0070938654,4.261999472815811,1.8351510145368943,0.0811721,132.44382974495022,False,True,False,0.7504166043706845,1.1037889754455348,0.2376270998497425
18,56818,1,285,19,19,0.0306526281116944,0.02251939695590805,0,0,0.001905201,0.0,0.0,0.03065263,4.045173235920856,False,False,False,0.42193484313302854,0.640332013939739,0.03427355978828217
19,3279,1,17,20,80,0.1382982771443119,0.006244898325014112,11,11,0.5608783,0.0,0.0,0.015173875,52.96984483773559,True,False,False,5.408712497126992,5.385149169498915,0.4635776847210735
20,3220,1,17,21,21,0.08153804391622543,0.018434273944431066,0,0,0.0075206757,4.364875330605619,1.9878644813082162,0.081538044,85.1454547158749,False,True,False,1.7389626885564624,1.2744470745996632,0.0
21,40621,1,204,22,22,0.034663090036785124,0.018525697009298032,0,0,0.0017347368,0.0,0.0,0.03466309,160.23521848394472,False,False,False,4.692457774396942,4.900698869268168,0.0
22,42622,1,214,23,23,0.054216213811603985,0.0011735041186844795,0,0,0.0037876703,0.0,0.0,0.054216214,40.664542643352604,False,False,False,1.542802738357322,1.3272503284134674,0.07178474365160525
23,19023,1,96,24,24,0.0,0.014686781353069132,0,0,0.0,0.0,0.0,0.0,33.90155344809574,False,False,True,0.09066177210256487,0.09066177210256487,0.6306196978978846
24,39389,1,197,25,190,0.27024335474364936,0.011660254493384028,12,12,0.6981088,0.0,0.0,0.10281729,73.07847688647325,True,False,False,0.3089419195975114,0.9145902048005188,0.5200214095528608
25,3313,1,17,26,114,0.21788759847916342,0.008673505513264259,12,12,0.5755048,5.493595240369707,3.9324664597219163,0.1860623,73.12855987895404,True,True,False,1.5502134982715932,1.249853094147844,0.20335858818987873
26,28426,1,143,27,27,0.1098480143185039,0.020077507765458205,1,1,0.012907561,0.0,0.0,0.109848015,88.17940292053706,True,False,False,3.0511100358723655,3.91614806287315,0.018661172193517928
27,57627,1,289,28,28,0.1462688937147513,0.009909920273836614,0,0,0.008315431,0.0,0.0,0.14626889,37.25076617087507,False,False,False,3.9837268498438103,4.506228623868472,0.6963934647855297
28,40628,1,204,29,29,0.2088779141816217,0.011617868215559261,1,1,0.022266688,11.992236506500662,3.8224304102946056,0.20887792,119.68009232759061,True,True,False,5.45428554614698,6.278941298179697,0.7903852246039378
29,49229,1,247,30,30,0.0,0.039776103282807194,8,8,0.6570477,10.509575357070062,6.4981316975008285,0.0,175.46037160800464,True,True,True,0.0,0.0,0.0
30,55230,1,277,31,31,0.0,0.01068854484926147,9,9,0.17643791,0.0,0.0,0.0,71.7379170389068,True,False,True,3.9296207504862544,3.9296207504862544,0.32042549930356046
