horizon,safe_set_bin,state_variant,advantage_type,n,nonzero_reference_count,pearson,spearman,sign_agreement
10,1-5,S0,normalized,55,37,0.14202590039376586,0.3465705733436916,0.2972972972972973
10,1-5,S0,raw,55,37,0.18401175560398278,0.44829259808952526,0.35135135135135137
10,1-5,S1,normalized,55,37,0.13431406043060226,0.2599003865161922,0.2972972972972973
10,1-5,S1,raw,55,37,0.1552448051061011,0.2883252698231772,0.32432432432432434
10,1-5,S2,normalized,55,37,0.10130029482801758,0.3029049580310235,0.2972972972972973
10,1-5,S2,raw,55,37,0.14450754092395934,0.4143296392850321,0.32432432432432434
10,1-5,S3,normalized,55,37,0.12673650798858718,0.3300077537423347,0.2972972972972973
10,1-5,S3,raw,55,37,0.15026608280022768,0.3223323007563402,0.32432432432432434
10,16-28,S0,normalized,840,840,0.16520201838248622,0.13995902292477966,0.5321428571428571
10,16-28,S0,raw,840,840,0.1648229464321431,0.13919046550268746,0.5345238095238095
10,16-28,S1,normalized,840,840,0.16447383332133325,0.13766550852607495,0.525
10,16-28,S1,raw,840,840,0.16393478583178683,0.13498682964329117,0.5321428571428571
10,16-28,S2,normalized,840,840,0.1523494142482302,0.13867343725258616,0.5345238095238095
10,16-28,S2,raw,840,840,0.15015938909324433,0.1374843654100607,0.5380952380952381
10,16-28,S3,normalized,840,840,0.15318734490670602,0.1396270149457968,0.530952380952381
10,16-28,S3,raw,840,840,0.15094487687529762,0.13685532483299517,0.5357142857142857
10,6-15,S0,normalized,98,98,0.0806231247236384,0.09811347219300089,0.4897959183673469
10,6-15,S0,raw,98,98,0.04707920823114097,0.06224537288436315,0.4897959183673469
10,6-15,S1,normalized,98,98,0.05996065352280534,0.06883690683396132,0.47959183673469385
10,6-15,S1,raw,98,98,0.04589520227533625,0.0668094791806132,0.47959183673469385
10,6-15,S2,normalized,98,98,0.05695455163326871,0.06559812303553098,0.5
10,6-15,S2,raw,98,98,0.023698244464995362,0.03398853660212434,0.47959183673469385
10,6-15,S3,normalized,98,98,0.05275291146682849,0.04698149175321487,0.5
10,6-15,S3,raw,98,98,0.03687758667629691,0.04700699398784818,0.46938775510204084
10,empty,S0,normalized,7,0,,,
10,empty,S0,raw,7,0,,,
10,empty,S1,normalized,7,0,,,
10,empty,S1,raw,7,0,,,
10,empty,S2,normalized,7,0,,,
10,empty,S2,raw,7,0,,,
10,empty,S3,normalized,7,0,,,
10,empty,S3,raw,7,0,,,
20,1-5,S0,normalized,55,37,0.14202590039376728,0.3465705733436916,0.2972972972972973
20,1-5,S0,raw,55,37,0.18401175560398397,0.44829259808952526,0.35135135135135137
20,1-5,S1,normalized,55,37,0.13431406043060365,0.2599003865161922,0.2972972972972973
20,1-5,S1,raw,55,37,0.15524480510610228,0.2883252698231772,0.32432432432432434
20,1-5,S2,normalized,55,37,0.10130029482801914,0.3029049580310235,0.2972972972972973
20,1-5,S2,raw,55,37,0.14450754092396054,0.4143296392850321,0.32432432432432434
20,1-5,S3,normalized,55,37,0.1267365079885886,0.3300077537423347,0.2972972972972973
20,1-5,S3,raw,55,37,0.15026608280022888,0.3223323007563402,0.32432432432432434
20,16-28,S0,normalized,840,840,0.1654435324389502,0.1396168376942874,0.5321428571428571
20,16-28,S0,raw,840,840,0.164918041068414,0.13876945137083874,0.5345238095238095
20,16-28,S1,normalized,840,840,0.16467934271825077,0.13729082763179104,0.525
20,16-28,S1,raw,840,840,0.16403556962612617,0.1345425720140626,0.5321428571428571
20,16-28,S2,normalized,840,840,0.1526907758683437,0.13834901785450257,0.5345238095238095
20,16-28,S2,raw,840,840,0.15035238990549663,0.13706780512388383,0.5380952380952381
20,16-28,S3,normalized,840,840,0.15345114895422457,0.13927453443604337,0.530952380952381
20,16-28,S3,raw,840,840,0.15109823129388972,0.13641530915140562,0.5357142857142857
20,6-15,S0,normalized,98,98,0.08062312472363815,0.09811347219300089,0.4897959183673469
20,6-15,S0,raw,98,98,0.04707920823114072,0.06224537288436315,0.4897959183673469
20,6-15,S1,normalized,98,98,0.05996065352280511,0.06883690683396132,0.47959183673469385
20,6-15,S1,raw,98,98,0.04589520227533602,0.0668094791806132,0.47959183673469385
20,6-15,S2,normalized,98,98,0.056954551633268465,0.06559812303553098,0.5
20,6-15,S2,raw,98,98,0.023698244464995123,0.03398853660212434,0.47959183673469385
20,6-15,S3,normalized,98,98,0.05275291146682829,0.04698149175321487,0.5
20,6-15,S3,raw,98,98,0.03687758667629671,0.04700699398784818,0.46938775510204084
20,empty,S0,normalized,7,0,,,
20,empty,S0,raw,7,0,,,
20,empty,S1,normalized,7,0,,,
20,empty,S1,raw,7,0,,,
20,empty,S2,normalized,7,0,,,
20,empty,S2,raw,7,0,,,
20,empty,S3,normalized,7,0,,,
20,empty,S3,raw,7,0,,,
50,1-5,S0,normalized,55,37,0.14202590039376575,0.3465705733436916,0.2972972972972973
50,1-5,S0,raw,55,37,0.1840117556039827,0.44829259808952526,0.35135135135135137
50,1-5,S1,normalized,55,37,0.13431406043060215,0.2599003865161922,0.2972972972972973
50,1-5,S1,raw,55,37,0.15524480510610106,0.2883252698231772,0.32432432432432434
50,1-5,S2,normalized,55,37,0.10130029482801749,0.3029049580310235,0.2972972972972973
50,1-5,S2,raw,55,37,0.14450754092395923,0.4143296392850321,0.32432432432432434
50,1-5,S3,normalized,55,37,0.12673650798858707,0.3300077537423347,0.2972972972972973
50,1-5,S3,raw,55,37,0.1502660828002276,0.3223323007563402,0.32432432432432434
50,16-28,S0,normalized,840,840,0.16544353243895032,0.13959063410788333,0.5321428571428571
50,16-28,S0,raw,840,840,0.16491804106841412,0.13872882236565862,0.5345238095238095
50,16-28,S1,normalized,840,840,0.16467934271825074,0.1372685215297562,0.525
50,16-28,S1,raw,840,840,0.16403556962612625,0.13449780280176132,0.5321428571428571
50,16-28,S2,normalized,840,840,0.15269077586834381,0.13832692430053625,0.5345238095238095
50,16-28,S2,raw,840,840,0.15035238990549682,0.13702827959928882,0.5380952380952381
50,16-28,S3,normalized,840,840,0.15345114895422465,0.13925741130216976,0.530952380952381
50,16-28,S3,raw,840,840,0.15109823129388986,0.13637823344544464,0.5357142857142857
50,6-15,S0,normalized,98,98,0.08062312472363865,0.09811347219300089,0.4897959183673469
50,6-15,S0,raw,98,98,0.04707920823114126,0.06224537288436315,0.4897959183673469
50,6-15,S1,normalized,98,98,0.05996065352280553,0.06883690683396132,0.47959183673469385
50,6-15,S1,raw,98,98,0.04589520227533643,0.0668094791806132,0.47959183673469385
50,6-15,S2,normalized,98,98,0.05695455163326885,0.06559812303553098,0.5
50,6-15,S2,raw,98,98,0.02369824446499557,0.03398853660212434,0.47959183673469385
50,6-15,S3,normalized,98,98,0.052752911466828645,0.04698149175321487,0.5
50,6-15,S3,raw,98,98,0.03687758667629709,0.04700699398784818,0.46938775510204084
50,empty,S0,normalized,7,0,,,
50,empty,S0,raw,7,0,,,
50,empty,S1,normalized,7,0,,,
50,empty,S1,raw,7,0,,,
50,empty,S2,normalized,7,0,,,
50,empty,S2,raw,7,0,,,
50,empty,S3,normalized,7,0,,,
50,empty,S3,raw,7,0,,,
