horizon,load,state_variant,advantage_type,n,nonzero_reference_count,pearson,spearman,sign_agreement
10,low,S1,normalized,398,389,0.0753845732092892,0.10652512883033241,0.519280205655527
10,low,S1,raw,398,389,0.0615473274027542,0.09099404093260732,0.5115681233933161
10,low,S2,normalized,398,389,0.04999363857184038,0.09246112339492668,0.5244215938303342
10,low,S2,raw,398,389,0.037565329600436556,0.0846190832662718,0.5038560411311054
10,low,S3,normalized,398,389,0.05305009210024205,0.09582889374923304,0.5269922879177378
10,low,S3,raw,398,389,0.035389148271830546,0.07998078660519035,0.506426735218509
10,medium,S0,normalized,299,291,0.09394058916090642,0.1202924855352759,0.5017182130584192
10,medium,S0,raw,299,291,0.09892160963665424,0.11701710730211969,0.5292096219931272
10,medium,S1,normalized,299,291,0.08913278923858496,0.11646874182626989,0.49828178694158076
10,medium,S1,raw,299,291,0.09811327212785809,0.11126230006927575,0.5154639175257731
10,medium,S2,normalized,299,291,0.09567640037650053,0.12260379102231053,0.49140893470790376
10,medium,S2,raw,299,291,0.10023946605935996,0.12109718886352872,0.5326460481099656
10,medium,S3,normalized,299,291,0.08837677078519925,0.11703371763581305,0.4948453608247423
10,medium,S3,raw,299,291,0.09673648695363665,0.11215611559315376,0.5257731958762887
20,high,S0,normalized,303,295,0.22668629941385632,0.22472651460222737,0.535593220338983
20,high,S0,raw,303,295,0.2217825926821344,0.22104337503835012,0.5389830508474577
20,high,S1,normalized,303,295,0.22356967151371024,0.22652063236354916,0.5152542372881356
20,high,S1,raw,303,295,0.22502774941730033,0.22209853542406618,0.5322033898305085
20,high,S2,normalized,303,295,0.20918839103212766,0.22167642813157917,0.5491525423728814
20,high,S2,raw,303,295,0.20525970083061054,0.2193273374200433,0.5423728813559322
20,high,S3,normalized,303,295,0.2174525383562302,0.2308586098119387,0.5322033898305085
20,high,S3,raw,303,295,0.21950978885639366,0.2333399191081933,0.535593220338983
20,low,S0,normalized,398,389,0.07134645404976848,0.1036466368362566,0.519280205655527
20,low,S0,raw,398,389,0.0622679611359575,0.09744731796615136,0.506426735218509
20,low,S1,normalized,398,389,0.07514232586000433,0.10578621130761703,0.519280205655527
20,low,S1,raw,398,389,0.06116937198049967,0.09020541524512488,0.5115681233933161
20,low,S2,normalized,398,389,0.04974042655561458,0.09174863841371653,0.5244215938303342
20,low,S2,raw,398,389,0.037162478390809,0.08376513486922928,0.5038560411311054
20,low,S3,normalized,398,389,0.0528119523573252,0.09514087420761803,0.5269922879177378
20,low,S3,raw,398,389,0.035014193924043854,0.07920089687850454,0.506426735218509
20,medium,S0,normalized,299,291,0.0939405891609068,0.1202924855352759,0.5017182130584192
20,medium,S0,raw,299,291,0.09892160963665447,0.11701710730211969,0.5292096219931272
20,medium,S1,normalized,299,291,0.08913278923858539,0.11646874182626989,0.49828178694158076
20,medium,S1,raw,299,291,0.09811327212785832,0.11126230006927575,0.5154639175257731
20,medium,S2,normalized,299,291,0.095676400376501,0.12260379102231053,0.49140893470790376
20,medium,S2,raw,299,291,0.10023946605936025,0.12109718886352872,0.5326460481099656
20,medium,S3,normalized,299,291,0.08837677078519975,0.11703371763581305,0.4948453608247423
20,medium,S3,raw,299,291,0.09673648695363701,0.11215611559315376,0.5257731958762887
50,high,S0,normalized,303,295,0.22668629941385657,0.22472651460222737,0.535593220338983
50,high,S0,raw,303,295,0.22178259268213463,0.22104337503835012,0.5389830508474577
50,high,S1,normalized,303,295,0.22356967151371057,0.22652063236354916,0.5152542372881356
50,high,S1,raw,303,295,0.22502774941730075,0.22209853542406618,0.5322033898305085
50,high,S2,normalized,303,295,0.2091883910321281,0.22167642813157917,0.5491525423728814
50,high,S2,raw,303,295,0.2052597008306109,0.2193273374200433,0.5423728813559322
50,high,S3,normalized,303,295,0.21745253835623052,0.2308586098119387,0.5322033898305085
50,high,S3,raw,303,295,0.21950978885639383,0.2333399191081933,0.535593220338983
50,low,S0,normalized,398,389,0.07134645404976883,0.10349499246240294,0.519280205655527
50,low,S0,raw,398,389,0.06226796113595792,0.09721182236815565,0.506426735218509
50,low,S1,normalized,398,389,0.07514232586000466,0.10568053455544171,0.519280205655527
50,low,S1,raw,398,389,0.061169371980500015,0.08998363319039317,0.5115681233933161
50,low,S2,normalized,398,389,0.049740426555614975,0.09161213043625564,0.5244215938303342
50,low,S2,raw,398,389,0.03716247839080949,0.083547156042832,0.5038560411311054
50,low,S3,normalized,398,389,0.052811952357325616,0.09503148927263852,0.5269922879177378
50,low,S3,raw,398,389,0.03501419392404429,0.07898321090848273,0.506426735218509
50,medium,S0,normalized,299,291,0.09394058916090627,0.1202924855352759,0.5017182130584192
50,medium,S0,raw,299,291,0.09892160963665399,0.11701710730211969,0.5292096219931272
50,medium,S1,normalized,299,291,0.0891327892385848,0.11646874182626989,0.49828178694158076
50,medium,S1,raw,299,291,0.0981132721278578,0.11126230006927575,0.5154639175257731
50,medium,S2,normalized,299,291,0.09567640037650041,0.12260379102231053,0.49140893470790376
50,medium,S2,raw,299,291,0.10023946605935971,0.12109718886352872,0.5326460481099656
50,medium,S3,normalized,299,291,0.08837677078519912,0.11703371763581305,0.4948453608247423
50,medium,S3,raw,299,291,0.09673648695363646,0.11215611559315376,0.5257731958762887
