action_index,Server_J,Server_K,R_req,Rho,Mean_Pair_Reliability,Mean_Latency,Mean_Reward,Reliability_Violation_Rate,Selection_Feasibility_Rate,Oracle_Selection_Frequency,In_Optimal_Set_Frequency,Pareto_Front
16,3,7,0.9,0.2198676965397751,0.9996229197515639,2.0682006628527705,56.62537052628145,0.0,1.0,0.0,0.119,False
16,3,7,0.99,0.2198676965397751,0.9996229197515639,2.0682006628527705,56.62537052628145,0.0,1.0,0.0,0.119,False
16,3,7,0.999,0.2198676965397751,0.9996229197515639,2.0682006628527705,51.03011272404674,0.09399999999999997,1.0,0.003,0.113,False
16,3,7,0.9999,0.2198676965397751,0.9996229197515639,2.0682006628527705,15.179213800024492,0.632,1.0,0.015,0.059,False
17,3,8,0.9,0.02802898486305948,0.9997916875901784,1.9946473155553412,58.32247958156463,0.0,1.0,0.0,0.161,True
17,3,8,0.99,0.02802898486305948,0.9997916875901784,1.9946473155553412,58.32247958156463,0.0,1.0,0.0,0.161,True
17,3,8,0.999,0.02802898486305948,0.9997916875901784,1.9946473155553412,56.6284549888732,0.029000000000000026,1.0,0.007,0.155,True
17,3,8,0.9999,0.02802898486305948,0.9997916875901784,1.9946473155553412,25.170898479209974,0.505,1.0,0.02,0.067,True
18,4,5,0.9,0.11444176899201255,0.9994996978107334,1.8580125518195902,60.978041302493175,0.0,1.0,0.0,0.011,False
18,4,5,0.99,0.11444176899201255,0.9994996978107334,1.8580125518195902,60.92450883014858,0.0010000000000000009,1.0,0.0,0.011,False
18,4,5,0.999,0.11444176899201255,0.9994996978107334,1.8580125518195902,53.34552971565597,0.121,1.0,0.001,0.009,False
18,4,5,0.9999,0.11444176899201255,0.9994996978107334,1.8580125518195902,12.758306516729414,0.688,1.0,0.004,0.008,False
19,4,6,0.9,0.20339179397623902,0.9997175856662531,1.6257302874664536,67.17354069361228,0.0,1.0,0.0,0.72,True
19,4,6,0.99,0.20339179397623902,0.9997175856662531,1.6257302874664536,67.17354069361228,0.0,1.0,0.0,0.72,True
19,4,6,0.999,0.20339179397623902,0.9997175856662531,1.6257302874664536,63.83674668047851,0.050000000000000044,1.0,0.023,0.692,True
19,4,6,0.9999,0.20339179397623902,0.9997175856662531,1.6257302874664536,24.89041901690425,0.571,1.0,0.108,0.313,True
20,4,7,0.9,0.3447276787973151,0.9997792902376523,1.77307149218452,63.41296607636832,0.0,1.0,0.0,0.13,False
20,4,7,0.99,0.3447276787973151,0.9997792902376523,1.77307149218452,63.41296607636832,0.0,1.0,0.0,0.13,False
20,4,7,0.999,0.3447276787973151,0.9997792902376523,1.77307149218452,60.76331830341292,0.04200000000000004,1.0,0.0,0.129,False
20,4,7,0.9999,0.3447276787973151,0.9997792902376523,1.77307149218452,32.25717022964169,0.44499999999999995,1.0,0.026,0.094,False
21,4,8,0.9,0.09898217615586608,0.9998724893791825,1.740516743674986,64.23913568534489,0.0,1.0,0.0,0.172,True
21,4,8,0.99,0.09898217615586608,0.9998724893791825,1.740516743674986,64.23913568534489,0.0,1.0,0.0,0.172,True
21,4,8,0.999,0.09898217615586608,0.9998724893791825,1.740516743674986,63.63965024118214,0.009000000000000008,1.0,0.0,0.169,True
21,4,8,0.9999,0.09898217615586608,0.9998724893791825,1.740516743674986,41.75956386192495,0.32999999999999996,1.0,0.039,0.131,True
