state_id,R_req,second_distinct_gap,all_actions_tied,exact_optimal_set_size
trial00_episode09_task060,0.9,6.24462753983854,False,7
trial00_episode09_task060,0.99,6.24462753983854,False,7
trial00_episode09_task060,0.999,6.24462753983854,False,4
trial00_episode09_task060,0.9999,26.01824267444841,False,1
trial00_episode09_task100,0.9,5.764162676948388,False,7
trial00_episode09_task100,0.99,5.764162676948388,False,7
trial00_episode09_task100,0.999,5.764162676948388,False,6
trial00_episode09_task100,0.9999,5.764162676948388,False,2
trial00_episode09_task140,0.9,7.4018662709662735,False,7
trial00_episode09_task140,0.99,7.4018662709662735,False,7
trial00_episode09_task140,0.999,7.4018662709662735,False,4
trial00_episode09_task140,0.9999,23.079594319935318,False,1
trial00_episode09_task180,0.9,5.213105259345419,False,7
trial00_episode09_task180,0.99,5.213105259345419,False,7
trial00_episode09_task180,0.999,5.213105259345419,False,6
trial00_episode09_task180,0.9999,63.972270489264,False,1
trial00_episode10_task020,0.9,5.6994351231851965,False,7
trial00_episode10_task020,0.99,5.6994351231851965,False,7
trial00_episode10_task020,0.999,5.6994351231851965,False,5
trial00_episode10_task020,0.9999,6.049351530342747,False,2
trial00_episode10_task060,0.9,5.845809329505059,False,7
trial00_episode10_task060,0.99,5.845809329505059,False,7
trial00_episode10_task060,0.999,5.845809329505059,False,5
trial00_episode10_task060,0.9999,0.39881821033297626,False,3
trial00_episode10_task100,0.9,5.764162676948388,False,7
trial00_episode10_task100,0.99,5.764162676948388,False,7
trial00_episode10_task100,0.999,5.764162676948388,False,5
trial00_episode10_task100,0.9999,5.764162676948388,False,2
trial00_episode10_task140,0.9,7.4018662709662735,False,7
trial00_episode10_task140,0.99,7.4018662709662735,False,7
trial00_episode10_task140,0.999,7.4018662709662735,False,4
trial00_episode10_task140,0.9999,0.44783373421176265,False,1
trial00_episode10_task180,0.9,6.226617561241888,False,7
trial00_episode10_task180,0.99,6.226617561241888,False,6
trial00_episode10_task180,0.999,6.226617561241888,False,4
trial00_episode10_task180,0.9999,40.56884791071072,False,1
trial00_episode11_task020,0.9,5.6994351231851965,False,7
trial00_episode11_task020,0.99,5.6994351231851965,False,7
trial00_episode11_task020,0.999,5.6994351231851965,False,6
trial00_episode11_task020,0.9999,6.04935153034284,False,4
trial00_episode11_task060,0.9,6.244627539838035,False,7
trial00_episode11_task060,0.99,6.244627539838035,False,7
trial00_episode11_task060,0.999,6.244627539838035,False,5
trial00_episode11_task060,0.9999,3.8831682428034426,False,1
trial00_episode11_task100,0.9,4.379025232870731,False,7
trial00_episode11_task100,0.99,4.379025232870731,False,7
trial00_episode11_task100,0.999,4.379025232870731,False,7
trial00_episode11_task100,0.9999,10.143187909819119,False,5
trial00_episode11_task140,0.9,7.4018662709662735,False,7
trial00_episode11_task140,0.99,7.4018662709662735,False,7
trial00_episode11_task140,0.999,7.4018662709662735,False,5
trial00_episode11_task140,0.9999,60.449664803969696,False,1
trial00_episode11_task180,0.9,6.226617561241888,False,7
trial00_episode11_task180,0.99,6.226617561241888,False,7
trial00_episode11_task180,0.999,6.226617561241888,False,4
trial00_episode11_task180,0.9999,1.4978169919399704,False,1
trial00_episode12_task020,0.9,1.6568582484915737,False,7
trial00_episode12_task020,0.99,1.6568582484915737,False,7
trial00_episode12_task020,0.999,1.6568582484915737,False,6
trial00_episode12_task020,0.9999,80.70242013278842,False,1
trial00_episode12_task060,0.9,6.24462753983854,False,7
trial00_episode12_task060,0.99,6.24462753983854,False,7
trial00_episode12_task060,0.999,6.24462753983854,False,6
trial00_episode12_task060,0.9999,0.8805492963179109,False,1
trial00_episode12_task100,0.9,5.764162676948388,False,7
trial00_episode12_task100,0.99,5.764162676948388,False,7
trial00_episode12_task100,0.999,5.764162676948388,False,6
