episode,task_id,state_id,split,dataset_index,max_backlog,load,requirement,safe_set_bin,safe_set_size,effective_set_size,action_index,selected_action,myopic_action,probability,q_h5,q_h10,q_h20,q_h50,legacy_q_h5,legacy_q_h10,legacy_q_h20,legacy_q_h50
296,28,ep296_task028,test,59027,2.191269742740315,high,0.9,16-28,28,28,25,26,5,0.08503440022468567,218.3744897328499,364.0198059339374,469.33321396893683,482.74675618320697,307.0529968942631,399.0581023465229,648.1232759831867,710.7849492722272
296,28,ep296_task028,test,59027,2.191269742740315,high,0.9,16-28,28,28,26,26,5,0.07868335396051407,218.22222574200785,363.8675419430953,469.1809499780948,482.59449219236495,306.9007329034211,398.9058383556809,647.9710119923446,710.6326852813853
296,28,ep296_task028,test,59027,2.191269742740315,high,0.9,16-28,28,28,27,26,5,0.09864897280931473,218.3744897328499,364.0198059339374,469.33321396893683,482.74675618320697,307.0529968942631,399.0581023465229,648.1232759831867,710.7849492722272
296,41,ep296_task041,test,59040,2.191646024112829,high,0.999,16-28,28,28,0,25,5,0.007925109006464481,275.9894419591157,327.9093539574703,376.16500460912675,380.0452871986257,328.0650375935494,369.42274255217376,547.8297289519884,625.0239204724753
296,41,ep296_task041,test,59040,2.191646024112829,high,0.999,16-28,28,28,1,25,5,0.00825156457722187,272.0621697401396,323.9820817384942,372.23773239015065,376.1180149796496,324.53049259647094,365.8881975550953,544.2951839549099,621.4893754753969
296,41,ep296_task041,test,59040,2.191646024112829,high,0.999,16-28,28,28,2,25,5,0.01175085548311472,300.82294366091696,352.7428556592715,400.99850631092795,404.878788900427,350.8119154234721,392.16962038209647,570.5766067819111,647.7707983023979
296,41,ep296_task041,test,59040,2.191646024112829,high,0.999,16-28,28,28,3,25,5,0.01059247087687254,269.3224249395449,321.24233693789944,369.4979875895559,373.3782701790549,322.06472227593565,363.42242723456,541.8294136343746,619.0236051548616
296,41,ep296_task041,test,59040,2.191646024112829,high,0.999,16-28,28,28,4,25,5,0.01346952561289072,290.9046828707309,342.82459486908544,391.08024552074187,394.96052811024094,341.4887544140031,382.84645937262746,561.2534457724421,638.4476372929289
296,41,ep296_task041,test,59040,2.191646024112829,high,0.999,16-28,28,28,5,25,5,0.0185007993131876,303.0048690017181,354.92478100007264,403.180431651729,407.0607142412281,352.3789219318915,393.7366268905159,572.1436132903306,649.3378048108175
296,41,ep296_task041,test,59040,2.191646024112829,high,0.999,16-28,28,28,6,25,5,0.01588081382215023,291.27607320098764,343.1959851993422,391.4516358509986,395.3319184404977,341.82300571123415,383.1807106698585,561.5876970696731,638.78188859016
296,41,ep296_task041,test,59040,2.191646024112829,high,0.999,16-28,28,28,7,25,5,0.013985608704388142,275.9894419591157,327.9093539574703,376.16500460912675,380.0452871986257,328.0650375935494,369.42274255217376,547.8297289519884,625.0239204724753
296,41,ep296_task041,test,59040,2.191646024112829,high,0.999,16-28,28,28,8,25,5,0.025293555110692978,300.82294366091696,352.7428556592715,400.99850631092795,404.878788900427,350.8119154234721,392.16962038209647,570.5766067819111,647.7707983023979
296,41,ep296_task041,test,59040,2.191646024112829,high,0.999,16-28,28,28,9,25,5,0.016200127080082893,275.9894419591157,327.9093539574703,376.16500460912675,380.0452871986257,328.0650375935494,369.42274255217376,547.8297289519884,625.0239204724753
296,41,ep296_task041,test,59040,2.191646024112829,high,0.999,16-28,28,28,10,25,5,0.027031857520341873,290.9046828707309,342.82459486908544,391.08024552074187,394.96052811024094,341.4887544140031,382.84645937262746,561.2534457724421,638.4476372929289
296,41,ep296_task041,test,59040,2.191646024112829,high,0.999,16-28,28,28,11,25,5,0.035326723009347916,303.0048690017181,354.92478100007264,403.180431651729,407.0607142412281,352.3789219318915,393.7366268905159,572.1436132903306,649.3378048108175
296,41,ep296_task041,test,59040,2.191646024112829,high,0.999,16-28,28,28,12,25,5,0.03117605298757553,291.27607320098764,343.1959851993422,391.4516358509986,395.3319184404977,341.82300571123415,383.1807106698585,561.5876970696731,638.78188859016
296,41,ep296_task041,test,59040,2.191646024112829,high,0.999,16-28,28,28,13,25,5,0.02465173602104187,300.82294366091696,352.7428556592715,400.99850631092795,404.878788900427,350.8119154234721,392.16962038209647,570.5766067819111,647.7707983023979
296,41,ep296_task041,test,59040,2.191646024112829,high,0.999,16-28,28,28,14,25,5,0.01880454272031784,272.0621697401396,323.9820817384942,372.23773239015065,376.1180149796496,324.53049259647094,365.8881975550953,544.2951839549099,621.4893754753969
296,41,ep296_task041,test,59040,2.191646024112829,high,0.999,16-28,28,28,15,25,5,0.0269200187176466,290.9046828707309,342.82459486908544,391.08024552074187,394.96052811024094,341.4887544140031,382.84645937262746,561.2534457724421,638.4476372929289
296,41,ep296_task041,test,59040,2.191646024112829,high,0.999,16-28,28,28,16,25,5,0.03796409070491791,303.0048690017181,354.92478100007264,403.180431651729,407.0607142412281,352.3789219318915,393.7366268905159,572.1436132903306,649.3378048108175
296,41,ep296_task041,test,59040,2.191646024112829,high,0.999,16-28,28,28,17,25,5,0.03141794726252556,291.27607320098764,343.1959851993422,391.4516358509986,395.3319184404977,341.82300571123415,383.1807106698585,561.5876970696731,638.78188859016
296,41,ep296_task041,test,59040,2.191646024112829,high,0.999,16-28,28,28,18,25,5,0.03227069228887558,300.82294366091696,352.7428556592715,400.99850631092795,404.878788900427,350.8119154234721,392.16962038209647,570.5766067819111,647.7707983023979
296,41,ep296_task041,test,59040,2.191646024112829,high,0.999,16-28,28,28,19,25,5,0.05231298506259918,301.81189696947536,353.7318089678299,401.9874596194863,405.8677422089853,351.7019734011746,393.05967835979897,571.4666647596136,648.6608562801005
296,41,ep296_task041,test,59040,2.191646024112829,high,0.999,16-28,28,28,20,25,5,0.07477198541164398,300.8649104894095,352.7848224877641,401.04047313942044,404.9207557289195,350.3751229130215,391.7328278716459,570.1398142714605,647.3340057919474
296,41,ep296_task041,test,59040,2.191646024112829,high,0.999,16-28,28,28,21,25,5,0.057518430054187775,302.18328729973206,354.1031992980866,402.35884994974305,406.23913253924206,352.03622469840565,393.39392965703,571.8009160568447,648.9951075773315
296,41,ep296_task041,test,59040,2.191646024112829,high,0.999,16-28,28,28,22,25,5,0.04061482101678848,290.9046828707309,342.82459486908544,391.08024552074187,394.96052811024094,341.4887544140031,382.84645937262746,561.2534457724421,638.4476372929289
296,41,ep296_task041,test,59040,2.191646024112829,high,0.999,16-28,28,28,23,25,5,0.055837035179138184,303.0048690017181,354.92478100007264,403.180431651729,407.0607142412281,352.3789219318915,393.7366268905159,572.1436132903306,649.3378048108175
296,41,ep296_task041,test,59040,2.191646024112829,high,0.999,16-28,28,28,24,25,5,0.04587920382618904,291.27607320098764,343.1959851993422,391.4516358509986,395.3319184404977,341.82300571123415,383.1807106698585,561.5876970696731,638.78188859016
296,41,ep296_task041,test,59040,2.191646024112829,high,0.999,16-28,28,28,25,25,5,0.08957511931657791,303.0048690017181,354.92478100007264,403.180431651729,407.0607142412281,352.3789219318915,393.7366268905159,572.1436132903306,649.3378048108175
296,41,ep296_task041,test,59040,2.191646024112829,high,0.999,16-28,28,28,26,25,5,0.08174508810043335,291.27607320098764,343.1959851993422,391.4516358509986,395.3319184404977,341.82300571123415,383.1807106698585,561.5876970696731,638.78188859016
296,41,ep296_task041,test,59040,2.191646024112829,high,0.999,16-28,28,28,27,25,5,0.09433133900165558,303.0048690017181,354.92478100007264,403.180431651729,407.0607142412281,352.3789219318915,393.7366268905159,572.1436132903306,649.3378048108175
296,54,ep296_task054,test,59053,1.7694407008675852,high,0.999,16-28,21,21,1,11,6,0.009990284219384193,163.03219909148817,194.35950809880393,209.59517874021228,211.11224605992555,314.78634114162855,459.42028143188907,612.667632245721,688.7899375880241
296,54,ep296_task054,test,59053,1.7694407008675852,high,0.999,16-28,21,21,5,11,6,0.02270847000181675,169.1867340928251,200.51404310014087,215.7497137415492,217.26678106126246,320.19527759104915,464.82921788130966,618.0765686951416,694.1988740374447
296,54,ep296_task054,test,59053,1.7694407008675852,high,0.999,16-28,21,21,6,11,6,0.019483642652630806,177.39113044156738,208.71843944888315,223.95411009029146,225.4711774100047,327.70937935669986,472.34331964696037,625.5906704607924,701.7129758030954
296,54,ep296_task054,test,59053,1.7694407008675852,high,0.999,16-28,21,21,7,11,6,0.016472354531288147,163.03219909148817,194.35950809880393,209.59517874021228,211.11224605992555,314.78634114162855,459.42028143188907,612.667632245721,688.7899375880241
296,54,ep296_task054,test,59053,1.7694407008675852,high,0.999,16-28,21,21,10,11,6,0.029880132526159286,166.9508483986964,198.27815740601216,213.51382804742047,215.03089536713372,318.31312551811595,462.94706580837646,616.1944166222085,692.3167219645115
296,54,ep296_task054,test,59053,1.7694407008675852,high,0.999,16-28,21,21,11,11,6,0.039674174040555954,169.1867340928251,200.51404310014087,215.7497137415492,217.26678106126246,320.19527759104915,464.82921788130966,618.0765686951416,694.1988740374447
296,54,ep296_task054,test,59053,1.7694407008675852,high,0.999,16-28,21,21,12,11,6,0.035498809069395065,177.39113044156738,208.71843944888315,223.95411009029146,225.4711774100047,327.70937935669986,472.34331964696037,625.5906704607924,701.7129758030954
296,54,ep296_task054,test,59053,1.7694407008675852,high,0.999,16-28,21,21,13,11,6,0.02890736237168312,170.72681978379015,202.0541287911059,217.28979943251423,218.8068667522275,321.7114997647003,466.3454400549608,619.5927908687928,695.7150962110959
296,54,ep296_task054,test,59053,1.7694407008675852,high,0.999,16-28,21,21,14,11,6,0.02211378887295723,168.25772596586475,199.5850349731805,214.82070561458883,216.3377729343021,319.4893153285675,464.123255618828,617.37060643266,693.4929117749631
296,54,ep296_task054,test,59053,1.7694407008675852,high,0.999,16-28,21,21,15,11,6,0.029630495235323906,166.9508483986964,198.27815740601216,213.51382804742047,215.03089536713372,318.31312551811595,462.94706580837646,616.1944166222085,692.3167219645115
296,54,ep296_task054,test,59053,1.7694407008675852,high,0.999,16-28,21,21,16,11,6,0.042538587003946304,169.1867340928251,200.51404310014087,215.7497137415492,217.26678106126246,320.19527759104915,464.82921788130966,618.0765686951416,694.1988740374447
296,54,ep296_task054,test,59053,1.7694407008675852,high,0.999,16-28,21,21,17,11,6,0.03561065346002579,177.39113044156738,208.71843944888315,223.95411009029146,225.4711774100047,327.70937935669986,472.34331964696037,625.5906704607924,701.7129758030954
296,54,ep296_task054,test,59053,1.7694407008675852,high,0.999,16-28,21,21,19,11,6,0.05770360678434372,170.72681978379015,202.0541287911059,217.28979943251423,218.8068667522275,321.7114997647003,466.3454400549608,619.5927908687928,695.7150962110959
296,54,ep296_task054,test,59053,1.7694407008675852,high,0.999,16-28,21,21,20,11,6,0.08440016210079193,169.1867340928251,200.51404310014087,215.7497137415492,217.26678106126246,320.19527759104915,464.82921788130966,618.0765686951416,694.1988740374447
296,54,ep296_task054,test,59053,1.7694407008675852,high,0.999,16-28,21,21,21,11,6,0.06536415964365005,177.39113044156738,208.71843944888315,223.95411009029146,225.4711774100047,327.70937935669986,472.34331964696037,625.5906704607924,701.7129758030954
296,54,ep296_task054,test,59053,1.7694407008675852,high,0.999,16-28,21,21,22,11,6,0.04455689340829849,168.25772596586475,199.5850349731805,214.82070561458883,216.3377729343021,319.4893153285675,464.123255618828,617.37060643266,693.4929117749631
296,54,ep296_task054,test,59053,1.7694407008675852,high,0.999,16-28,21,21,23,11,6,0.06254258751869202,169.1867340928251,200.51404310014087,215.7497137415492,217.26678106126246,320.19527759104915,464.82921788130966,618.0765686951416,694.1988740374447
296,54,ep296_task054,test,59053,1.7694407008675852,high,0.999,16-28,21,21,24,11,6,0.05180253088474274,177.39113044156738,208.71843944888315,223.95411009029146,225.4711774100047,327.70937935669986,472.34331964696037,625.5906704607924,701.7129758030954
296,54,ep296_task054,test,59053,1.7694407008675852,high,0.999,16-28,21,21,25,11,6,0.1011374220252037,150.30106610758682,181.62837511490258,196.86404575631093,198.38111307602418,302.0217215952604,446.6556618855209,599.9030126993529,676.025318041656
296,54,ep296_task054,test,59053,1.7694407008675852,high,0.999,16-28,21,21,26,11,6,0.09226682037115097,177.39113044156738,208.71843944888315,223.95411009029146,225.4711774100047,327.70937935669986,472.34331964696037,625.5906704607924,701.7129758030954
296,54,ep296_task054,test,59053,1.7694407008675852,high,0.999,16-28,21,21,27,11,6,0.10771704465150833,161.78128659945412,193.10859560676988,208.34426624817823,209.86133356789148,312.68812771911394,457.32206800937445,610.5694188232064,686.6917241655095
