state_mismatch,mask_mismatch,probability_mismatch,backlog_mismatch,task_mismatch,snapshot_mismatch,action_prefix_mismatch,future_arrival_mismatch,future_torch_rng_mismatch,episode,task_id,action_index,state_id
0,0,0,0,0,0,0,0,0,58,13,17,ep058_task013
0,0,0,0,0,0,0,0,0,58,13,18,ep058_task013
0,0,0,0,0,0,0,0,0,58,13,19,ep058_task013
0,0,0,0,0,0,0,0,0,58,13,20,ep058_task013
0,0,0,0,0,0,0,0,0,58,13,21,ep058_task013
0,0,0,0,0,0,0,0,0,58,13,22,ep058_task013
0,0,0,0,0,0,0,0,0,58,13,23,ep058_task013
0,0,0,0,0,0,0,0,0,58,13,24,ep058_task013
0,0,0,0,0,0,0,0,0,58,13,25,ep058_task013
0,0,0,0,0,0,0,0,0,58,13,26,ep058_task013
0,0,0,0,0,0,0,0,0,58,13,27,ep058_task013
0,0,0,0,0,0,0,0,0,58,26,13,ep058_task026
0,0,0,0,0,0,0,0,0,58,26,15,ep058_task026
0,0,0,0,0,0,0,0,0,58,26,16,ep058_task026
0,0,0,0,0,0,0,0,0,58,26,17,ep058_task026
0,0,0,0,0,0,0,0,0,58,26,18,ep058_task026
0,0,0,0,0,0,0,0,0,58,26,19,ep058_task026
0,0,0,0,0,0,0,0,0,58,26,20,ep058_task026
0,0,0,0,0,0,0,0,0,58,26,21,ep058_task026
0,0,0,0,0,0,0,0,0,58,26,22,ep058_task026
0,0,0,0,0,0,0,0,0,58,26,23,ep058_task026
0,0,0,0,0,0,0,0,0,58,26,24,ep058_task026
0,0,0,0,0,0,0,0,0,58,26,25,ep058_task026
0,0,0,0,0,0,0,0,0,58,26,26,ep058_task026
0,0,0,0,0,0,0,0,0,58,26,27,ep058_task026
0,0,0,0,0,0,0,0,0,58,38,0,ep058_task038
0,0,0,0,0,0,0,0,0,58,38,1,ep058_task038
0,0,0,0,0,0,0,0,0,58,38,2,ep058_task038
0,0,0,0,0,0,0,0,0,58,38,3,ep058_task038
0,0,0,0,0,0,0,0,0,58,38,4,ep058_task038
0,0,0,0,0,0,0,0,0,58,38,5,ep058_task038
0,0,0,0,0,0,0,0,0,58,38,6,ep058_task038
0,0,0,0,0,0,0,0,0,58,38,7,ep058_task038
0,0,0,0,0,0,0,0,0,58,38,8,ep058_task038
0,0,0,0,0,0,0,0,0,58,38,9,ep058_task038
0,0,0,0,0,0,0,0,0,58,38,10,ep058_task038
0,0,0,0,0,0,0,0,0,58,38,11,ep058_task038
0,0,0,0,0,0,0,0,0,58,38,12,ep058_task038
0,0,0,0,0,0,0,0,0,58,38,13,ep058_task038
0,0,0,0,0,0,0,0,0,58,38,14,ep058_task038
0,0,0,0,0,0,0,0,0,58,38,15,ep058_task038
0,0,0,0,0,0,0,0,0,58,38,16,ep058_task038
0,0,0,0,0,0,0,0,0,58,38,17,ep058_task038
0,0,0,0,0,0,0,0,0,58,38,18,ep058_task038
0,0,0,0,0,0,0,0,0,58,38,19,ep058_task038
0,0,0,0,0,0,0,0,0,58,38,20,ep058_task038
0,0,0,0,0,0,0,0,0,58,38,21,ep058_task038
0,0,0,0,0,0,0,0,0,58,38,22,ep058_task038
0,0,0,0,0,0,0,0,0,58,38,23,ep058_task038
0,0,0,0,0,0,0,0,0,58,38,24,ep058_task038
0,0,0,0,0,0,0,0,0,58,38,25,ep058_task038
0,0,0,0,0,0,0,0,0,58,38,26,ep058_task038
0,0,0,0,0,0,0,0,0,58,38,27,ep058_task038
0,0,0,0,0,0,0,0,0,58,51,2,ep058_task051
0,0,0,0,0,0,0,0,0,58,51,4,ep058_task051
0,0,0,0,0,0,0,0,0,58,51,5,ep058_task051
0,0,0,0,0,0,0,0,0,58,51,6,ep058_task051
0,0,0,0,0,0,0,0,0,58,51,7,ep058_task051
0,0,0,0,0,0,0,0,0,58,51,8,ep058_task051
0,0,0,0,0,0,0,0,0,58,51,9,ep058_task051
0,0,0,0,0,0,0,0,0,58,51,10,ep058_task051
0,0,0,0,0,0,0,0,0,58,51,11,ep058_task051
0,0,0,0,0,0,0,0,0,58,51,12,ep058_task051
0,0,0,0,0,0,0,0,0,58,51,13,ep058_task051
0,0,0,0,0,0,0,0,0,58,51,14,ep058_task051
0,0,0,0,0,0,0,0,0,58,51,15,ep058_task051
0,0,0,0,0,0,0,0,0,58,51,16,ep058_task051
0,0,0,0,0,0,0,0,0,58,51,17,ep058_task051
0,0,0,0,0,0,0,0,0,58,51,18,ep058_task051
0,0,0,0,0,0,0,0,0,58,51,19,ep058_task051
0,0,0,0,0,0,0,0,0,58,51,20,ep058_task051
0,0,0,0,0,0,0,0,0,58,51,21,ep058_task051
0,0,0,0,0,0,0,0,0,58,51,22,ep058_task051
0,0,0,0,0,0,0,0,0,58,51,23,ep058_task051
0,0,0,0,0,0,0,0,0,58,51,24,ep058_task051
0,0,0,0,0,0,0,0,0,58,51,25,ep058_task051
0,0,0,0,0,0,0,0,0,58,51,26,ep058_task051
0,0,0,0,0,0,0,0,0,58,51,27,ep058_task051
0,0,0,0,0,0,0,0,0,58,63,0,ep058_task063
0,0,0,0,0,0,0,0,0,58,63,1,ep058_task063
0,0,0,0,0,0,0,0,0,58,63,2,ep058_task063
0,0,0,0,0,0,0,0,0,58,63,3,ep058_task063
0,0,0,0,0,0,0,0,0,58,63,4,ep058_task063
0,0,0,0,0,0,0,0,0,58,63,5,ep058_task063
0,0,0,0,0,0,0,0,0,58,63,6,ep058_task063
0,0,0,0,0,0,0,0,0,58,63,7,ep058_task063
0,0,0,0,0,0,0,0,0,58,63,8,ep058_task063
0,0,0,0,0,0,0,0,0,58,63,9,ep058_task063
0,0,0,0,0,0,0,0,0,58,63,10,ep058_task063
0,0,0,0,0,0,0,0,0,58,63,11,ep058_task063
0,0,0,0,0,0,0,0,0,58,63,12,ep058_task063
0,0,0,0,0,0,0,0,0,58,63,13,ep058_task063
0,0,0,0,0,0,0,0,0,58,63,14,ep058_task063
0,0,0,0,0,0,0,0,0,58,63,15,ep058_task063
0,0,0,0,0,0,0,0,0,58,63,16,ep058_task063
0,0,0,0,0,0,0,0,0,58,63,17,ep058_task063
0,0,0,0,0,0,0,0,0,58,63,18,ep058_task063
0,0,0,0,0,0,0,0,0,58,63,19,ep058_task063
0,0,0,0,0,0,0,0,0,58,63,20,ep058_task063
0,0,0,0,0,0,0,0,0,58,63,21,ep058_task063
0,0,0,0,0,0,0,0,0,58,63,22,ep058_task063
0,0,0,0,0,0,0,0,0,58,63,23,ep058_task063
0,0,0,0,0,0,0,0,0,58,63,24,ep058_task063
0,0,0,0,0,0,0,0,0,58,63,25,ep058_task063
0,0,0,0,0,0,0,0,0,58,63,26,ep058_task063
0,0,0,0,0,0,0,0,0,58,63,27,ep058_task063
0,0,0,0,0,0,0,0,0,58,76,12,ep058_task076
0,0,0,0,0,0,0,0,0,58,76,13,ep058_task076
0,0,0,0,0,0,0,0,0,58,76,14,ep058_task076
0,0,0,0,0,0,0,0,0,58,76,15,ep058_task076
0,0,0,0,0,0,0,0,0,58,76,16,ep058_task076
0,0,0,0,0,0,0,0,0,58,76,17,ep058_task076
0,0,0,0,0,0,0,0,0,58,76,18,ep058_task076
0,0,0,0,0,0,0,0,0,58,76,19,ep058_task076
0,0,0,0,0,0,0,0,0,58,76,20,ep058_task076
0,0,0,0,0,0,0,0,0,58,76,21,ep058_task076
0,0,0,0,0,0,0,0,0,58,76,22,ep058_task076
0,0,0,0,0,0,0,0,0,58,76,23,ep058_task076
0,0,0,0,0,0,0,0,0,58,76,24,ep058_task076
0,0,0,0,0,0,0,0,0,58,76,25,ep058_task076
0,0,0,0,0,0,0,0,0,58,76,26,ep058_task076
0,0,0,0,0,0,0,0,0,58,76,27,ep058_task076
0,0,0,0,0,0,0,0,0,58,88,1,ep058_task088
0,0,0,0,0,0,0,0,0,58,88,2,ep058_task088
0,0,0,0,0,0,0,0,0,58,88,3,ep058_task088
0,0,0,0,0,0,0,0,0,58,88,4,ep058_task088
0,0,0,0,0,0,0,0,0,58,88,5,ep058_task088
0,0,0,0,0,0,0,0,0,58,88,6,ep058_task088
0,0,0,0,0,0,0,0,0,58,88,7,ep058_task088
0,0,0,0,0,0,0,0,0,58,88,8,ep058_task088
0,0,0,0,0,0,0,0,0,58,88,9,ep058_task088
0,0,0,0,0,0,0,0,0,58,88,10,ep058_task088
0,0,0,0,0,0,0,0,0,58,88,11,ep058_task088
0,0,0,0,0,0,0,0,0,58,88,12,ep058_task088
0,0,0,0,0,0,0,0,0,58,88,13,ep058_task088
0,0,0,0,0,0,0,0,0,58,88,14,ep058_task088
0,0,0,0,0,0,0,0,0,58,88,15,ep058_task088
0,0,0,0,0,0,0,0,0,58,88,16,ep058_task088
0,0,0,0,0,0,0,0,0,58,88,17,ep058_task088
0,0,0,0,0,0,0,0,0,58,88,18,ep058_task088
0,0,0,0,0,0,0,0,0,58,88,19,ep058_task088
0,0,0,0,0,0,0,0,0,58,88,20,ep058_task088
0,0,0,0,0,0,0,0,0,58,88,21,ep058_task088
0,0,0,0,0,0,0,0,0,58,88,22,ep058_task088
0,0,0,0,0,0,0,0,0,58,88,23,ep058_task088
0,0,0,0,0,0,0,0,0,58,88,24,ep058_task088
0,0,0,0,0,0,0,0,0,58,88,25,ep058_task088
0,0,0,0,0,0,0,0,0,58,88,26,ep058_task088
0,0,0,0,0,0,0,0,0,58,88,27,ep058_task088
0,0,0,0,0,0,0,0,0,58,100,12,ep058_task100
0,0,0,0,0,0,0,0,0,58,100,13,ep058_task100
0,0,0,0,0,0,0,0,0,58,100,14,ep058_task100
0,0,0,0,0,0,0,0,0,58,100,15,ep058_task100
0,0,0,0,0,0,0,0,0,58,100,16,ep058_task100
0,0,0,0,0,0,0,0,0,58,100,17,ep058_task100
0,0,0,0,0,0,0,0,0,58,100,18,ep058_task100
0,0,0,0,0,0,0,0,0,58,100,19,ep058_task100
0,0,0,0,0,0,0,0,0,58,100,20,ep058_task100
0,0,0,0,0,0,0,0,0,58,100,21,ep058_task100
0,0,0,0,0,0,0,0,0,58,100,22,ep058_task100
0,0,0,0,0,0,0,0,0,58,100,23,ep058_task100
0,0,0,0,0,0,0,0,0,58,100,24,ep058_task100
0,0,0,0,0,0,0,0,0,58,100,25,ep058_task100
0,0,0,0,0,0,0,0,0,58,100,26,ep058_task100
0,0,0,0,0,0,0,0,0,58,100,27,ep058_task100
0,0,0,0,0,0,0,0,0,58,113,1,ep058_task113
0,0,0,0,0,0,0,0,0,58,113,2,ep058_task113
0,0,0,0,0,0,0,0,0,58,113,3,ep058_task113
0,0,0,0,0,0,0,0,0,58,113,4,ep058_task113
0,0,0,0,0,0,0,0,0,58,113,5,ep058_task113
0,0,0,0,0,0,0,0,0,58,113,6,ep058_task113
0,0,0,0,0,0,0,0,0,58,113,7,ep058_task113
0,0,0,0,0,0,0,0,0,58,113,8,ep058_task113
0,0,0,0,0,0,0,0,0,58,113,9,ep058_task113
0,0,0,0,0,0,0,0,0,58,113,10,ep058_task113
0,0,0,0,0,0,0,0,0,58,113,11,ep058_task113
0,0,0,0,0,0,0,0,0,58,113,12,ep058_task113
0,0,0,0,0,0,0,0,0,58,113,13,ep058_task113
0,0,0,0,0,0,0,0,0,58,113,14,ep058_task113
0,0,0,0,0,0,0,0,0,58,113,15,ep058_task113
0,0,0,0,0,0,0,0,0,58,113,16,ep058_task113
0,0,0,0,0,0,0,0,0,58,113,17,ep058_task113
0,0,0,0,0,0,0,0,0,58,113,18,ep058_task113
0,0,0,0,0,0,0,0,0,58,113,19,ep058_task113
0,0,0,0,0,0,0,0,0,58,113,20,ep058_task113
0,0,0,0,0,0,0,0,0,58,113,21,ep058_task113
0,0,0,0,0,0,0,0,0,58,113,22,ep058_task113
0,0,0,0,0,0,0,0,0,58,113,23,ep058_task113
0,0,0,0,0,0,0,0,0,58,113,24,ep058_task113
0,0,0,0,0,0,0,0,0,58,113,25,ep058_task113
0,0,0,0,0,0,0,0,0,58,113,26,ep058_task113
0,0,0,0,0,0,0,0,0,58,113,27,ep058_task113
0,0,0,0,0,0,0,0,0,58,125,5,ep058_task125
0,0,0,0,0,0,0,0,0,58,125,6,ep058_task125
0,0,0,0,0,0,0,0,0,58,125,8,ep058_task125
0,0,0,0,0,0,0,0,0,58,125,11,ep058_task125
0,0,0,0,0,0,0,0,0,58,125,12,ep058_task125
0,0,0,0,0,0,0,0,0,58,125,13,ep058_task125
0,0,0,0,0,0,0,0,0,58,125,14,ep058_task125
0,0,0,0,0,0,0,0,0,58,125,15,ep058_task125
0,0,0,0,0,0,0,0,0,58,125,16,ep058_task125
0,0,0,0,0,0,0,0,0,58,125,17,ep058_task125
0,0,0,0,0,0,0,0,0,58,125,18,ep058_task125
0,0,0,0,0,0,0,0,0,58,125,19,ep058_task125
0,0,0,0,0,0,0,0,0,58,125,20,ep058_task125
0,0,0,0,0,0,0,0,0,58,125,21,ep058_task125
0,0,0,0,0,0,0,0,0,58,125,22,ep058_task125
0,0,0,0,0,0,0,0,0,58,125,23,ep058_task125
0,0,0,0,0,0,0,0,0,58,125,24,ep058_task125
0,0,0,0,0,0,0,0,0,58,125,25,ep058_task125
0,0,0,0,0,0,0,0,0,58,125,26,ep058_task125
0,0,0,0,0,0,0,0,0,58,125,27,ep058_task125
0,0,0,0,0,0,0,0,0,58,138,0,ep058_task138
0,0,0,0,0,0,0,0,0,58,138,1,ep058_task138
0,0,0,0,0,0,0,0,0,58,138,2,ep058_task138
0,0,0,0,0,0,0,0,0,58,138,3,ep058_task138
0,0,0,0,0,0,0,0,0,58,138,4,ep058_task138
0,0,0,0,0,0,0,0,0,58,138,5,ep058_task138
0,0,0,0,0,0,0,0,0,58,138,6,ep058_task138
0,0,0,0,0,0,0,0,0,58,138,7,ep058_task138
0,0,0,0,0,0,0,0,0,58,138,8,ep058_task138
0,0,0,0,0,0,0,0,0,58,138,9,ep058_task138
0,0,0,0,0,0,0,0,0,58,138,10,ep058_task138
0,0,0,0,0,0,0,0,0,58,138,11,ep058_task138
0,0,0,0,0,0,0,0,0,58,138,12,ep058_task138
0,0,0,0,0,0,0,0,0,58,138,13,ep058_task138
0,0,0,0,0,0,0,0,0,58,138,14,ep058_task138
0,0,0,0,0,0,0,0,0,58,138,15,ep058_task138
0,0,0,0,0,0,0,0,0,58,138,16,ep058_task138
0,0,0,0,0,0,0,0,0,58,138,17,ep058_task138
0,0,0,0,0,0,0,0,0,58,138,18,ep058_task138
0,0,0,0,0,0,0,0,0,58,138,19,ep058_task138
0,0,0,0,0,0,0,0,0,58,138,20,ep058_task138
0,0,0,0,0,0,0,0,0,58,138,21,ep058_task138
0,0,0,0,0,0,0,0,0,58,138,22,ep058_task138
0,0,0,0,0,0,0,0,0,58,138,23,ep058_task138
0,0,0,0,0,0,0,0,0,58,138,24,ep058_task138
0,0,0,0,0,0,0,0,0,58,138,25,ep058_task138
0,0,0,0,0,0,0,0,0,58,138,26,ep058_task138
0,0,0,0,0,0,0,0,0,58,138,27,ep058_task138
0,0,0,0,0,0,0,0,0,58,150,0,ep058_task150
0,0,0,0,0,0,0,0,0,58,150,1,ep058_task150
0,0,0,0,0,0,0,0,0,58,150,2,ep058_task150
0,0,0,0,0,0,0,0,0,58,150,3,ep058_task150
0,0,0,0,0,0,0,0,0,58,150,4,ep058_task150
0,0,0,0,0,0,0,0,0,58,150,5,ep058_task150
0,0,0,0,0,0,0,0,0,58,150,6,ep058_task150
0,0,0,0,0,0,0,0,0,58,150,7,ep058_task150
0,0,0,0,0,0,0,0,0,58,150,8,ep058_task150
0,0,0,0,0,0,0,0,0,58,150,9,ep058_task150
0,0,0,0,0,0,0,0,0,58,150,10,ep058_task150
0,0,0,0,0,0,0,0,0,58,150,11,ep058_task150
0,0,0,0,0,0,0,0,0,58,150,12,ep058_task150
0,0,0,0,0,0,0,0,0,58,150,13,ep058_task150
0,0,0,0,0,0,0,0,0,58,150,14,ep058_task150
0,0,0,0,0,0,0,0,0,58,150,15,ep058_task150
0,0,0,0,0,0,0,0,0,58,150,16,ep058_task150
0,0,0,0,0,0,0,0,0,58,150,17,ep058_task150
0,0,0,0,0,0,0,0,0,58,150,18,ep058_task150
0,0,0,0,0,0,0,0,0,58,150,19,ep058_task150
0,0,0,0,0,0,0,0,0,58,150,20,ep058_task150
0,0,0,0,0,0,0,0,0,58,150,21,ep058_task150
0,0,0,0,0,0,0,0,0,58,150,22,ep058_task150
0,0,0,0,0,0,0,0,0,58,150,23,ep058_task150
0,0,0,0,0,0,0,0,0,58,150,24,ep058_task150
0,0,0,0,0,0,0,0,0,58,150,25,ep058_task150
0,0,0,0,0,0,0,0,0,58,150,26,ep058_task150
0,0,0,0,0,0,0,0,0,58,150,27,ep058_task150
0,0,0,0,0,0,0,0,0,58,163,0,ep058_task163
0,0,0,0,0,0,0,0,0,58,163,1,ep058_task163
0,0,0,0,0,0,0,0,0,58,163,2,ep058_task163
0,0,0,0,0,0,0,0,0,58,163,3,ep058_task163
0,0,0,0,0,0,0,0,0,58,163,4,ep058_task163
0,0,0,0,0,0,0,0,0,58,163,5,ep058_task163
0,0,0,0,0,0,0,0,0,58,163,6,ep058_task163
0,0,0,0,0,0,0,0,0,58,163,7,ep058_task163
0,0,0,0,0,0,0,0,0,58,163,8,ep058_task163
0,0,0,0,0,0,0,0,0,58,163,9,ep058_task163
0,0,0,0,0,0,0,0,0,58,163,10,ep058_task163
0,0,0,0,0,0,0,0,0,58,163,11,ep058_task163
0,0,0,0,0,0,0,0,0,58,163,12,ep058_task163
0,0,0,0,0,0,0,0,0,58,163,13,ep058_task163
0,0,0,0,0,0,0,0,0,58,163,14,ep058_task163
0,0,0,0,0,0,0,0,0,58,163,15,ep058_task163
0,0,0,0,0,0,0,0,0,58,163,16,ep058_task163
0,0,0,0,0,0,0,0,0,58,163,17,ep058_task163
0,0,0,0,0,0,0,0,0,58,163,18,ep058_task163
0,0,0,0,0,0,0,0,0,58,163,19,ep058_task163
0,0,0,0,0,0,0,0,0,58,163,20,ep058_task163
0,0,0,0,0,0,0,0,0,58,163,21,ep058_task163
0,0,0,0,0,0,0,0,0,58,163,22,ep058_task163
0,0,0,0,0,0,0,0,0,58,163,23,ep058_task163
0,0,0,0,0,0,0,0,0,58,163,24,ep058_task163
0,0,0,0,0,0,0,0,0,58,163,25,ep058_task163
0,0,0,0,0,0,0,0,0,58,163,26,ep058_task163
0,0,0,0,0,0,0,0,0,58,163,27,ep058_task163
0,0,0,0,0,0,0,0,0,58,175,0,ep058_task175
0,0,0,0,0,0,0,0,0,58,175,1,ep058_task175
0,0,0,0,0,0,0,0,0,58,175,2,ep058_task175
0,0,0,0,0,0,0,0,0,58,175,3,ep058_task175
0,0,0,0,0,0,0,0,0,58,175,4,ep058_task175
0,0,0,0,0,0,0,0,0,58,175,5,ep058_task175
0,0,0,0,0,0,0,0,0,58,175,6,ep058_task175
0,0,0,0,0,0,0,0,0,58,175,7,ep058_task175
0,0,0,0,0,0,0,0,0,58,175,8,ep058_task175
0,0,0,0,0,0,0,0,0,58,175,9,ep058_task175
0,0,0,0,0,0,0,0,0,58,175,10,ep058_task175
0,0,0,0,0,0,0,0,0,58,175,11,ep058_task175
0,0,0,0,0,0,0,0,0,58,175,12,ep058_task175
0,0,0,0,0,0,0,0,0,58,175,13,ep058_task175
0,0,0,0,0,0,0,0,0,58,175,14,ep058_task175
0,0,0,0,0,0,0,0,0,58,175,15,ep058_task175
0,0,0,0,0,0,0,0,0,58,175,16,ep058_task175
0,0,0,0,0,0,0,0,0,58,175,17,ep058_task175
0,0,0,0,0,0,0,0,0,58,175,18,ep058_task175
0,0,0,0,0,0,0,0,0,58,175,19,ep058_task175
0,0,0,0,0,0,0,0,0,58,175,20,ep058_task175
0,0,0,0,0,0,0,0,0,58,175,21,ep058_task175
0,0,0,0,0,0,0,0,0,58,175,22,ep058_task175
0,0,0,0,0,0,0,0,0,58,175,23,ep058_task175
0,0,0,0,0,0,0,0,0,58,175,24,ep058_task175
0,0,0,0,0,0,0,0,0,58,175,25,ep058_task175
0,0,0,0,0,0,0,0,0,58,175,26,ep058_task175
0,0,0,0,0,0,0,0,0,58,175,27,ep058_task175
0,0,0,0,0,0,0,0,0,58,188,0,ep058_task188
0,0,0,0,0,0,0,0,0,58,188,1,ep058_task188
0,0,0,0,0,0,0,0,0,58,188,2,ep058_task188
0,0,0,0,0,0,0,0,0,58,188,3,ep058_task188
0,0,0,0,0,0,0,0,0,58,188,4,ep058_task188
0,0,0,0,0,0,0,0,0,58,188,5,ep058_task188
0,0,0,0,0,0,0,0,0,58,188,6,ep058_task188
0,0,0,0,0,0,0,0,0,58,188,7,ep058_task188
0,0,0,0,0,0,0,0,0,58,188,8,ep058_task188
0,0,0,0,0,0,0,0,0,58,188,9,ep058_task188
0,0,0,0,0,0,0,0,0,58,188,10,ep058_task188
0,0,0,0,0,0,0,0,0,58,188,11,ep058_task188
0,0,0,0,0,0,0,0,0,58,188,12,ep058_task188
0,0,0,0,0,0,0,0,0,58,188,13,ep058_task188
0,0,0,0,0,0,0,0,0,58,188,14,ep058_task188
0,0,0,0,0,0,0,0,0,58,188,15,ep058_task188
0,0,0,0,0,0,0,0,0,58,188,16,ep058_task188
0,0,0,0,0,0,0,0,0,58,188,17,ep058_task188
0,0,0,0,0,0,0,0,0,58,188,18,ep058_task188
0,0,0,0,0,0,0,0,0,58,188,19,ep058_task188
0,0,0,0,0,0,0,0,0,58,188,20,ep058_task188
0,0,0,0,0,0,0,0,0,58,188,21,ep058_task188
0,0,0,0,0,0,0,0,0,58,188,22,ep058_task188
0,0,0,0,0,0,0,0,0,58,188,23,ep058_task188
0,0,0,0,0,0,0,0,0,58,188,24,ep058_task188
0,0,0,0,0,0,0,0,0,58,188,25,ep058_task188
0,0,0,0,0,0,0,0,0,58,188,26,ep058_task188
0,0,0,0,0,0,0,0,0,58,188,27,ep058_task188
0,0,0,0,0,0,0,0,0,58,200,27,ep058_task200
