trial_id,policy,server_id,selection_count,primary_count,backup_count,utilization,mean_queue_length,p95_queue_length,mean_waiting_time,busy_time,observation_time,replica_wait_count
8,Masked PPO stochastic,4,897,721,176,0.2025921582954489,0.03210858984111925,0.0,0.2906385394114804,1644.9285714285706,8119.408891580591,897
8,Masked PPO stochastic,5,890,631,259,0.1927398107707186,0.025844449462067053,0.0,0.2357771379329353,1564.9333333333334,8119.408891580591,890
8,Masked PPO stochastic,6,1270,672,598,0.24233870779237113,0.052508547445176884,0.0,0.3356995015829533,1967.6470588235288,8119.408891580591,1270
8,Masked PPO stochastic,7,1614,493,1121,0.2991391818993017,0.07199268250138656,1.0,0.3621673026211255,2428.8333333333344,8119.408891580591,1614
8,Masked PPO stochastic,8,1763,0,1763,0.2988702789086421,0.08368195030097543,1.0,0.3853930637201049,2426.65,8119.408891580591,1763
9,Masked PPO stochastic,1,495,495,0,0.14591202123246425,0.011958114489985709,0.0,0.19551476365649909,1180.9,8093.233100503849,495
9,Masked PPO stochastic,2,660,630,30,0.1886312113685842,0.02468490549988205,0.0,0.30269802162796206,1526.6363636363635,8093.233100503849,660
9,Masked PPO stochastic,3,587,510,77,0.15242157466792058,0.01698542078397783,0.0,0.2341856383558354,1233.5833333333337,8093.233100503849,587
9,Masked PPO stochastic,4,952,749,203,0.21636241126706385,0.03905665830341315,0.0,0.3320321846389199,1751.071428571428,8093.233100503849,952
9,Masked PPO stochastic,5,908,607,301,0.19756422599934637,0.026582335421326046,0.0,0.23693506268785444,1598.933333333333,8093.233100503849,908
9,Masked PPO stochastic,6,1213,633,580,0.2393212117936643,0.045856134172782025,0.0,0.30595579797881717,1936.882352941176,8093.233100503849,1213
9,Masked PPO stochastic,7,1595,376,1219,0.2942581747524039,0.07365906802805061,1.0,0.3737554906061968,2381.500000000001,8093.233100503849,1595
9,Masked PPO stochastic,8,1590,0,1590,0.2732035482658156,0.06387680952535933,1.0,0.32513830767623747,2211.1,8093.233100503849,1590
0,Max-Reliability,1,0,0,0,0.0,0.0,0.0,0.0,0.0,8316.025662365495,0
0,Max-Reliability,2,0,0,0,0.0,0.0,0.0,0.0,0.0,8316.025662365495,0
0,Max-Reliability,3,200,200,0,0.05309026425904695,1.006973857888601,3.0,41.87010221766391,441.50000000000006,8316.025662365495,200
0,Max-Reliability,4,600,600,0,0.13651782238040636,0.8066058998317693,6.0,11.179592270694014,1135.2857142857138,8316.025662365495,600
0,Max-Reliability,5,1000,1000,0,0.21236105703618774,0.7297926959881949,5.0,6.068974788044732,1765.9999999999998,8316.025662365495,1000
0,Max-Reliability,6,1000,1000,0,0.18737740326722443,0.44181831227510665,3.0,3.674172422982798,1558.2352941176466,8316.025662365495,1000
0,Max-Reliability,7,2000,1200,800,0.35393509506031307,0.5613107727534581,3.0,2.3339373953899822,2943.3333333333344,8316.025662365495,2000
0,Max-Reliability,8,3200,0,3200,0.5096665368868508,0.6709209612117237,4.0,1.7435612283923816,4238.4000000000015,8316.025662365495,3200
1,Max-Reliability,1,0,0,0,0.0,0.0,0.0,0.0,0.0,8001.813302528615,0
1,Max-Reliability,2,0,0,0,0.0,0.0,0.0,0.0,0.0,8001.813302528615,0
1,Max-Reliability,3,0,0,0,0.0,0.0,0.0,0.0,0.0,8001.813302528615,0
1,Max-Reliability,4,400,400,0,0.09458570379515997,0.2601385659512268,2.0,5.2039505938231105,756.8571428571424,8001.813302528615,400
1,Max-Reliability,5,400,400,0,0.08827999020881604,0.3528714768336523,3.0,7.059029193526089,706.4000000000001,8001.813302528615,400
1,Max-Reliability,6,1000,1000,0,0.19473527251944706,0.4875840943341782,4.0,3.9015568921445944,1558.2352941176466,8001.813302528615,1000
1,Max-Reliability,7,2600,2200,400,0.47818328029775375,0.787096696419515,4.0,2.4223849291484623,3826.3333333333353,8001.813302528615,2600
1,Max-Reliability,8,3600,0,3600,0.5958899339095083,0.6808630182884777,3.0,1.5133718769279234,4768.200000000001,8001.813302528615,3600
2,Max-Reliability,1,200,200,0,0.06371559075514345,1.568528458715558,10.0,65.21216923351056,529.8,8315.076321523893,200
2,Max-Reliability,2,0,0,0,0.0,0.0,0.0,0.0,0.0,8315.076321523893,0
2,Max-Reliability,3,0,0,0,0.0,0.0,0.0,0.0,0.0,8315.076321523893,0
2,Max-Reliability,4,200,200,0,0.04551113625367387,0.280170652051574,0.0,11.648201774299766,378.4285714285712,8315.076321523893,200
2,Max-Reliability,5,600,400,200,0.12743118151028693,0.5977457972819552,4.0,8.283836542116013,1059.6000000000001,8315.076321523893,600
