trial_id,comparison,ppo_mean_reward,baseline_mean_reward,delta_mean_reward,ppo_win_mean_reward,ppo_mean_latency,baseline_mean_latency,delta_mean_latency,ppo_win_mean_latency,ppo_p95_latency,baseline_p95_latency,delta_p95_latency,ppo_win_p95_latency,ppo_overall_rsr,baseline_overall_rsr,delta_overall_rsr,ppo_win_overall_rsr,ppo_highest_rsr,baseline_highest_rsr,delta_highest_rsr,ppo_win_highest_rsr,ppo_pair_selection_hhi,baseline_pair_selection_hhi,delta_pair_selection_hhi,ppo_win_pair_selection_hhi,ppo_maximum_mean_queue_length,baseline_maximum_mean_queue_length,delta_maximum_mean_queue_length,ppo_win_maximum_mean_queue_length
0,Masked PPO stochastic vs Max-Reliability,60.55369681812354,44.3116527506454,16.24204406747814,True,2.0214231522299118,3.4920330512216955,-1.4706098989917837,True,3.684334382344083,9.06213947564784,-5.377805093303756,True,0.95675,0.95675,0.0,False,0.827,0.827,0.0,False,0.067177625,0.19,-0.122822375,True,0.0992695746722853,1.006973857888601,-0.9077042832163157,True
1,Masked PPO stochastic vs Max-Reliability,61.77776491377688,45.59760233702278,16.1801625767541,True,1.9947217306645169,3.260871152581049,-1.2661494219165321,True,3.5824872743383978,7.301108739385034,-3.7186214650466365,True,0.97425,0.97425,0.0,False,0.897,0.897,0.0,False,0.0554265,0.36,-0.3045735,True,0.1097602417139122,0.787096696419515,-0.6773364547056028,True
2,Masked PPO stochastic vs Max-Reliability,60.59948446595163,43.262895336679954,17.33658912927168,True,2.004543715790942,3.73515922526563,-1.730615509474688,True,3.511721600659995,10.208280514393044,-6.696558913733049,True,0.9575,0.9575,0.0,False,0.83,0.83,0.0,False,0.05409525,0.295,-0.24090475,True,0.08555490981709,1.568528458715558,-1.4829735488984679,True
3,Masked PPO stochastic vs Max-Reliability,60.82596312725253,43.32591667778741,17.500046449465117,True,2.024229400940285,3.823360075412457,-1.7991306744721718,True,3.622861964037744,10.345438818146196,-6.722576854108452,True,0.9655,0.9655,0.0,False,0.862,0.862,0.0,False,0.050383375,0.225,-0.174616625,True,0.0804486735567736,1.198196870408749,-1.1177481968519754,True
4,Masked PPO stochastic vs Max-Reliability,61.89701687390434,45.880933141274056,16.016083732630285,True,2.0186603089588715,3.589208030220886,-1.5705477212620145,True,3.595003047634219,9.003080117556241,-5.408077069922022,True,0.983,0.983,0.0,False,0.932,0.932,0.0,False,0.061419375,0.395,-0.333580625,True,0.0953023800845271,0.9759689599169488,-0.8806665798324217,True
5,Masked PPO stochastic vs Max-Reliability,61.41212309869239,46.67036004994255,14.741763048749839,True,2.000493183586977,3.220060763649967,-1.2195675800629902,True,3.573257693271728,7.498955867431224,-3.9256981741594963,True,0.9715,0.9715,0.0,False,0.886,0.886,0.0,False,0.052747875,0.28,-0.22725212500000003,True,0.0679435635549536,0.7586467821280494,-0.6907032185730958,True
6,Masked PPO stochastic vs Max-Reliability,61.27887790795619,46.78404248261688,14.49483542533931,True,2.0185708145064973,3.208240801226532,-1.1896699867200349,True,3.591429896579541,7.32218405013163,-3.7307541535520894,True,0.97525,0.97525,0.0,False,0.901,0.901,0.0,False,0.04917075,0.355,-0.30582925,True,0.0683998278677293,0.673579101940943,-0.6051792740732136,True
7,Masked PPO stochastic vs Max-Reliability,62.54022229614039,45.12041231391295,17.41980998222744,True,2.00216210579365,3.6193838982043207,-1.6172217924106707,True,3.5943579689825014,9.37680853521312,-5.782450566230619,True,0.9875,0.9875,0.0,False,0.95,0.95,0.0,False,0.0571855,0.375,-0.3178145,True,0.0798664143553824,1.9282711693320396,-1.8484047549766571,True
8,Masked PPO stochastic vs Max-Reliability,61.10400267624844,42.5336511908269,18.57035148542154,True,2.006335342784879,3.950939435876063,-1.944604093091184,True,3.657479395725673,10.60839931923092,-6.950919923505246,True,0.96625,0.96625,0.0,False,0.872,0.872,0.0,False,0.05719575,0.195,-0.13780425000000002,True,0.0836819503009754,1.0465221525953132,-0.9628402022943379,True
9,Masked PPO stochastic vs Max-Reliability,62.30216503836733,45.53852086527672,16.763644173090604,True,2.0159210399026364,3.4385798198387785,-1.422658779936142,True,3.593144656350185,8.148157392310454,-4.555012735960268,True,0.98975,0.98975,0.0,False,0.959,0.959,0.0,False,0.050288125,0.18,-0.12971187499999998,True,0.0736590680280506,1.283102776170097,-1.2094437081420464,True
0,Masked PPO stochastic vs Safe Random,60.55369681812354,59.03451367730365,1.5191831408198908,True,2.0214231522299118,2.072610984959848,-0.05118783272993621,True,3.684334382344083,3.8092842504632927,-0.12494986811920983,True,0.95675,0.95675,0.0,False,0.827,0.827,0.0,False,0.067177625,0.041880375,0.025297250000000007,False,0.0992695746722853,0.0611764708759237,0.0380931037963616,False
1,Masked PPO stochastic vs Safe Random,61.77776491377688,60.14165805612094,1.636106857655939,True,1.9947217306645169,2.0691721494830277,-0.07445041881851089,True,3.5824872743383978,3.714292858187851,-0.13180558384945318,True,0.97425,0.97425,0.0,False,0.897,0.897,0.0,False,0.0554265,0.040503,0.0149235,False,0.1097602417139122,0.0522675100072363,0.057492731706675904,False
2,Masked PPO stochastic vs Safe Random,60.59948446595163,59.299421500471176,1.300062965480457,True,2.004543715790942,2.068925197720896,-0.06438148192995374,True,3.511721600659995,3.7862469226165865,-0.2745253219565913,True,0.9575,0.9575,0.0,False,0.83,0.83,0.0,False,0.05409525,0.042950125,0.011145124999999999,False,0.08555490981709,0.0627402488220856,0.0228146609950044,False
3,Masked PPO stochastic vs Safe Random,60.82596312725253,59.45451922107631,1.3714439061762178,True,2.024229400940285,2.0795444986169023,-0.05531509767661724,True,3.622861964037744,3.7413786801679065,-0.11851671613016235,True,0.9655,0.9655,0.0,False,0.862,0.862,0.0,False,0.050383375,0.0396114999999999,0.010771875000000104,False,0.0804486735567736,0.0555645157145667,0.0248841578422069,False
4,Masked PPO stochastic vs Safe Random,61.89701687390434,60.583808156802505,1.313208717101837,True,2.0186603089588715,2.0848065768249007,-0.06614626786602917,True,3.595003047634219,3.839456962227598,-0.24445391459337884,True,0.983,0.983,0.0,False,0.932,0.932,0.0,False,0.061419375,0.0404778749999999,0.0209415000000001,False,0.0953023800845271,0.0642531164148614,0.031049263669665705,False
5,Masked PPO stochastic vs Safe Random,61.41212309869239,60.14731039071756,1.2648127079748335,True,2.000493183586977,2.059544660680933,-0.059051477093956084,True,3.573257693271728,3.670482968217058,-0.09722527494532995,True,0.9715,0.9715,0.0,False,0.886,0.886,0.0,False,0.052747875,0.0410375,0.011710375000000002,False,0.0679435635549536,0.0498038025381027,0.018139761016850893,False
6,Masked PPO stochastic vs Safe Random,61.27887790795619,60.12622364949331,1.1526542584628814,True,2.0185708145064973,2.0734381328903315,-0.054867318383834185,True,3.591429896579541,3.789093356837002,-0.19766346025746095,True,0.97525,0.97525,0.0,False,0.901,0.901,0.0,False,0.04917075,0.0410435,0.008127250000000003,False,0.0683998278677293,0.0540936023300723,0.014306225537657001,False
7,Masked PPO stochastic vs Safe Random,62.54022229614039,60.86297650569804,1.677245790442349,True,2.00216210579365,2.0738711145937416,-0.07170900880009157,True,3.5943579689825014,3.752003894794116,-0.15764592581161452,True,0.9875,0.9875,0.0,False,0.95,0.95,0.0,False,0.0571855,0.039533625,0.017651874999999997,False,0.0798664143553824,0.0531728029104375,0.0266936114449449,False
8,Masked PPO stochastic vs Safe Random,61.10400267624844,59.39972062742852,1.7042820488199197,True,2.006335342784879,2.078876880195107,-0.07254153741022806,True,3.657479395725673,3.762520604739869,-0.10504120901419611,True,0.96625,0.96625,0.0,False,0.872,0.872,0.0,False,0.05719575,0.040213,0.016982749999999998,False,0.0836819503009754,0.0572408054998968,0.0264411448010786,False
9,Masked PPO stochastic vs Safe Random,62.30216503836733,60.81682524040962,1.4853397979577068,True,2.0159210399026364,2.076028489492183,-0.060107449589546835,True,3.593144656350185,3.708943576636472,-0.11579892028628702,True,0.98975,0.98975,0.0,False,0.959,0.959,0.0,False,0.050288125,0.039916875,0.010371250000000005,False,0.0736590680280506,0.0484105262837223,0.0252485417443283,False
