trial_id,policy,R_req,tasks,mean_reward,mean_latency,p50_latency,p90_latency,p95_latency,overall_rsr,feasibility_rate,conditional_rsr,avoidable_violation_rate,unavoidable_violation_rate,mean_selected_reliability_deficit,p95_selected_reliability_deficit,mean_best_achievable_deficit,mean_safe_set_size,pair_selection_hhi
9,Masked PPO stochastic,0.9999,1000,58.877495525014645,2.0142405471785634,1.9915638798660495,2.8696951529409036,3.296140840343071,0.959,0.959,1.0,0.0,0.041,9.967986247000348e-07,0.0,9.967986247000348e-07,9.947,0.095304
0,Max-Reliability,0.9,1000,44.320246034371934,3.6045777495440237,2.800529726195279,7.347570116298331,9.258446567573172,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,27.988,0.19
0,Max-Reliability,0.99,1000,51.85014019375285,3.150413086979082,2.496790021414938,6.377315978275128,8.433432906259844,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,27.06,0.19
0,Max-Reliability,0.999,1000,47.800323746692484,3.3195573163783374,2.690868547296496,6.162252724916304,8.150722605249168,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,21.087,0.19
0,Max-Reliability,0.9999,1000,33.275901027764355,3.8935840519853393,3.068111492367972,7.903294507516857,9.78308160102608,0.827,0.827,1.0,0.0,0.173,1.894274375738747e-05,0.00012001410707129228,1.894274375738747e-05,7.551,0.19
1,Max-Reliability,0.9,1000,46.33009329417671,3.2172288568107232,2.721463263875364,5.938683039403753,7.190885137782184,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,27.974,0.36000000000000004
1,Max-Reliability,0.99,1000,51.02050880003,3.023888895055318,2.622622615608954,5.75137624162866,7.029271328562574,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,27.42,0.36000000000000004
1,Max-Reliability,0.999,1000,46.73974970372951,3.248204601761581,2.794967411202947,6.049853609829211,6.847848748795278,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,22.082,0.36000000000000004
1,Max-Reliability,0.9999,1000,38.30005755015488,3.554162256696575,2.8506616677906322,6.72811806666147,8.016466540818255,0.897,0.897,1.0,0.0,0.103,6.341014658146738e-06,3.576659408388019e-05,6.341014658146738e-06,8.883,0.36000000000000004
2,Max-Reliability,0.9,1000,43.724789531544765,3.7596958111519676,2.8668339539635994,7.2244249315791995,9.888506230315507,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,28.0,0.29500000000000004
2,Max-Reliability,0.99,1000,49.52139484761682,3.4710571232428284,2.582414378255848,7.167658096344088,10.21380094526097,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,27.09,0.29500000000000004
2,Max-Reliability,0.999,1000,44.74962503702324,3.832482778949598,2.8978431239501266,7.554574149420243,10.320450824256435,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,20.746,0.29500000000000004
2,Max-Reliability,0.9999,1000,35.05577193053497,3.8774011877181276,2.815699537879752,7.462533097990797,10.380587586514649,0.83,0.83,1.0,0.0,0.17,1.6629224928546017e-05,0.00010061197078192752,1.6629224928546017e-05,7.873,0.29500000000000004
3,Max-Reliability,0.9,1000,42.93018858765505,3.883028605492972,2.9805649046840585,7.224448383714804,10.141146268216403,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,27.976,0.225
3,Max-Reliability,0.99,1000,49.36140800576836,3.4950139632567954,2.5671289270516144,6.775258702707656,9.728223152437241,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,27.356,0.225
3,Max-Reliability,0.999,1000,45.15173884165837,3.9001653761405692,2.794967411202947,8.014505513920028,11.515830825989442,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,22.041,0.225
3,Max-Reliability,0.9999,1000,35.86033127606785,4.015232356759493,2.978591612577432,7.78924995996028,10.16689444704589,0.862,0.862,1.0,0.0,0.138,9.564589566897318e-06,7.71916944090123e-05,9.564589566897318e-06,8.902,0.225
4,Max-Reliability,0.9,1000,43.873310580166105,3.694025811431992,2.907004448278112,6.797994350207663,8.953720845146442,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,27.991,0.395
4,Max-Reliability,0.99,1000,51.534536852295524,3.2497763044443317,2.508953254890514,6.3166807034231915,7.980200228089564,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,27.489,0.395
4,Max-Reliability,0.999,1000,47.614930858229904,3.6233066743804665,2.779303504727409,6.923837840640619,8.710877572650766,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,22.795,0.395
4,Max-Reliability,0.9999,1000,40.500954274404684,3.7897233306267544,2.7591052293198004,7.751260011878066,9.965828194992916,0.932,0.932,1.0,0.0,0.068,3.2680575449921532e-06,1.487069677956741e-05,3.2680575449921532e-06,10.27,0.395
5,Max-Reliability,0.9,1000,45.88571716240367,3.304625847041213,2.721463263875364,6.226371423684699,7.399891617636274,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,28.0,0.28
5,Max-Reliability,0.99,1000,52.71968553852142,2.9697981328767304,2.458216661219822,5.602694857240647,7.157506238915324,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,27.287,0.28
5,Max-Reliability,0.999,1000,48.33967584435996,3.189608295047544,2.6118856588022794,5.927923852424633,7.459268554086696,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,21.807,0.28
5,Max-Reliability,0.9999,1000,39.73636165448518,3.416210779634381,2.7388895222122116,6.564101733682335,7.851158754220365,0.886,0.886,1.0,0.0,0.114,1.0751167029734776e-05,8.155470073112348e-05,1.0751167029734776e-05,8.991,0.28
6,Max-Reliability,0.9,1000,46.24987381640036,3.265852301253294,2.721463263875364,5.979720013534029,7.363395225483464,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,28.0,0.355
6,Max-Reliability,0.99,1000,52.731220553260805,2.911723014817724,2.4695970601443884,5.832498690006597,6.850752697932218,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,27.409,0.355
6,Max-Reliability,0.999,1000,47.64566373527289,3.2154646990279794,2.779303504727409,5.880283072111243,7.163840820320013,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,22.615,0.355
6,Max-Reliability,0.9999,1000,40.509411825533476,3.4399231898071294,2.757898576172366,6.667216049106997,7.628529871741033,0.901,0.901,1.0,0.0,0.099,7.973986807484623e-06,4.258117316191502e-05,7.973986807484623e-06,9.845,0.355
7,Max-Reliability,0.9,1000,43.38285168559,3.764970773249743,2.9004333391799832,7.102869684460652,9.569508604526334,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,27.997,0.37500000000000006
7,Max-Reliability,0.99,1000,50.087247500493866,3.290621260567773,2.5421232794485604,6.3057000375758445,8.571083124095754,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,27.635,0.37500000000000006
7,Max-Reliability,0.999,1000,46.63387438761455,3.5056083981747106,2.779303504727409,6.692075955851263,8.415087399762845,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,22.837,0.37500000000000006
7,Max-Reliability,0.9999,1000,40.377675681953384,3.916335160825058,2.8544545254018896,7.847658741240645,10.051100321009342,0.95,0.95,1.0,0.0,0.05,3.6068173712429095e-06,9.082602893109647e-08,3.6068173712429095e-06,10.219,0.37500000000000006
8,Max-Reliability,0.9,1000,42.27427390608119,4.010579734791523,3.0004551746088453,8.076218412837138,10.45653131737186,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,28.0,0.195
8,Max-Reliability,0.99,1000,49.53528170978017,3.5396409687871078,2.5345047456259735,7.362826084851981,9.79945423453224,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,27.446,0.195
8,Max-Reliability,0.999,1000,43.8408224401062,4.020887999135561,2.8470865726308574,8.07791401870152,10.942435682207162,0.993,0.993,1.0,0.0,0.007,1.6849490133100663e-06,0.0,1.6849490133100663e-06,22.039,0.195
