trial_id,policy,task_order_quartile,tasks,mean_estimated_latency,mean_realized_latency,mean_realized_minus_estimated,mean_decision_backlog_selected,mean_next_arrival_backlog_delta,mean_prior_endpoint_reuses
1,Safe Min-Latency,4,1000,1.7663820302140807,1.839365461780602,0.0729834315665211,0.2181552308747747,0.4913583525122525,131.42
2,Safe Min-Latency,1,1000,1.6233938866136777,1.6913408982415434,0.06794701162786561,0.16196096098817703,0.4888912953223521,17.754
2,Safe Min-Latency,2,1000,1.6929523063343608,1.766042945335149,0.07309063900078792,0.17344796899668627,0.42805837546075265,56.278
2,Safe Min-Latency,3,1000,2.002450254407433,2.0843829687476783,0.08193271434024606,0.2908044645947423,0.5512745765300421,94.57
2,Safe Min-Latency,4,1000,1.7710214456295916,1.8456332429021016,0.07461179727251002,0.20488023803287544,0.4518745886506985,132.836
3,Safe Min-Latency,1,1000,1.624347046560554,1.692615019559269,0.06826797299871512,0.16155440992531278,0.43038081411711604,18.255
3,Safe Min-Latency,2,1000,1.6857895598433232,1.7572538320635442,0.07146427222022086,0.1742093063743079,0.4205071906839333,56.683
3,Safe Min-Latency,3,1000,1.977088982832504,2.09476833464831,0.11767935181580612,0.27440209616535244,0.5600309349006884,92.896
3,Safe Min-Latency,4,1000,1.7706040181172737,1.8524688627991217,0.08186484468184806,0.24107125722169062,0.4642841143295154,132.413
4,Safe Min-Latency,1,1000,1.6193931868416453,1.6853086237411934,0.06591543689954796,0.17265176014812966,0.4412632645423001,18.413
4,Safe Min-Latency,2,1000,1.6966714058683414,1.7707776018259138,0.0741061959575722,0.1924691480347284,0.42060553153079866,55.856
4,Safe Min-Latency,3,1000,1.9713629643965045,2.081577612833562,0.11021464843705751,0.28056610468788096,0.6102342358453569,91.216
4,Safe Min-Latency,4,1000,1.7546185409036612,1.8536562824719067,0.09903774156824545,0.18561504235108106,0.44742434713727114,129.791
5,Safe Min-Latency,1,1000,1.6259187162135382,1.678563129577001,0.05264441336346271,0.16153892351270122,0.4327920852635362,18.242
5,Safe Min-Latency,2,1000,1.694278204822368,1.769963759519081,0.07568555469671287,0.18060490465725892,0.4062036724765677,57.429
5,Safe Min-Latency,3,1000,1.975787638003573,2.0729983521891375,0.09721071418556491,0.28394464040281286,0.5449175462126434,96.154
5,Safe Min-Latency,4,1000,1.755280169851979,1.833826048993586,0.07854587914160713,0.17240688891432246,0.4396424910194218,134.161
6,Safe Min-Latency,1,1000,1.6238378340615351,1.693492493406699,0.06965465934516381,0.1789264551367752,0.4601260777916858,18.066
6,Safe Min-Latency,2,1000,1.690701203033218,1.7497096570670492,0.05900845403383119,0.19190235677084125,0.41380632391092853,56.179
6,Safe Min-Latency,3,1000,1.971301796939146,2.0567458225188675,0.08544402557972114,0.26708400226371193,0.5730931588715146,93.568
6,Safe Min-Latency,4,1000,1.7558835644704043,1.8412281295463433,0.08534456507593903,0.18825643531956063,0.43500573659216535,132.153
7,Safe Min-Latency,1,1000,1.6188468616304892,1.7049746269580806,0.08612776532759144,0.15652471471559537,0.43249105108104563,17.976
7,Safe Min-Latency,2,1000,1.682853277108257,1.7590438489003104,0.07619057179205337,0.17551102844180583,0.44303817113693833,55.731
7,Safe Min-Latency,3,1000,1.9724606862778564,2.061658231057853,0.08919754477999631,0.22919606547117502,0.5357992578896115,91.513
7,Safe Min-Latency,4,1000,1.7721525732062557,1.878878138378286,0.10672556517203015,0.23743519818231557,0.49098240050207087,129.793
8,Safe Min-Latency,1,1000,1.6207621601563826,1.6883297997551698,0.06756763959878714,0.16999091707117486,0.4321572819522131,18.601
8,Safe Min-Latency,2,1000,1.6888184833496818,1.7499274730276162,0.061108989677934294,0.19141695887535728,0.4244699577087051,57.227
8,Safe Min-Latency,3,1000,1.9974791377845418,2.0984442207002156,0.10096508291567412,0.3006507089125472,0.5709088772903778,94.487
8,Safe Min-Latency,4,1000,1.7744993444189,1.8552739775213682,0.08077463310246848,0.2447432136197375,0.48146871544511993,132.967
9,Safe Min-Latency,1,1000,1.6174373540464506,1.6917055845749183,0.07426823052846743,0.14428723579297592,0.45563350662868674,17.881
9,Safe Min-Latency,2,1000,1.6891857067313065,1.7680476878323832,0.07886198110107655,0.1771278034593139,0.4143215871758827,56.693
9,Safe Min-Latency,3,1000,1.9762411951470311,2.0746048432247797,0.09836364807774893,0.2549484515074757,0.5811873615353383,92.063
9,Safe Min-Latency,4,1000,1.7502471334388598,1.8208527475377023,0.07060561409884233,0.16150735317323248,0.492787939652578,130.509
