episode,tasks,mean_reward,mean_latency,mean_safe_set_size,empty_safe_set_rate,feasibility_rate,conditional_rsr,overall_rsr,avoidable_violation_count,unavoidable_violation_count,mean_masked_entropy,pair_78_frequency,pair_selection_hhi,top1_pair_frequency,pair_selection_entropy
25,200,62.322006692467724,2.011961740278291,22.53,0.0,1.0,1.0,1.0,0,0,3.037838215827942,0.065,0.046450000000000005,0.08,3.178530685720078
26,200,62.18208341046234,2.0153546903461295,20.795,0.0,1.0,1.0,1.0,0,0,2.7797416251897813,0.135,0.053700000000000025,0.135,3.1297445744261796
27,200,62.59225337680244,1.9814038141744412,21.935,0.0,1.0,1.0,1.0,0,0,2.981160996556282,0.045,0.05040000000000001,0.105,3.146833168506706
28,200,60.63724269363777,2.1025320415596456,20.995,0.0,1.0,1.0,1.0,0,0,2.8569113886356354,0.09,0.04980000000000001,0.09,3.1551806776130764
29,200,55.27516809265672,2.1158254440335758,19.985,0.09,0.91,1.0,0.91,0,18,2.6582232022285464,0.14,0.05560000000000001,0.14,3.1068197403529187
30,200,62.23679288397554,2.0244642592989464,23.905,0.0,1.0,1.0,1.0,0,0,3.1045157033205033,0.04,0.04895000000000001,0.11,3.160116380068104
31,200,62.05499934947137,2.08069909708664,21.825,0.0,1.0,1.0,1.0,0,0,2.9209722578525543,0.06,0.04705,0.07,3.1664680987270093
32,200,58.6681531709043,1.9976517482824319,16.205,0.08,0.92,1.0,0.92,0,16,2.3395909708738327,0.11,0.08414999999999999,0.22,2.903840954158303
33,200,61.965880017179536,2.0299148677418497,23.795,0.0,1.0,1.0,1.0,0,0,3.1016924250125886,0.055,0.04210000000000001,0.07,3.239097213273232
34,200,62.49492802104442,2.0482490742591564,20.37,0.0,1.0,1.0,1.0,0,0,2.7780589190125466,0.085,0.05340000000000001,0.12,3.1079369723046484
35,200,62.246884153092445,2.037523932765899,23.105,0.0,1.0,1.0,1.0,0,0,3.0303239011764527,0.075,0.045350000000000015,0.085,3.2030067016671926
36,200,61.709217329478015,2.036012493178467,21.57,0.0,1.0,1.0,1.0,0,0,2.9221518558263777,0.065,0.044600000000000015,0.085,3.207983987224103
37,200,60.39607543921442,2.108256833692348,23.135,0.0,1.0,1.0,1.0,0,0,3.0506649488210678,0.035,0.0399,0.075,3.2763427071486633
38,200,62.83211005126861,2.027719523580734,24.86,0.0,1.0,1.0,1.0,0,0,3.1771278309822084,0.05,0.04465000000000001,0.08,3.2033143031280082
39,200,53.61757066952383,2.0417043476937,19.31,0.15,0.85,1.0,0.85,0,30,2.5284928011894228,0.065,0.0669,0.185,3.0298501430608167
