state_id,trial_id,task_id,requirement,load_tertile,safe_set_size,action_source,myopic_action,ppo_action,same_action,myopic_estimated_latency,ppo_estimated_latency,immediate_latency_gap,reliability_gap,rho_gap,q_ml_h1,q_ppo_h1,q_gap_ppo_minus_ml_h1,justified_h1,q_ml_h5,q_ppo_h5,q_gap_ppo_minus_ml_h5,justified_h5,q_ml_h10,q_ppo_h10,q_gap_ppo_minus_ml_h10,justified_h10,q_ml_h20,q_ppo_h20,q_gap_ppo_minus_ml_h20,justified_h20,q_ml_h50,q_ppo_h50,q_gap_ppo_minus_ml_h50,justified_h50
trial_001_ep1_task030,1,30,0.9999,medium,2,PPO high probability,27,27,True,2.000224714597189,2.000224714597189,0.0,0.0,0.0,51.8198997847689,51.8198997847689,0.0,False,271.20871338167046,271.20871338167046,0.0,False,478.2672935350414,478.2672935350414,0.0,False,616.7803423229652,616.7803423229652,0.0,False,693.7199879113358,693.7199879113358,0.0,False
trial_001_ep1_task032,1,32,0.999,low,18,PPO sampled,6,23,False,2.471373842168872,2.505046527523545,0.0336726853546736,0.0003828428325229,0.2991226237405465,0.0,0.0,0.0,False,264.3262048095297,263.8773122614401,-0.4488925480895886,False,466.9101099955413,466.4612174474517,-0.4488925480895886,False,591.06418636799,590.6152938199004,-0.4488925480895886,False,676.8001919380291,676.3512993899395,-0.4488925480895886,False
trial_001_ep1_task032,1,32,0.999,low,18,PPO high probability,6,27,False,2.471373842168872,2.471373842168872,0.0,0.0004585990041854,0.101316841537665,0.0,0.0,0.0,False,264.3262048095297,264.3262048095297,0.0,False,466.9101099955413,466.9101099955413,0.0,False,591.06418636799,591.06418636799,0.0,False,676.8001919380291,676.8001919380291,0.0,False
trial_001_ep1_task035,1,35,0.99,low,28,PPO sampled,6,20,False,1.2894831952670105,1.3359121393824285,0.0464289441154182,8.429166958245915e-05,0.3193313279647851,77.30482234814991,75.41982386322519,-1.884998484924722,False,352.5405221235483,350.6555236386236,-1.884998484924722,False,493.76812006127335,491.88312157634863,-1.884998484924722,False,653.0289699688976,651.1439714839729,-1.884998484924722,False,721.0313900195059,719.1463915345812,-1.884998484924722,False
trial_001_ep1_task035,1,35,0.99,low,28,PPO high probability,6,27,False,1.2894831952670105,1.2894831952670105,0.0,0.0001405301205735,0.101316841537665,77.30482234814991,77.30482234814991,0.0,False,352.5405221235483,352.5405221235483,0.0,False,493.76812006127335,493.76812006127335,0.0,False,653.0289699688976,653.0289699688976,0.0,False,721.0313900195059,721.0313900195059,0.0,False
trial_001_ep1_task037,1,37,0.999,low,28,PPO sampled,5,23,False,0.537425818075278,0.537425818075278,0.0,6.996677965886988e-07,0.1863474661271652,130.6194845040266,130.6194845040266,0.0,False,343.07762228998206,343.07762228998206,0.0,False,477.71736355846826,477.71736355846826,0.0,False,630.8193018182707,630.8193018182707,0.0,False,700.5084015014411,700.5084015014411,0.0,False
trial_001_ep1_task037,1,37,0.999,low,28,PPO high probability,5,27,False,0.537425818075278,0.537425818075278,0.0,1.909190998627963e-06,-0.0114583160757162,130.6194845040266,130.6194845040266,0.0,False,343.07762228998206,343.07762228998206,0.0,False,477.71736355846826,477.71736355846826,0.0,False,630.8193018182707,630.8193018182707,0.0,False,700.5084015014411,700.5084015014411,0.0,False
trial_001_ep1_task039,1,39,0.9999,medium,8,PPO sampled,26,23,False,1.5578861018624712,1.913543264962456,0.3556571630999849,3.767508687546606e-05,-0.0294917325094168,148.37611093954024,141.92829579629336,-6.447815143246885,False,363.62927042395575,357.18145528070886,-6.447815143246885,False,505.90250079426943,499.45468565102254,-6.447815143246885,False,636.2296526135311,629.7818374702842,-6.447815143246885,False,710.0143793375858,703.5665641943389,-6.447815143246885,False
trial_001_ep1_task039,1,39,0.9999,medium,8,PPO high probability,26,27,False,1.5578861018624712,1.5578861018624712,0.0,5.880149896597686e-05,-0.2272975147122983,148.37611093954024,141.92829579629336,-6.447815143246885,False,363.62927042395575,357.18145528070886,-6.447815143246885,False,505.90250079426943,499.45468565102254,-6.447815143246885,False,636.2296526135311,629.7818374702842,-6.447815143246885,False,710.0143793375858,703.5665641943389,-6.447815143246885,False
trial_001_ep1_task040,1,40,0.9,low,28,PPO sampled,6,5,False,2.607897259090203,2.6891827998985662,0.0812855408083632,0.0004095563212475,0.1127751576133813,0.0,0.0,0.0,False,262.5002698886875,239.1701772049061,-23.3300926837814,False,420.5816369668139,397.2515442830325,-23.33009268378146,False,580.757300792866,557.4272081090845,-23.33009268378146,False,649.1732102335659,625.8431175497844,-23.33009268378146,False
