Alpha,Heterogeneity_Scenario,Beta_p,Task_ID,Primary_Server,Best_Backup,Second_Backup,Best_Marginal,Second_Marginal,Marginal_Ratio,Best_Rho,Second_Rho,Best_Amplification,Second_Amplification,Required_Amplification_Ratio,Observed_Amplification_Ratio,Reversal_Margin,Actual_Reversal
0.0,H0,0.0,11,4,8,7,0.002041630068649359,0.0028642204083431876,1.402908613232765,0.09898217615586608,0.3447276787973151,1.0,1.0,1.402908613232765,1.0,0.7128048046520076,False
0.0,H0,0.0,11,5,8,7,0.002041630068649359,0.0028642204083431876,1.402908613232765,0.07217003908143543,0.3245189745730765,1.0,1.0,1.402908613232765,1.0,0.7128048046520076,False
0.0,H0,0.0,11,6,8,7,0.002041630068649359,0.0028642204083431876,1.402908613232765,0.3540107070824934,0.3499394055117266,1.0,1.0,1.402908613232765,1.0,0.7128048046520076,False
0.0,H0,0.0,11,7,8,1,0.002041630068649359,0.007704449136398479,3.7736753855194536,0.12671319237019502,0.13817150844591128,1.0,1.0,3.7736753855194536,1.0,0.2649936462042424,False
0.0,H0,0.0,11,8,7,1,0.0028642204083431876,0.007704449136398479,2.6898939459952835,0.12671319237019502,0.025396350832529932,1.0,1.0,2.6898939459952835,1.0,0.37176186871188766,False
0.0,H0,0.0,12,1,8,7,0.0014781078000758012,0.0020738861733538352,1.4030682831438146,0.025396350832529932,0.13817150844591128,1.0,1.0,1.4030682831438146,1.0,0.7127236870890765,False
0.0,H0,0.0,12,2,8,7,0.0014781078000758012,0.0020738861733538352,1.4030682831438146,0.1712773597674974,0.15181352681030647,1.0,1.0,1.4030682831438146,1.0,0.7127236870890765,False
0.0,H0,0.0,12,3,8,7,0.0014781078000758012,0.0020738861733538352,1.4030682831438146,0.02802898486305948,0.2198676965397751,1.0,1.0,1.4030682831438146,1.0,0.7127236870890765,False
0.0,H0,0.0,12,4,8,7,0.0014781078000758012,0.0020738861733538352,1.4030682831438146,0.09898217615586608,0.3447276787973151,1.0,1.0,1.4030682831438146,1.0,0.7127236870890765,False
0.0,H0,0.0,12,5,8,7,0.0014781078000758012,0.0020738861733538352,1.4030682831438146,0.07217003908143543,0.3245189745730765,1.0,1.0,1.4030682831438146,1.0,0.7127236870890765,False
0.0,H0,0.0,12,6,8,7,0.0014781078000758012,0.0020738861733538352,1.4030682831438146,0.3540107070824934,0.3499394055117266,1.0,1.0,1.4030682831438146,1.0,0.7127236870890765,False
0.0,H0,0.0,12,7,8,1,0.0014781078000758012,0.005582278389057955,3.77663820512393,0.12671319237019502,0.13817150844591128,1.0,1.0,3.77663820512393,1.0,0.2647857553956999,False
0.0,H0,0.0,12,8,7,1,0.0020738861733538352,0.005582278389057955,2.6916995063573994,0.12671319237019502,0.025396350832529932,1.0,1.0,2.6916995063573994,1.0,0.3715124952239827,False
0.0,H0,0.0,13,1,8,7,0.0026438284052718894,0.0037085984244643396,1.402737945121272,0.025396350832529932,0.13817150844591128,1.0,1.0,1.402737945121272,1.0,0.7128915300808707,False
0.0,H0,0.0,13,2,8,7,0.0026438284052718894,0.0037085984244643396,1.402737945121272,0.1712773597674974,0.15181352681030647,1.0,1.0,1.402737945121272,1.0,0.7128915300808707,False
0.0,H0,0.0,13,3,8,7,0.0026438284052718894,0.0037085984244643396,1.402737945121272,0.02802898486305948,0.2198676965397751,1.0,1.0,1.402737945121272,1.0,0.7128915300808707,False
0.0,H0,0.0,13,4,8,7,0.0026438284052718894,0.0037085984244643396,1.402737945121272,0.09898217615586608,0.3447276787973151,1.0,1.0,1.402737945121272,1.0,0.7128915300808707,False
0.0,H0,0.0,13,5,8,7,0.0026438284052718894,0.0037085984244643396,1.402737945121272,0.07217003908143543,0.3245189745730765,1.0,1.0,1.402737945121272,1.0,0.7128915300808707,False
0.0,H0,0.0,13,6,8,7,0.0026438284052718894,0.0037085984244643396,1.402737945121272,0.3540107070824934,0.3499394055117266,1.0,1.0,1.402737945121272,1.0,0.7128915300808707,False
0.0,H0,0.0,13,7,8,1,0.0026438284052718894,0.009968585186216999,3.7705114168299576,0.12671319237019502,0.13817150844591128,1.0,1.0,3.7705114168299576,1.0,0.2652160116891374,False
0.0,H0,0.0,13,8,7,1,0.0037085984244643396,0.009968585186216999,2.6879656531313,0.12671319237019502,0.025396350832529932,1.0,1.0,2.6879656531313,1.0,0.3720285632500799,False
