Beta_p,Independent_Baseline_Type,Server_J,Server_K,Distance_km,Rho_phy,Empirical_Latent_Correlation,Theoretical_Latent_Correlation,Empirical_Hazard_Correlation,Theoretical_Hazard_Correlation,Mean_Marginal_Failure_J_Spatial,Mean_Marginal_Failure_K_Spatial,Mean_Joint_Failure_Spatial,Mean_Joint_Failure_Independent,Mean_Joint_Failure_Amplification,Mean_Excess_Joint_Failure,Mean_Relative_Joint_Underestimation,Mean_Binary_Failure_Correlation,Max_Binary_Failure_Correlation,Max_Joint_Failure_Amplification,Max_Absolute_Marginal_Difference
0.2,matched_marginal_product,2,3,1.4783709335735,0.05198802542815817,0.05101761731169511,0.05198802542815817,0.049343121161911724,0.051008214416750915,0.014108955457833855,0.009219663156462445,0.00014492003313279709,0.00014463360512455663,1.0019853624453563,2.8642800824044966e-07,0.001985362445356362,2.291020792676306e-05,4.3750982429836206e-05,1.0020052948345708,0.0
0.2,matched_marginal_product,2,4,0.60420632526679,0.29867099860174734,0.29299833241058426,0.29867099860174734,0.2884256975392596,0.29449302823729484,0.014108955457833855,0.009079327851290082,0.00014408161623359847,0.00014243310853892722,1.01160381035694,1.6485076946712522e-06,0.01160381035694013,0.0001328648950510753,0.00025366093844170944,1.0117232174109978,0.0
0.2,matched_marginal_product,2,5,1.483904963642815,0.05141579143797567,0.05170135201603366,0.05141579143797567,0.049509798346688255,0.05044618769741891,0.014108955457833855,0.008257034607218171,0.00012979628282451321,0.00012953869539648793,1.001993293642667,2.575874280252866e-07,0.0019932936426670265,2.17573519961087e-05,4.155912707535604e-05,1.0020124314050969,0.0
0.2,matched_marginal_product,2,6,0.8289911193094304,0.19052302251529626,0.19137142217651287,0.19052302251529626,0.18777458088008675,0.1874513331093067,0.014108955457833855,0.016456920003029726,0.00026001111287330027,0.00025807289349770164,1.0075357958702822,1.9382193755986566e-06,0.007535795870282021,0.00011660129358279664,0.00022224304448183107,1.0076377394671925,0.0
0.2,matched_marginal_product,2,7,0.9425511542841537,0.15181352681030647,0.15192651599834628,0.15181352681030647,0.14948076698792254,0.14925020288892327,0.014108955457833855,0.00028447158136366327,4.491655066036363e-06,4.464674671479371e-06,1.00605272653303,2.6980394556992138e-08,0.00605272653303006,1.2213773127625252e-05,2.336689003833164e-05,1.0060910619469408,0.0
0.2,matched_marginal_product,2,8,0.8822355247676016,0.1712773597674974,0.1698816308626508,0.1712773597674974,0.1653529398623622,0.1684510269989985,0.014108955457833855,0.00037555902861386375,5.933717532469826e-06,5.894230794433008e-06,1.00670992178562,3.9486738036818376e-08,0.006709921785619878,1.5558134295127244e-05,2.9765503310345584e-05,1.0067524672094343,0.0
0.2,matched_marginal_product,3,4,0.878706288195088,0.1724905931622923,0.1723698024491774,0.1724905931622923,0.16969947029915747,0.1696483613551758,0.009219663156462445,0.009079327851290082,9.37321816053683e-05,9.30978649882171e-05,1.0068272410216168,6.343166171511904e-07,0.006827241021616736,6.303764499613353e-05,0.0001204924047519266,1.0068822229160073,0.0
0.2,matched_marginal_product,3,5,0.8574841534545671,0.1799694244100487,0.18288197191683087,0.1799694244100487,0.18010926356573986,0.17703046812308945,0.009219663156462445,0.008257034607218171,8.528227725196642e-05,8.466976217600513e-05,1.0072482163714411,6.125150759612773e-07,0.007248216371441192,6.379551626601256e-05,0.00012196059066887849,1.0073041689163826,0.0
0.2,matched_marginal_product,3,6,1.2822336742801248,0.07696016346817264,0.07610017267271235,0.07696016346817264,0.0747047581332599,0.07554744449288443,0.009219663156462445,0.016456920003029726,0.00016918700280209135,0.0001686827566554657,1.0029978253560303,5.042461466256835e-07,0.0029978253560305535,3.740437850805944e-05,7.137372003167206e-05,1.0030318404948273,0.0
0.2,matched_marginal_product,3,7,0.7573646464477674,0.2198676965397751,0.2176397948861664,0.2198676965397751,0.21334280778684592,0.21645006994289867,0.009219663156462445,0.00028447158136366327,2.9434083782484095e-06,2.9182274939903335e-06,1.0086379086955444,2.5180884258076425e-08,0.008637908695544386,1.4055564098130117e-05,2.692084276718641e-05,1.0086739200118624,0.0
0.2,matched_marginal_product,3,8,1.78725806527452,0.02802898486305948,0.03011370433827461,0.02802898486305948,0.029216507282800952,0.027487548346338726,0.009219663156462445,0.00037555902861386375,3.857184364425037e-06,3.85262250838347e-06,1.0011853658782734,4.561856041567095e-09,0.0011853658782735677,2.2162977194334223e-06,4.244589958485887e-06,1.0011904218076149,0.0
