Gamma,CPU_Heterogeneity_Scenario,Beta_p,Task_ID,Primary_Server,CPU_Mean,CPU_Std,CPU_CV,Primary_CPU,Primary_Marginal_Failure,Independent_Selected_Backup,Independent_Backup_CPU,Independent_Backup_Marginal_Failure,Independent_Selected_Rho,Independent_Selected_Distance_km,Independent_Actual_Joint_Risk,Correlation_Aware_Selected_Backup,Correlation_Aware_Backup_CPU,Correlation_Aware_Backup_Marginal_Failure,Correlation_Aware_Selected_Rho,Correlation_Aware_Selected_Distance_km,Correlation_Aware_Actual_Joint_Risk,Selection_Changed,Absolute_Risk_Reduction,Relative_Risk_Reduction
0.3333333333333333,C1,0.8,195,8,21.2975,5.375868599067917,0.2524178236444614,32.98166666666667,0.002219365700935926,7,27.581666666666663,0.002653532198595389,0.12671319237019502,1.0329145370926014,6.3938494970383e-06,7,27.581666666666663,0.002653532198595389,0.12671319237019502,1.0329145370926014,6.3938494970383e-06,False,0.0,0.0
0.3333333333333333,C1,0.8,196,1,21.2975,5.375868599067917,0.2524178236444614,19.161666666666665,0.006905627464522218,8,32.98166666666667,0.0039942913280322226,0.025396350832529932,1.836574891644758,2.7993080683562432e-05,8,32.98166666666667,0.0039942913280322226,0.025396350832529932,1.836574891644758,2.7993080683562432e-05,False,0.0,0.0
0.3333333333333333,C1,0.8,196,2,21.2975,5.375868599067917,0.2524178236444614,18.02166666666667,0.007274615833988743,8,32.98166666666667,0.0039942913280322226,0.1712773597674974,0.8822355247676016,3.2258623586812465e-05,8,32.98166666666667,0.0039942913280322226,0.1712773597674974,0.8822355247676016,3.2258623586812465e-05,False,0.0,0.0
0.3333333333333333,C1,0.8,196,3,21.2975,5.375868599067917,0.2524178236444614,18.041666666666664,0.007277229029687038,8,32.98166666666667,0.0039942913280322226,0.02802898486305948,1.78725806527452,2.958275889078353e-05,8,32.98166666666667,0.0039942913280322226,0.02802898486305948,1.78725806527452,2.958275889078353e-05,False,0.0,0.0
0.3333333333333333,C1,0.8,196,4,21.2975,5.375868599067917,0.2524178236444614,18.698333333333334,0.007026000487725435,8,32.98166666666667,0.0039942913280322226,0.09898217615586608,1.1564077419430592,2.977867626446063e-05,8,32.98166666666667,0.0039942913280322226,0.09898217615586608,1.1564077419430592,2.977867626446063e-05,False,0.0,0.0
0.3333333333333333,C1,0.8,196,5,21.2975,5.375868599067917,0.2524178236444614,17.741666666666667,0.007398141091973702,8,32.98166666666667,0.0039942913280322226,0.07217003908143543,1.314365145189487,3.104122129815305e-05,8,32.98166666666667,0.0039942913280322226,0.07217003908143543,1.314365145189487,3.104122129815305e-05,False,0.0,0.0
0.3333333333333333,C1,0.8,196,6,21.2975,5.375868599067917,0.2524178236444614,18.151666666666667,0.0072274434310272305,8,32.98166666666667,0.0039942913280322226,0.3540107070824934,0.5192140601550097,3.627580771045703e-05,8,32.98166666666667,0.0039942913280322226,0.3540107070824934,0.5192140601550097,3.627580771045703e-05,False,0.0,0.0
0.3333333333333333,C1,0.8,196,7,21.2975,5.375868599067917,0.2524178236444614,27.581666666666663,0.004774210061706005,8,32.98166666666667,0.0039942913280322226,0.12671319237019502,1.0329145370926014,2.0697514291523314e-05,8,32.98166666666667,0.0039942913280322226,0.12671319237019502,1.0329145370926014,2.0697514291523314e-05,False,0.0,0.0
0.3333333333333333,C1,0.8,196,8,21.2975,5.375868599067917,0.2524178236444614,32.98166666666667,0.0039942913280322226,7,27.581666666666663,0.004774210061706005,0.12671319237019502,1.0329145370926014,2.0697514291523314e-05,7,27.581666666666663,0.004774210061706005,0.12671319237019502,1.0329145370926014,2.0697514291523314e-05,False,0.0,0.0
0.3333333333333333,C1,0.8,197,1,21.2975,5.375868599067917,0.2524178236444614,19.161666666666665,0.0060652115366939974,8,32.98166666666667,0.0035069934226941205,0.025396350832529932,1.836574891644758,2.1587052899377273e-05,8,32.98166666666667,0.0035069934226941205,0.025396350832529932,1.836574891644758,2.1587052899377273e-05,False,0.0,0.0
0.3333333333333333,C1,0.8,197,2,21.2975,5.375868599067917,0.2524178236444614,18.02166666666667,0.006389573498170794,8,32.98166666666667,0.0035069934226941205,0.1712773597674974,0.8822355247676016,2.4881124321595473e-05,8,32.98166666666667,0.0035069934226941205,0.1712773597674974,0.8822355247676016,2.4881124321595473e-05,False,0.0,0.0
0.3333333333333333,C1,0.8,197,3,21.2975,5.375868599067917,0.2524178236444614,18.041666666666664,0.006391805196948115,8,32.98166666666667,0.0035069934226941205,0.02802898486305948,1.78725806527452,2.2813864906562213e-05,8,32.98166666666667,0.0035069934226941205,0.02802898486305948,1.78725806527452,2.2813864906562213e-05,False,0.0,0.0
0.3333333333333333,C1,0.8,197,4,21.2975,5.375868599067917,0.2524178236444614,18.698333333333334,0.006170935676567576,8,32.98166666666667,0.0035069934226941205,0.09898217615586608,1.1564077419430592,2.2965575616832263e-05,8,32.98166666666667,0.0035069934226941205,0.09898217615586608,1.1564077419430592,2.2965575616832263e-05,False,0.0,0.0
0.3333333333333333,C1,0.8,197,5,21.2975,5.375868599067917,0.2524178236444614,17.741666666666667,0.006498109226911367,8,32.98166666666667,0.0035069934226941205,0.07217003908143543,1.314365145189487,2.3940178034523347e-05,8,32.98166666666667,0.0035069934226941205,0.07217003908143543,1.314365145189487,2.3940178034523347e-05,False,0.0,0.0
0.3333333333333333,C1,0.8,197,6,21.2975,5.375868599067917,0.2524178236444614,18.151666666666667,0.006348050179260411,8,32.98166666666667,0.0035069934226941205,0.3540107070824934,0.5192140601550097,2.7984912077207602e-05,8,32.98166666666667,0.0035069934226941205,0.3540107070824934,0.5192140601550097,2.7984912077207602e-05,False,0.0,0.0
0.3333333333333333,C1,0.8,197,7,21.2975,5.375868599067917,0.2524178236444614,27.581666666666663,0.004192117381700575,8,32.98166666666667,0.0035069934226941205,0.12671319237019502,1.0329145370926014,1.5958114270054833e-05,8,32.98166666666667,0.0035069934226941205,0.12671319237019502,1.0329145370926014,1.5958114270054833e-05,False,0.0,0.0
0.3333333333333333,C1,0.8,197,8,21.2975,5.375868599067917,0.2524178236444614,32.98166666666667,0.0035069934226941205,7,27.581666666666663,0.004192117381700575,0.12671319237019502,1.0329145370926014,1.5958114270054833e-05,7,27.581666666666663,0.004192117381700575,0.12671319237019502,1.0329145370926014,1.5958114270054833e-05,False,0.0,0.0
0.3333333333333333,C1,0.8,198,1,21.2975,5.375868599067917,0.2524178236444614,19.161666666666665,0.004379562408089871,8,32.98166666666667,0.0025306000165903134,0.025396350832529932,1.836574891644758,1.1248015949787245e-05,8,32.98166666666667,0.0025306000165903134,0.025396350832529932,1.836574891644758,1.1248015949787245e-05,False,0.0,0.0
0.3333333333333333,C1,0.8,198,2,21.2975,5.375868599067917,0.2524178236444614,18.02166666666667,0.004614183141492848,8,32.98166666666667,0.0025306000165903134,0.1712773597674974,0.8822355247676016,1.2969306161802827e-05,8,32.98166666666667,0.0025306000165903134,0.1712773597674974,0.8822355247676016,1.2969306161802827e-05,False,0.0,0.0
0.3333333333333333,C1,0.8,198,3,21.2975,5.375868599067917,0.2524178236444614,18.041666666666664,0.00461570102240817,8,32.98166666666667,0.0025306000165903134,0.02802898486305948,1.78725806527452,1.188821245763597e-05,8,32.98166666666667,0.0025306000165903134,0.02802898486305948,1.78725806527452,1.188821245763597e-05,False,0.0,0.0
0.3333333333333333,C1,0.8,198,4,21.2975,5.375868599067917,0.2524178236444614,18.698333333333334,0.004455903042888889,8,32.98166666666667,0.0025306000165903134,0.09898217615586608,1.1564077419430592,1.1967919663155264e-05,8,32.98166666666667,0.0025306000165903134,0.09898217615586608,1.1564077419430592,1.1967919663155264e-05,False,0.0,0.0
0.3333333333333333,C1,0.8,198,5,21.2975,5.375868599067917,0.2524178236444614,17.741666666666667,0.0046926165482876515,8,32.98166666666667,0.0025306000165903134,0.07217003908143543,1.314365145189487,1.2476770224111343e-05,8,32.98166666666667,0.0025306000165903134,0.07217003908143543,1.314365145189487,1.2476770224111343e-05,False,0.0,0.0
0.3333333333333333,C1,0.8,198,6,21.2975,5.375868599067917,0.2524178236444614,18.151666666666667,0.004584065561839965,8,32.98166666666667,0.0025306000165903134,0.3540107070824934,0.5192140601550097,1.4592744577147693e-05,8,32.98166666666667,0.0025306000165903134,0.3540107070824934,0.5192140601550097,1.4592744577147693e-05,False,0.0,0.0
0.3333333333333333,C1,0.8,198,7,21.2975,5.375868599067917,0.2524178236444614,27.581666666666663,0.0030254887671900123,8,32.98166666666667,0.0025306000165903134,0.12671319237019502,1.0329145370926014,8.311989777159332e-06,8,32.98166666666667,0.0025306000165903134,0.12671319237019502,1.0329145370926014,8.311989777159332e-06,False,0.0,0.0
0.3333333333333333,C1,0.8,198,8,21.2975,5.375868599067917,0.2524178236444614,32.98166666666667,0.0025306000165903134,7,27.581666666666663,0.0030254887671900123,0.12671319237019502,1.0329145370926014,8.311989777159332e-06,7,27.581666666666663,0.0030254887671900123,0.12671319237019502,1.0329145370926014,8.311989777159332e-06,False,0.0,0.0
0.3333333333333333,C1,0.8,199,1,21.2975,5.375868599067917,0.2524178236444614,19.161666666666665,0.008534146392279661,8,32.98166666666667,0.004939494541703569,0.025396350832529932,1.836574891644758,4.278005759965687e-05,8,32.98166666666667,0.004939494541703569,0.025396350832529932,1.836574891644758,4.278005759965687e-05,False,0.0,0.0
0.3333333333333333,C1,0.8,199,2,21.2975,5.375868599067917,0.2524178236444614,18.02166666666667,0.00898939086945273,8,32.98166666666667,0.004939494541703569,0.1712773597674974,0.8822355247676016,4.928096451954587e-05,8,32.98166666666667,0.004939494541703569,0.1712773597674974,0.8822355247676016,4.928096451954587e-05,False,0.0,0.0
0.3333333333333333,C1,0.8,199,3,21.2975,5.375868599067917,0.2524178236444614,18.041666666666664,0.00899279038712491,8,32.98166666666667,0.004939494541703569,0.02802898486305948,1.78725806527452,4.520592232951522e-05,8,32.98166666666667,0.004939494541703569,0.02802898486305948,1.78725806527452,4.520592232951522e-05,False,0.0,0.0
0.3333333333333333,C1,0.8,199,4,21.2975,5.375868599067917,0.2524178236444614,18.698333333333334,0.008682902517780153,8,32.98166666666667,0.004939494541703569,0.09898217615586608,1.1564077419430592,4.550292629578075e-05,8,32.98166666666667,0.004939494541703569,0.09898217615586608,1.1564077419430592,4.550292629578075e-05,False,0.0,0.0
0.3333333333333333,C1,0.8,199,5,21.2975,5.375868599067917,0.2524178236444614,17.741666666666667,0.009141926032340611,8,32.98166666666667,0.004939494541703569,0.07217003908143543,1.314365145189487,4.7428634990822755e-05,8,32.98166666666667,0.004939494541703569,0.07217003908143543,1.314365145189487,4.7428634990822755e-05,False,0.0,0.0
0.3333333333333333,C1,0.8,199,6,21.2975,5.375868599067917,0.2524178236444614,18.151666666666667,0.008931341646281973,8,32.98166666666667,0.004939494541703569,0.3540107070824934,0.5192140601550097,5.539756153676339e-05,8,32.98166666666667,0.004939494541703569,0.3540107070824934,0.5192140601550097,5.539756153676339e-05,False,0.0,0.0
