state_id,trial_id,requirement,load_tertile,safe_set_size,effective_set_size,coupling_group,q_spread,q_std_safe,q_predicted_action,actor_predicted_action,horizon,q_spearman,q_kendall,q_top1_hit,q_top3_hit,q_top5_hit,q_regret,q_optimal_set_size,actor_spearman,actor_kendall,actor_top1_hit,actor_top3_hit,actor_top5_hit,actor_regret,random_top1_hit,random_top3_hit,random_top5_hit,actor_probability_spearman
trial_000_ep1_task133,0,0.99,high,26,26,easy,0.00612640380859375,0.0016202630940824747,5,27,50,0.30954870243532195,0.22722961560641844,True,True,True,0.0,6,0.6229019140625864,0.4934128796025087,True,True,True,0.0,0.23076923076923073,0.5615384615384615,0.7643052599574338,0.9999999999999999
trial_000_ep1_task135,0,0.999,medium,5,5,coupled,0.00146484375,0.000468186306534335,16,27,5,0.7826237921249264,0.5976143046671968,True,True,True,0.0,3,-0.6708203932499368,-0.5976143046671968,False,True,True,36.583023212526825,0.6,1.0,1.0,0.9999999999999999
trial_000_ep1_task135,0,0.999,medium,5,5,coupled,0.00146484375,0.000468186306534335,16,27,10,0.7826237921249264,0.5976143046671968,True,True,True,0.0,3,-0.6708203932499368,-0.5976143046671968,False,True,True,38.8407211664412,0.6,1.0,1.0,0.9999999999999999
trial_000_ep1_task135,0,0.999,medium,5,5,coupled,0.00146484375,0.000468186306534335,16,27,20,0.7826237921249264,0.5976143046671968,True,True,True,0.0,3,-0.6708203932499368,-0.5976143046671968,False,True,True,38.8407211664412,0.6,1.0,1.0,0.9999999999999999
trial_000_ep1_task135,0,0.999,medium,5,5,coupled,0.00146484375,0.000468186306534335,16,27,50,0.7826237921249264,0.5976143046671968,True,True,True,0.0,3,-0.6708203932499368,-0.5976143046671968,False,True,True,38.8407211664412,0.6,1.0,1.0,0.9999999999999999
trial_000_ep1_task138,0,0.9,medium,28,28,easy,0.008281707763671875,0.0023064955603331327,5,27,5,-0.12168141563348774,-0.1315903389919538,False,False,False,18.17528422675477,5,0.1830727180911071,0.1315903389919538,False,False,False,19.14095087230254,0.1785714285714286,0.45940170940170943,0.6576210826210827,0.9999999999999998
trial_000_ep1_task138,0,0.9,medium,28,28,easy,0.008281707763671875,0.0023064955603331327,5,27,10,-0.12168141563348774,-0.1315903389919538,False,False,False,18.175284226754798,5,0.1830727180911071,0.1315903389919538,False,False,False,19.140950872302597,0.1785714285714286,0.45940170940170943,0.6576210826210827,0.9999999999999998
trial_000_ep1_task138,0,0.9,medium,28,28,easy,0.008281707763671875,0.0023064955603331327,5,27,20,-0.12168141563348774,-0.1315903389919538,False,False,False,18.175284226754798,5,0.1830727180911071,0.1315903389919538,False,False,False,19.140950872302597,0.1785714285714286,0.45940170940170943,0.6576210826210827,0.9999999999999998
trial_000_ep1_task138,0,0.9,medium,28,28,easy,0.008281707763671875,0.0023064955603331327,5,27,50,-0.12168141563348774,-0.1315903389919538,False,False,False,18.17528422675491,5,0.1830727180911071,0.1315903389919538,False,False,False,19.140950872302767,0.1785714285714286,0.45940170940170943,0.6576210826210827,0.9999999999999998
trial_000_ep1_task139,0,0.999,medium,7,7,easy,0.002422332763671875,0.0006928796647116542,16,27,5,-0.21428571428571433,-0.14285714285714288,False,False,False,2.1796079691742136,1,0.5714285714285715,0.4285714285714286,False,True,True,1.7965288332310934,0.1428571428571429,0.4285714285714285,0.7142857142857143,1.0
