state_id,episode,task_id,load,requirement,safe_set_bin,safe_set_size,effective_set_size,max_backlog,gae_kind,gae_value,semantics,component,selected_action,selected_advantage,conflict_state
ep001_task063,1,63,low,0.999,16-28,27,27,0.0,actor_normalized,0.0006321819382719696,decision,total,15,-2.7114062033074333,False
ep001_task063,1,63,low,0.999,16-28,27,27,0.0,actor_normalized,0.0006321819382719696,event,own,15,-2.8514688570166555,False
ep001_task063,1,63,low,0.999,16-28,27,27,0.0,actor_normalized,0.0006321819382719696,event,future,15,-2.842170943040401e-14,False
ep001_task063,1,63,low,0.999,16-28,27,27,0.0,actor_normalized,0.0006321819382719696,event,total,15,-2.851468857016698,False
ep001_task076,1,76,medium,0.9999,16-28,17,17,0.9179872854087536,raw,242.08132934570312,decision,own,21,0.3171402241027437,False
ep001_task076,1,76,medium,0.9999,16-28,17,17,0.9179872854087536,raw,242.08132934570312,decision,future,21,-2.842170943040401e-14,False
ep001_task076,1,76,medium,0.9999,16-28,17,17,0.9179872854087536,raw,242.08132934570312,decision,total,21,0.3171402241026726,False
ep001_task076,1,76,medium,0.9999,16-28,17,17,0.9179872854087536,raw,242.08132934570312,event,own,21,0.3302061233143121,False
ep001_task076,1,76,medium,0.9999,16-28,17,17,0.9179872854087536,raw,242.08132934570312,event,future,21,-2.842170943040401e-14,False
ep001_task076,1,76,medium,0.9999,16-28,17,17,0.9179872854087536,raw,242.08132934570312,event,total,21,0.3302061233143263,False
ep001_task076,1,76,medium,0.9999,16-28,17,17,0.9179872854087536,actor_normalized,0.06405703723430634,decision,own,21,0.3171402241027437,False
ep001_task076,1,76,medium,0.9999,16-28,17,17,0.9179872854087536,actor_normalized,0.06405703723430634,decision,future,21,-2.842170943040401e-14,False
ep001_task076,1,76,medium,0.9999,16-28,17,17,0.9179872854087536,actor_normalized,0.06405703723430634,decision,total,21,0.3171402241026726,False
ep001_task076,1,76,medium,0.9999,16-28,17,17,0.9179872854087536,actor_normalized,0.06405703723430634,event,own,21,0.3302061233143121,False
ep001_task076,1,76,medium,0.9999,16-28,17,17,0.9179872854087536,actor_normalized,0.06405703723430634,event,future,21,-2.842170943040401e-14,False
ep001_task076,1,76,medium,0.9999,16-28,17,17,0.9179872854087536,actor_normalized,0.06405703723430634,event,total,21,0.3302061233143263,False
ep001_task088,1,88,high,0.9999,16-28,24,24,2.0690982639475863,raw,183.26455688476562,decision,own,10,-13.849660414637391,False
ep001_task088,1,88,high,0.9999,16-28,24,24,2.0690982639475863,raw,183.26455688476562,decision,future,10,1.878832846697918,False
ep001_task088,1,88,high,0.9999,16-28,24,24,2.0690982639475863,raw,183.26455688476562,decision,total,10,-11.970827567939466,False
ep001_task088,1,88,high,0.9999,16-28,24,24,2.0690982639475863,raw,183.26455688476562,event,own,10,-14.318493324482155,False
ep001_task088,1,88,high,0.9999,16-28,24,24,2.0690982639475863,raw,183.26455688476562,event,future,10,1.8453033353310673,False
ep001_task088,1,88,high,0.9999,16-28,24,24,2.0690982639475863,raw,183.26455688476562,event,total,10,-12.473189989151109,False
ep001_task088,1,88,high,0.9999,16-28,24,24,2.0690982639475863,actor_normalized,-0.8056141138076782,decision,own,10,-13.849660414637391,False
ep001_task088,1,88,high,0.9999,16-28,24,24,2.0690982639475863,actor_normalized,-0.8056141138076782,decision,future,10,1.878832846697918,False
ep001_task088,1,88,high,0.9999,16-28,24,24,2.0690982639475863,actor_normalized,-0.8056141138076782,decision,total,10,-11.970827567939466,False
ep001_task088,1,88,high,0.9999,16-28,24,24,2.0690982639475863,actor_normalized,-0.8056141138076782,event,own,10,-14.318493324482155,False
ep001_task088,1,88,high,0.9999,16-28,24,24,2.0690982639475863,actor_normalized,-0.8056141138076782,event,future,10,1.8453033353310673,False
ep001_task088,1,88,high,0.9999,16-28,24,24,2.0690982639475863,actor_normalized,-0.8056141138076782,event,total,10,-12.473189989151109,False
ep001_task100,1,100,high,0.9999,16-28,17,17,3.192878340003646,raw,206.72877502441406,decision,own,26,6.408543468811672,False
ep001_task100,1,100,high,0.9999,16-28,17,17,3.192878340003646,raw,206.72877502441406,decision,future,26,2.842170943040401e-14,False
ep001_task100,1,100,high,0.9999,16-28,17,17,3.192878340003646,raw,206.72877502441406,decision,total,26,6.408543468811672,False
ep001_task100,1,100,high,0.9999,16-28,17,17,3.192878340003646,raw,206.72877502441406,event,own,26,6.695897664045006,False
ep001_task100,1,100,high,0.9999,16-28,17,17,3.192878340003646,raw,206.72877502441406,event,future,26,-2.842170943040401e-14,False
ep001_task100,1,100,high,0.9999,16-28,17,17,3.192878340003646,raw,206.72877502441406,event,total,26,6.695897664045049,False
ep001_task100,1,100,high,0.9999,16-28,17,17,3.192878340003646,actor_normalized,-0.45866963267326355,decision,own,26,6.408543468811672,False
ep001_task100,1,100,high,0.9999,16-28,17,17,3.192878340003646,actor_normalized,-0.45866963267326355,decision,future,26,2.842170943040401e-14,False
ep001_task100,1,100,high,0.9999,16-28,17,17,3.192878340003646,actor_normalized,-0.45866963267326355,decision,total,26,6.408543468811672,False
ep001_task100,1,100,high,0.9999,16-28,17,17,3.192878340003646,actor_normalized,-0.45866963267326355,event,own,26,6.695897664045006,False
ep001_task100,1,100,high,0.9999,16-28,17,17,3.192878340003646,actor_normalized,-0.45866963267326355,event,future,26,-2.842170943040401e-14,False
ep001_task100,1,100,high,0.9999,16-28,17,17,3.192878340003646,actor_normalized,-0.45866963267326355,event,total,26,6.695897664045049,False
ep001_task113,1,113,low,0.99,16-28,25,25,0.0,raw,254.8575439453125,decision,own,17,3.5548612791419885,False
ep001_task113,1,113,low,0.99,16-28,25,25,0.0,raw,254.8575439453125,decision,future,17,12.853222025416414,False
ep001_task113,1,113,low,0.99,16-28,25,25,0.0,raw,254.8575439453125,decision,total,17,16.408083304558374,False
ep001_task113,1,113,low,0.99,16-28,25,25,0.0,raw,254.8575439453125,event,own,17,3.450322956523042,False
