state_id,episode,task_id,load,requirement,safe_set_bin,safe_set_size,effective_set_size,max_backlog,method,action_index,semantics,component,optimal_set_hit,top3_hit,top5_hit,regret,optimal_set_size,conflict_state
ep003_task001,3,1,low,0.99,16-28,28,28,0.0,PPO,7,event,future,True,True,True,0.0,28,False
ep003_task001,3,1,low,0.99,16-28,28,28,0.0,PPO,7,event,total,False,False,False,25.31564726482918,7,False
ep003_task013,3,13,high,0.999,16-28,28,28,2.10955374998453,PPO,27,decision,own,False,False,False,30.272941937209467,7,False
ep003_task013,3,13,high,0.999,16-28,28,28,2.10955374998453,PPO,27,decision,future,False,False,False,10.92373566612423,15,False
ep003_task013,3,13,high,0.999,16-28,28,28,2.10955374998453,PPO,27,decision,total,False,False,False,41.19667760333368,5,False
ep003_task013,3,13,high,0.999,16-28,28,28,2.10955374998453,PPO,27,event,own,False,False,False,31.378419246312383,7,False
ep003_task013,3,13,high,0.999,16-28,28,28,2.10955374998453,PPO,27,event,future,False,False,False,11.439236559431322,15,False
ep003_task013,3,13,high,0.999,16-28,28,28,2.10955374998453,PPO,27,event,total,False,False,False,42.8176558057437,5,False
ep003_task026,3,26,high,0.9999,16-28,18,18,2.088563120345758,PPO,25,decision,own,True,True,True,0.0,7,False
ep003_task026,3,26,high,0.9999,16-28,18,18,2.088563120345758,PPO,25,decision,future,True,True,True,0.0,18,False
ep003_task026,3,26,high,0.9999,16-28,18,18,2.088563120345758,PPO,25,decision,total,True,True,True,0.0,7,False
ep003_task026,3,26,high,0.9999,16-28,18,18,2.088563120345758,PPO,25,event,own,True,True,True,0.0,7,False
ep003_task026,3,26,high,0.9999,16-28,18,18,2.088563120345758,PPO,25,event,future,True,True,True,0.0,18,False
ep003_task026,3,26,high,0.9999,16-28,18,18,2.088563120345758,PPO,25,event,total,True,True,True,0.0,7,False
ep003_task038,3,38,low,0.99,16-28,28,28,0.0,PPO,21,decision,own,False,False,False,5.409600001735782,7,True
ep003_task038,3,38,low,0.99,16-28,28,28,0.0,PPO,21,decision,future,True,True,True,0.0,21,True
ep003_task038,3,38,low,0.99,16-28,28,28,0.0,PPO,21,decision,total,True,True,True,0.0,6,True
ep003_task038,3,38,low,0.99,16-28,28,28,0.0,PPO,21,event,own,False,False,False,5.659585857947491,7,True
ep003_task038,3,38,low,0.99,16-28,28,28,0.0,PPO,21,event,future,True,True,True,0.0,21,True
ep003_task038,3,38,low,0.99,16-28,28,28,0.0,PPO,21,event,total,True,True,True,0.0,6,True
ep003_task051,3,51,low,0.999,16-28,28,28,0.0,PPO,25,decision,own,True,True,True,0.0,7,False
ep003_task051,3,51,low,0.999,16-28,28,28,0.0,PPO,25,decision,future,False,False,False,0.04719803848712445,15,False
ep003_task051,3,51,low,0.999,16-28,28,28,0.0,PPO,25,decision,total,False,False,False,0.047198038487067606,5,False
ep003_task051,3,51,low,0.999,16-28,28,28,0.0,PPO,25,event,own,True,True,True,0.0,7,False
ep003_task051,3,51,low,0.999,16-28,28,28,0.0,PPO,25,event,future,False,False,False,0.0494182911917278,15,False
ep003_task051,3,51,low,0.999,16-28,28,28,0.0,PPO,25,event,total,False,False,False,0.0494182911917278,5,False
ep003_task063,3,63,high,0.999,16-28,28,28,2.2519178358284364,PPO,9,decision,own,False,False,False,10.883392535935656,7,False
ep003_task063,3,63,high,0.999,16-28,28,28,2.2519178358284364,PPO,9,decision,future,True,True,True,0.0,21,False
ep003_task063,3,63,high,0.999,16-28,28,28,2.2519178358284364,PPO,9,decision,total,False,False,False,10.883392535935627,6,False
ep003_task063,3,63,high,0.999,16-28,28,28,2.2519178358284364,PPO,9,event,own,False,False,False,11.404910264090347,7,False
ep003_task063,3,63,high,0.999,16-28,28,28,2.2519178358284364,PPO,9,event,future,True,True,True,0.0,21,False
ep003_task063,3,63,high,0.999,16-28,28,28,2.2519178358284364,PPO,9,event,total,False,False,False,11.404910264090404,6,False
ep003_task076,3,76,low,0.9999,16-28,18,18,0.0,PPO,21,decision,own,False,False,False,2.469572853916901,7,False
ep003_task076,3,76,low,0.9999,16-28,18,18,0.0,PPO,21,decision,future,True,True,True,0.0,18,False
ep003_task076,3,76,low,0.9999,16-28,18,18,0.0,PPO,21,decision,total,False,False,False,2.4695728539168726,7,False
ep003_task076,3,76,low,0.9999,16-28,18,18,0.0,PPO,21,event,own,False,False,False,2.590092345189319,7,False
ep003_task076,3,76,low,0.9999,16-28,18,18,0.0,PPO,21,event,future,True,True,True,0.0,18,False
ep003_task076,3,76,low,0.9999,16-28,18,18,0.0,PPO,21,event,total,False,False,False,2.590092345189305,7,False
ep003_task088,3,88,high,0.9999,16-28,28,28,2.3986596399360733,PPO,19,decision,own,True,True,True,0.0,7,False
ep003_task088,3,88,high,0.9999,16-28,28,28,2.3986596399360733,PPO,19,decision,future,True,True,True,0.0,28,False
ep003_task088,3,88,high,0.9999,16-28,28,28,2.3986596399360733,PPO,19,decision,total,True,True,True,0.0,7,False
ep003_task088,3,88,high,0.9999,16-28,28,28,2.3986596399360733,PPO,19,event,own,True,True,True,0.0,7,False
ep003_task088,3,88,high,0.9999,16-28,28,28,2.3986596399360733,PPO,19,event,future,True,True,True,0.0,28,False
