episode,task_id,state_id,split,dataset_index,max_backlog,load,requirement,safe_set_bin,safe_set_size,effective_set_size,root_decision_index,root_decision_time,action_index,pair_j,pair_k,pair_rho,policy_probability,selected_original_action,root_completion_time,root_reward,root_delay,root_reliability,root_reliability_satisfied,preexisting_pending_task_count,preexisting_pending_leakage,duplicate_task_reward_count,relevant_provenance_records,own_undiscounted,own_decision,own_event,future_decision,future_event,total_decision,total_event,future_dec_next_1,future_evt_next_1,future_dec_next_2_5,future_evt_next_2_5,future_dec_next_6_10,future_evt_next_6_10,future_dec_next_11_20,future_evt_next_11_20,future_dec_next_gt20,future_evt_next_gt20,future_evt_lag_0_1s,future_evt_lag_1_2s,future_evt_lag_2_5s,future_evt_lag_gt5s,counterfactual_training_used
289,41,ep289_task041,test,57640,0.0,low,0.999,16-28,27,27,41,72.37525855632694,9,2,5,0.0514157914379756,0.0161481294780969,20,73.19648423315301,103.26090505155804,0.8212256768260744,0.999764087346232,True,2,0.0,0,162,103.26090505155804,103.26090505155804,94.7019019003021,322.1820541089248,272.0261996224709,425.4429591604828,366.728101522773,52.28311984801831,44.52632047897448,143.70437707731392,121.07783634643148,63.0121962153669,51.12491901592076,51.063553628733416,44.81288608071821,12.1188073394918,10.484237700426084,0.0,0.0,44.52632047897448,227.4998791434965,False
289,41,ep289_task041,test,57640,0.0,low,0.999,16-28,27,27,41,72.37525855632694,10,2,6,0.1905230225152962,0.0269450936466455,20,73.02366880212416,118.17614596317308,0.6484102457972227,0.9998841025177144,True,2,0.0,0,162,118.17614596317308,118.17614596317308,110.372326421412,322.1820541089248,272.0261996224709,440.3582000720979,382.39852604388295,52.28311984801831,44.52632047897448,143.70437707731392,121.07783634643148,63.0121962153669,51.12491901592076,51.063553628733416,44.81288608071821,12.1188073394918,10.484237700426084,0.0,0.0,44.52632047897448,227.4998791434965,False
289,41,ep289_task041,test,57640,0.0,low,0.999,16-28,27,27,41,72.37525855632694,11,2,7,0.1518135268103064,0.0352133363485336,20,73.19648423315301,103.26090505155804,0.8212256768260744,0.9998877276721064,True,2,0.0,0,162,103.26090505155804,103.26090505155804,94.7019019003021,322.1820541089248,272.0261996224709,425.4429591604828,366.728101522773,52.28311984801831,44.52632047897448,143.70437707731392,121.07783634643148,63.0121962153669,51.12491901592076,51.063553628733416,44.81288608071821,12.1188073394918,10.484237700426084,0.0,0.0,44.52632047897448,227.4998791434965,False
289,41,ep289_task041,test,57640,0.0,low,0.999,16-28,27,27,41,72.37525855632694,12,2,8,0.1712773597674974,0.0310759861022233,20,73.01997247054133,118.54753629343126,0.6447139142143925,0.9999750806414832,True,2,0.0,0,162,118.54753629343126,118.54753629343126,110.76231950874195,322.1820541089248,272.0261996224709,440.72959040235605,382.78851913121287,52.28311984801831,44.52632047897448,143.70437707731392,121.07783634643148,63.0121962153669,51.12491901592076,51.063553628733416,44.81288608071821,12.1188073394918,10.484237700426084,0.0,0.0,44.52632047897448,227.4998791434965,False
289,41,ep289_task041,test,57640,0.0,low,0.999,16-28,27,27,41,72.37525855632694,13,3,4,0.1724905931622923,0.0245726108551025,20,73.25131009910629,99.33363283258248,0.8760515427793507,0.9999745799346949,True,2,0.0,0,162,99.33363283258248,99.33363283258248,90.57542876990016,322.1820541089248,272.0261996224709,421.5156869415073,362.6016283923711,52.28311984801831,44.52632047897448,143.70437707731392,121.07783634643148,63.0121962153669,51.12491901592076,51.063553628733416,44.81288608071821,12.1188073394918,10.484237700426084,0.0,0.0,44.52632047897448,227.4998791434965,False
289,41,ep289_task041,test,57640,0.0,low,0.999,16-28,27,27,41,72.37525855632694,14,3,5,0.1799694244100487,0.0187441855669021,20,73.25131009910629,99.33363283258248,0.8760515427793507,0.9999800253100266,True,2,0.0,0,162,99.33363283258248,99.33363283258248,90.57542876990016,322.1820541089248,272.0261996224709,421.5156869415073,362.6016283923711,52.28311984801831,44.52632047897448,143.70437707731392,121.07783634643148,63.0121962153669,51.12491901592076,51.063553628733416,44.81288608071821,12.1188073394918,10.484237700426084,0.0,0.0,44.52632047897448,227.4998791434965,False
289,41,ep289_task041,test,57640,0.0,low,0.999,16-28,27,27,41,72.37525855632694,15,3,6,0.0769601634681726,0.026833614334464,20,73.02366880212416,118.17614596317308,0.6484102457972227,0.999990186977085,True,2,0.0,0,162,118.17614596317308,118.17614596317308,110.372326421412,322.1820541089248,272.0261996224709,440.3582000720979,382.39852604388295,52.28311984801831,44.52632047897448,143.70437707731392,121.07783634643148,63.0121962153669,51.12491901592076,51.063553628733416,44.81288608071821,12.1188073394918,10.484237700426084,0.0,0.0,44.52632047897448,227.4998791434965,False
289,41,ep289_task041,test,57640,0.0,low,0.999,16-28,27,27,41,72.37525855632694,16,3,7,0.2198676965397751,0.0378422364592552,20,73.25131009910629,99.33363283258248,0.8760515427793507,0.9999904939183784,True,2,0.0,0,162,99.33363283258248,99.33363283258248,90.57542876990016,322.1820541089248,272.0261996224709,421.5156869415073,362.6016283923711,52.28311984801831,44.52632047897448,143.70437707731392,121.07783634643148,63.0121962153669,51.12491901592076,51.063553628733416,44.81288608071821,12.1188073394918,10.484237700426084,0.0,0.0,44.52632047897448,227.4998791434965,False
289,41,ep289_task041,test,57640,0.0,low,0.999,16-28,27,27,41,72.37525855632694,17,3,8,0.0280289848630594,0.0313171036541461,20,73.01997247054133,118.54753629343126,0.6447139142143925,0.9999978900815504,True,2,0.0,0,162,118.54753629343126,118.54753629343126,110.76231950874195,322.1820541089248,272.0261996224709,440.72959040235605,382.78851913121287,52.28311984801831,44.52632047897448,143.70437707731392,121.07783634643148,63.0121962153669,51.12491901592076,51.063553628733416,44.81288608071821,12.1188073394918,10.484237700426084,0.0,0.0,44.52632047897448,227.4998791434965,False
289,41,ep289_task041,test,57640,0.0,low,0.999,16-28,27,27,41,72.37525855632694,18,4,5,0.1144417689920125,0.0321671105921268,20,73.29232942764855,96.5938880319868,0.9170708713216128,0.9999715988477286,True,2,0.0,0,162,96.5938880319868,96.5938880319868,87.69741368191154,322.1820541089248,272.0261996224709,418.7759421409116,359.72361330438247,52.28311984801831,44.52632047897448,143.70437707731392,121.07783634643148,63.0121962153669,51.12491901592076,51.063553628733416,44.81288608071821,12.1188073394918,10.484237700426084,0.0,0.0,44.52632047897448,227.4998791434965,False
289,41,ep289_task041,test,57640,0.0,low,0.999,16-28,27,27,41,72.37525855632694,19,4,6,0.203391793976239,0.0521450750529766,20,73.02366880212416,118.17614596317308,0.6484102457972227,0.999986047284918,True,2,0.0,0,162,118.17614596317308,118.17614596317308,110.372326421412,322.1820541089248,272.0261996224709,440.3582000720979,382.39852604388295,52.28311984801831,44.52632047897448,143.70437707731392,121.07783634643148,63.0121962153669,51.12491901592076,51.063553628733416,44.81288608071821,12.1188073394918,10.484237700426084,0.0,0.0,44.52632047897448,227.4998791434965,False
289,41,ep289_task041,test,57640,0.0,low,0.999,16-28,27,27,41,72.37525855632694,20,4,7,0.3447276787973151,0.0745319873094558,20,76.16938160450235,30.68854007790745,3.794123048175408,0.9999864837115372,True,2,0.0,0,162,30.68854007790745,30.68854007790745,20.57627137164303,322.1820541089248,272.0261996224709,352.87059418683225,292.602470994114,52.28311984801831,44.52632047897448,143.70437707731392,121.07783634643148,63.0121962153669,51.12491901592076,51.063553628733416,44.81288608071821,12.1188073394918,10.484237700426084,0.0,0.0,44.52632047897448,227.4998791434965,False
289,41,ep289_task041,test,57640,0.0,low,0.999,16-28,27,27,41,72.37525855632694,21,4,8,0.098982176155866,0.0573338121175766,20,73.01997247054133,118.54753629343126,0.6447139142143925,0.9999969999977346,True,2,0.0,0,162,118.54753629343126,118.54753629343126,110.76231950874195,322.1820541089248,272.0261996224709,440.72959040235605,382.78851913121287,52.28311984801831,44.52632047897448,143.70437707731392,121.07783634643148,63.0121962153669,51.12491901592076,51.063553628733416,44.81288608071821,12.1188073394918,10.484237700426084,0.0,0.0,44.52632047897448,227.4998791434965,False
