state_id,positive_fraction,negative_fraction,near_zero_fraction,within_state_sign_diversity
ep146_task063,0.7777777777777778,0.2222222222222222,0.0,2
ep146_task076,,,1.0,0
ep146_task088,0.5,0.5,0.0,2
ep146_task100,,,1.0,0
ep146_task113,,,1.0,0
ep146_task125,0.6956521739130435,0.30434782608695654,0.0,2
ep146_task138,0.75,0.25,0.0,2
ep146_task150,,,1.0,0
ep146_task163,,,1.0,0
ep146_task175,0.35714285714285715,0.6428571428571429,0.0,2
ep146_task188,,,1.0,0
ep146_task200,,,1.0,0
ep147_task001,,,1.0,0
ep147_task013,0.75,0.25,0.0,2
ep147_task026,,,1.0,0
ep147_task038,,,1.0,0
ep147_task051,,,1.0,0
ep147_task063,0.75,0.25,0.0,2
ep147_task076,,,1.0,0
ep147_task088,,,1.0,0
ep147_task100,0.6818181818181818,0.3181818181818182,0.0,2
ep147_task113,0.75,0.25,0.0,2
ep147_task125,0.7083333333333334,0.2916666666666667,0.0,2
ep147_task138,0.5357142857142857,0.4642857142857143,0.0,2
ep147_task150,,,1.0,0
ep147_task163,,,1.0,0
ep147_task175,0.6785714285714286,0.32142857142857145,0.0,2
ep147_task188,0.75,0.25,0.0,2
ep147_task200,,,1.0,0
ep174_task001,,,1.0,0
ep174_task013,,,1.0,0
ep174_task026,0.6666666666666666,0.3333333333333333,0.0,2
ep174_task038,0.5357142857142857,0.4642857142857143,0.0,2
ep174_task051,0.7083333333333334,0.2916666666666667,0.0,2
ep174_task063,,,1.0,0
ep174_task076,,,1.0,0
ep174_task088,,,1.0,0
ep174_task100,0.6875,0.3125,0.0,2
ep174_task113,0.7307692307692307,0.2692307692307692,0.0,2
ep174_task125,0.6842105263157895,0.3157894736842105,0.0,2
ep174_task138,0.7142857142857143,0.2857142857142857,0.0,2
ep174_task150,0.75,0.25,0.0,2
ep174_task163,0.75,0.25,0.0,2
ep174_task175,,,1.0,0
ep174_task188,,,1.0,0
ep174_task200,,,1.0,0
ep176_task001,,,1.0,0
ep176_task013,,,1.0,0
ep176_task026,,,1.0,0
ep176_task038,0.75,0.25,0.0,2
ep176_task051,0.6956521739130435,0.30434782608695654,0.0,2
ep176_task063,,,1.0,0
ep176_task076,0.9375,0.0625,0.0,2
ep176_task088,,,1.0,0
ep176_task100,0.6875,0.3125,0.0,2
ep176_task113,0.5833333333333334,0.4166666666666667,0.0,2
ep176_task125,,,1.0,0
ep176_task138,0.5357142857142857,0.4642857142857143,0.0,2
ep176_task150,,,1.0,0
ep176_task163,,,1.0,0
ep176_task175,0.75,0.25,0.0,2
ep176_task188,,,1.0,0
ep176_task200,,,1.0,0
ep177_task001,,,1.0,0
ep177_task013,0.75,0.25,0.0,2
ep177_task026,0.7894736842105263,0.21052631578947367,0.0,2
ep177_task038,,,1.0,0
ep177_task051,,,1.0,0
ep177_task063,,,1.0,0
ep177_task076,,,1.0,0
ep177_task088,,,1.0,0
ep177_task100,0.8695652173913043,0.13043478260869565,0.0,2
ep177_task113,,,1.0,0
ep177_task125,0.7307692307692307,0.2692307692307692,0.0,2
ep177_task138,0.75,0.25,0.0,2
ep177_task150,0.75,0.25,0.0,2
ep177_task163,,,1.0,0
ep177_task175,0.6785714285714286,0.32142857142857145,0.0,2
ep177_task188,,,1.0,0
ep177_task200,,,1.0,0
ep180_task001,,,1.0,0
ep180_task013,,,1.0,0
ep180_task026,,,1.0,0
ep180_task038,,,1.0,0
ep180_task051,0.6666666666666666,0.3333333333333333,0.0,2
ep180_task063,0.7407407407407407,0.25925925925925924,0.0,2
ep180_task076,,,1.0,0
ep180_task088,,,1.0,0
ep180_task100,,,1.0,0
ep180_task113,,,1.0,0
ep180_task125,,,1.0,0
ep180_task138,0.9642857142857143,0.03571428571428571,0.0,2
ep180_task150,,,1.0,0
ep180_task163,0.75,0.25,0.0,2
ep180_task175,0.75,0.25,0.0,2
ep180_task188,,,1.0,0
ep180_task200,,,1.0,0
ep183_task001,0.75,0.25,0.0,2
ep183_task013,0.75,0.25,0.0,2
ep183_task026,,,1.0,0
ep183_task038,,,1.0,0
ep183_task051,0.7307692307692307,0.2692307692307692,0.0,2
ep183_task063,0.75,0.25,0.0,2
ep183_task076,,,1.0,0
ep183_task088,0.75,0.25,0.0,2
ep183_task100,0.631578947368421,0.3684210526315789,0.0,2
ep183_task113,0.75,0.25,0.0,2
ep183_task125,,,1.0,0
ep183_task138,0.75,0.25,0.0,2
ep183_task150,0.75,0.25,0.0,2
ep183_task163,,,1.0,0
ep183_task175,0.75,0.25,0.0,2
ep183_task188,,,1.0,0
ep183_task200,,,1.0,0
ep197_task001,,,1.0,0
ep197_task013,,,1.0,0
ep197_task026,0.7777777777777778,0.2222222222222222,0.0,2
ep197_task038,0.75,0.25,0.0,2
