state_id,method,reference,candidate_count,spearman,pearson,top1_hit,top3_optimal_overlap,top5_optimal_overlap,top3_reference_overlap,top5_reference_overlap,best_action_index,reference_regret,reference_optimal_set_size
ep001_task051,OldQ,TotalEvent,24,0.06882773584630887,0.13516416498075515,False,0.0,0.4,0.0,0.4,5,7.8160890204095494,6
ep001_task063,SafeMin,OwnEvent,27,0.9999999999999999,0.9965503261324883,True,1.0,1.0,1.0,1.0,5,0.0,7
ep001_task063,PPOActor,OwnEvent,27,0.7293652454424845,0.6401678726307425,True,0.6666666666666666,0.6,0.6666666666666666,0.6,27,0.0,7
ep001_task063,CenteredAdvantage,OwnEvent,27,0.913340857929257,0.9175442283731817,True,0.6666666666666666,0.6,0.6666666666666666,0.6,23,0.0,7
ep001_task063,OldQ,OwnEvent,27,0.5029745761063658,0.5386287899235873,True,1.0,0.6,1.0,0.6,5,0.0,7
ep001_task063,SafeMin,FutureEvent,27,,,True,1.0,1.0,1.0,1.0,5,0.0,27
ep001_task063,PPOActor,FutureEvent,27,,,True,1.0,1.0,1.0,1.0,27,0.0,27
ep001_task063,CenteredAdvantage,FutureEvent,27,,,True,1.0,1.0,1.0,1.0,23,0.0,27
ep001_task063,OldQ,FutureEvent,27,,,True,1.0,1.0,1.0,1.0,5,0.0,27
ep001_task063,SafeMin,TotalEvent,27,0.9999999999999999,0.996550326132488,True,1.0,1.0,1.0,1.0,5,0.0,7
ep001_task063,PPOActor,TotalEvent,27,0.7293652454424845,0.6401678726307426,True,0.6666666666666666,0.6,0.6666666666666666,0.6,27,0.0,7
ep001_task063,CenteredAdvantage,TotalEvent,27,0.913340857929257,0.9175442283731821,True,0.6666666666666666,0.6,0.6666666666666666,0.6,23,0.0,7
ep001_task063,OldQ,TotalEvent,27,0.5029745761063658,0.538628789923587,True,1.0,0.6,1.0,0.6,5,0.0,7
ep001_task076,SafeMin,OwnEvent,17,1.0,0.9989214402746073,True,1.0,1.0,1.0,1.0,11,0.0,6
ep001_task076,PPOActor,OwnEvent,17,0.6186850910035455,0.557816994136174,True,0.6666666666666666,0.6,0.6666666666666666,0.6,27,0.0,6
ep001_task076,CenteredAdvantage,OwnEvent,17,0.7759129137172565,0.8929805562622476,True,0.6666666666666666,0.6,0.6666666666666666,0.6,23,0.0,6
ep001_task076,OldQ,OwnEvent,17,0.42310901884746605,0.31087882895838154,True,0.6666666666666666,0.6,0.6666666666666666,0.6,16,0.0,6
ep001_task076,SafeMin,FutureEvent,17,,,True,1.0,1.0,1.0,1.0,11,0.0,17
ep001_task076,PPOActor,FutureEvent,17,,,True,1.0,1.0,1.0,1.0,27,0.0,17
ep001_task076,CenteredAdvantage,FutureEvent,17,,,True,1.0,1.0,1.0,1.0,23,0.0,17
ep001_task076,OldQ,FutureEvent,17,,,True,1.0,1.0,1.0,1.0,16,0.0,17
ep001_task076,SafeMin,TotalEvent,17,1.0,0.9989214402746075,True,1.0,1.0,1.0,1.0,11,0.0,6
ep001_task076,PPOActor,TotalEvent,17,0.6186850910035455,0.557816994136174,True,0.6666666666666666,0.6,0.6666666666666666,0.6,27,0.0,6
ep001_task076,CenteredAdvantage,TotalEvent,17,0.7759129137172565,0.8929805562622481,True,0.6666666666666666,0.6,0.6666666666666666,0.6,23,0.0,6
ep001_task076,OldQ,TotalEvent,17,0.42310901884746605,0.31087882895838154,True,0.6666666666666666,0.6,0.6666666666666666,0.6,16,0.0,6
ep001_task088,SafeMin,OwnEvent,24,-0.17501271859864712,0.0009922692342561959,True,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,4,6.594838028423112,6
