state_id,episode,task_id,load,requirement,safe_set_bin,safe_set_size,effective_set_size,max_backlog,method,action_index,semantics,component,optimal_set_hit,top3_hit,top5_hit,regret,optimal_set_size,conflict_state
ep001_task150,1,150,medium,0.9,16-28,28,28,1.670688065975196,SafeMin,4,decision,own,True,True,True,0.0,7,False
ep001_task150,1,150,medium,0.9,16-28,28,28,1.670688065975196,SafeMin,4,decision,future,True,True,True,0.0,28,False
ep001_task150,1,150,medium,0.9,16-28,28,28,1.670688065975196,SafeMin,4,decision,total,True,True,True,0.0,7,False
ep001_task150,1,150,medium,0.9,16-28,28,28,1.670688065975196,SafeMin,4,event,own,True,True,True,0.0,7,False
ep001_task150,1,150,medium,0.9,16-28,28,28,1.670688065975196,SafeMin,4,event,future,True,True,True,0.0,28,False
ep001_task150,1,150,medium,0.9,16-28,28,28,1.670688065975196,SafeMin,4,event,total,True,True,True,0.0,7,False
ep001_task163,1,163,low,0.9,16-28,28,28,0.0,SafeMin,5,decision,own,True,True,True,0.0,7,False
ep001_task163,1,163,low,0.9,16-28,28,28,0.0,SafeMin,5,decision,future,True,True,True,0.0,28,False
ep001_task163,1,163,low,0.9,16-28,28,28,0.0,SafeMin,5,decision,total,True,True,True,0.0,7,False
ep001_task163,1,163,low,0.9,16-28,28,28,0.0,SafeMin,5,event,own,True,True,True,0.0,7,False
ep001_task163,1,163,low,0.9,16-28,28,28,0.0,SafeMin,5,event,future,True,True,True,0.0,28,False
ep001_task163,1,163,low,0.9,16-28,28,28,0.0,SafeMin,5,event,total,True,True,True,0.0,7,False
ep001_task175,1,175,high,0.9,16-28,28,28,2.200486406916468,SafeMin,6,decision,own,True,True,True,0.0,7,False
ep001_task175,1,175,high,0.9,16-28,28,28,2.200486406916468,SafeMin,6,decision,future,True,True,True,0.0,28,False
ep001_task175,1,175,high,0.9,16-28,28,28,2.200486406916468,SafeMin,6,decision,total,True,True,True,0.0,7,False
ep001_task175,1,175,high,0.9,16-28,28,28,2.200486406916468,SafeMin,6,event,own,True,True,True,0.0,7,False
ep001_task175,1,175,high,0.9,16-28,28,28,2.200486406916468,SafeMin,6,event,future,True,True,True,0.0,28,False
ep001_task175,1,175,high,0.9,16-28,28,28,2.200486406916468,SafeMin,6,event,total,True,True,True,0.0,7,False
ep001_task188,1,188,medium,0.99,16-28,28,28,0.4713517357602396,SafeMin,5,decision,own,True,True,True,0.0,7,False
ep001_task188,1,188,medium,0.99,16-28,28,28,0.4713517357602396,SafeMin,5,decision,future,True,True,True,0.0,28,False
ep001_task188,1,188,medium,0.99,16-28,28,28,0.4713517357602396,SafeMin,5,decision,total,True,True,True,0.0,7,False
ep001_task188,1,188,medium,0.99,16-28,28,28,0.4713517357602396,SafeMin,5,event,own,True,True,True,0.0,7,False
ep001_task188,1,188,medium,0.99,16-28,28,28,0.4713517357602396,SafeMin,5,event,future,True,True,True,0.0,28,False
ep001_task188,1,188,medium,0.99,16-28,28,28,0.4713517357602396,SafeMin,5,event,total,True,True,True,0.0,7,False
ep001_task200,1,200,medium,0.9999,6-15,6,6,1.180756312155097,SafeMin,21,decision,own,True,True,True,0.0,3,False
ep001_task200,1,200,medium,0.9999,6-15,6,6,1.180756312155097,SafeMin,21,decision,future,True,True,True,0.0,6,False
ep001_task200,1,200,medium,0.9999,6-15,6,6,1.180756312155097,SafeMin,21,decision,total,True,True,True,0.0,3,False
ep001_task200,1,200,medium,0.9999,6-15,6,6,1.180756312155097,SafeMin,21,event,own,True,True,True,0.0,3,False
ep001_task200,1,200,medium,0.9999,6-15,6,6,1.180756312155097,SafeMin,21,event,future,True,True,True,0.0,6,False
ep001_task200,1,200,medium,0.9999,6-15,6,6,1.180756312155097,SafeMin,21,event,total,True,True,True,0.0,3,False
ep003_task001,3,1,low,0.99,16-28,28,28,0.0,SafeMin,5,decision,own,True,True,True,0.0,7,False
ep003_task001,3,1,low,0.99,16-28,28,28,0.0,SafeMin,5,decision,future,True,True,True,0.0,28,False
ep003_task001,3,1,low,0.99,16-28,28,28,0.0,SafeMin,5,decision,total,True,True,True,0.0,7,False
ep003_task001,3,1,low,0.99,16-28,28,28,0.0,SafeMin,5,event,own,True,True,True,0.0,7,False
ep003_task001,3,1,low,0.99,16-28,28,28,0.0,SafeMin,5,event,future,True,True,True,0.0,28,False
ep003_task001,3,1,low,0.99,16-28,28,28,0.0,SafeMin,5,event,total,True,True,True,0.0,7,False
ep003_task013,3,13,high,0.999,16-28,28,28,2.10955374998453,SafeMin,5,decision,own,False,False,False,26.13658494628323,7,False
ep003_task013,3,13,high,0.999,16-28,28,28,2.10955374998453,SafeMin,5,decision,future,False,False,False,10.92373566612423,15,False
ep003_task013,3,13,high,0.999,16-28,28,28,2.10955374998453,SafeMin,5,decision,total,False,False,False,37.06032061240745,5,False
ep003_task013,3,13,high,0.999,16-28,28,28,2.10955374998453,SafeMin,5,event,own,False,False,False,27.15351802010317,7,False
ep003_task013,3,13,high,0.999,16-28,28,28,2.10955374998453,SafeMin,5,event,future,False,False,False,11.439236559431322,15,False
ep003_task013,3,13,high,0.999,16-28,28,28,2.10955374998453,SafeMin,5,event,total,False,False,False,38.59275457953447,5,False
