state_id,horizon,selected_branch_return_residual
ep010_task038,10,0.0
ep010_task038,20,5.684341886080802e-14
ep010_task038,50,0.0
ep010_task051,5,0.0
ep010_task051,10,5.684341886080802e-14
ep010_task051,20,0.0
ep010_task051,50,0.0
ep010_task063,5,0.0
ep010_task063,10,0.0
ep010_task063,20,5.684341886080802e-14
ep010_task063,50,0.0
ep010_task076,5,0.0
ep010_task076,10,0.0
ep010_task076,20,0.0
ep010_task076,50,2.842170943040401e-14
ep010_task088,5,0.0
ep010_task088,10,0.0
ep010_task088,20,0.0
ep010_task088,50,0.0
ep010_task100,5,0.0
ep010_task100,10,0.0
ep010_task100,20,2.842170943040401e-14
ep010_task100,50,0.0
ep010_task113,5,0.0
ep010_task113,10,0.0
ep010_task113,20,0.0
ep010_task113,50,0.0
ep010_task125,5,0.0
ep010_task125,10,0.0
ep010_task125,20,0.0
ep010_task125,50,0.0
ep010_task138,5,2.842170943040401e-14
ep010_task138,10,2.842170943040401e-14
ep010_task138,20,0.0
ep010_task138,50,2.842170943040401e-14
ep010_task150,5,5.684341886080802e-14
ep010_task150,10,0.0
ep010_task150,20,5.684341886080802e-14
ep010_task150,50,0.0
ep010_task163,5,0.0
ep010_task163,10,0.0
ep010_task163,20,5.684341886080802e-14
ep010_task163,50,0.0
ep010_task175,5,0.0
ep010_task175,10,0.0
ep010_task175,20,0.0
ep010_task175,50,0.0
ep010_task188,5,0.0
ep010_task188,10,5.684341886080802e-14
ep010_task188,20,0.0
ep010_task188,50,0.0
ep010_task200,5,1.7763568394002505e-15
ep010_task200,10,1.7763568394002505e-15
ep010_task200,20,1.7763568394002505e-15
ep010_task200,50,1.7763568394002505e-15
ep011_task001,5,5.684341886080802e-14
ep011_task001,10,0.0
ep011_task001,20,5.684341886080802e-14
ep011_task001,50,0.0
ep011_task013,5,0.0
ep011_task013,10,0.0
ep011_task013,20,0.0
ep011_task013,50,0.0
ep011_task026,5,0.0
ep011_task026,10,0.0
ep011_task026,20,0.0
ep011_task026,50,0.0
ep011_task038,5,0.0
ep011_task038,10,0.0
ep011_task038,20,0.0
