arm,unit,gradient_updates,split,mae,rmse,pearson,spearman,r2,explained_variance,calibration_slope,calibration_intercept,prediction_mean,prediction_std,target_mean,target_std
V1,250,2000,test,305.2495630896776,324.0921969224515,-0.21928753802891843,-0.20735928808512732,-7.828294317018413,-1.4466574185245662e-06,-66480.68213808099,2449263.409534554,36.83658634090423,0.00035978964335687603,342.0219529236573,109.07624360043513
V1,260,2080,train,299.5399665003503,318.60905732026487,-0.24571573547498893,-0.23208793338470513,-7.531912611053325,-1.5012566996208676e-06,-80434.74243194058,3069702.325369648,38.15968967130449,0.00033321474593336306,337.5153754878892,109.07743540259646
V1,260,2080,validation,312.1817088119371,330.66238277285055,-0.23611935109491497,-0.22780132863264543,-8.158473671941753,-1.447283756172979e-06,-77044.6148394456,2940349.114948036,38.15969322395325,0.00033485942947953333,350.2481171564442,109.26303011580089
V1,260,2080,test,303.9310876073727,322.84658297178163,-0.21904245809785197,-0.20724568965233542,-7.760563501871763,-1.340816128569955e-06,-71568.25255246046,2731364.5372670563,38.159692571957905,0.0003338397636690391,342.0219529236573,109.07624360043513
V1,270,2160,train,298.2277971168254,317.36648791226725,-0.2454798140076493,-0.23173500309365053,-7.465493778662999,-1.3922202208860313e-06,-86567.75162607124,3418250.3229764295,39.482517951541475,0.00030931043087177335,337.5153754878892,109.07743540259646
V1,270,2160,validation,310.8657152438346,329.41414871371495,-0.23587267316847324,-0.22746971626950943,-8.089458616713676,-1.3420285933651854e-06,-82913.66329053511,3273990.7206448587,39.482521246910096,0.00031083131499803543,350.2481171564442,109.26303011580089
V1,270,2160,test,302.61325097489157,321.6018498207541,-0.21891777463157522,-0.20696919032322103,-7.693141121429473,-1.2437200989090513e-06,-77067.66664445677,3043167.7601151206,39.482520629564924,0.0003098410728372098,342.0219529236573,109.07624360043513
V1,280,2240,train,296.9162295553348,316.12479571865003,-0.24528151620340413,-0.23165387780571411,-7.399381099386902,-1.2940126368210514e-06,-92987.26147290412,3794692.554715304,40.80510576650831,0.00028772412817989936,337.5153754878892,109.07743540259646
V1,280,2240,validation,309.54996088268194,328.166725978743,-0.23563322836742795,-0.22725829659450067,-8.02074918636696,-1.2470240555728651e-06,-89049.3327931481,3634017.9639923917,40.805108830134074,0.0002891206449260982,350.2481171564442,109.26303011580089
V1,280,2240,test,301.29586105480246,320.35796879260295,-0.21863679314464168,-0.20678005764576413,-7.626025078481302,-1.1555111858463363e-06,-82737.98953045848,3376474.6427861825,40.805108270009356,0.00028823615662408245,342.0219529236573,109.07624360043513
V1,290,2320,train,295.6052304904196,314.88396968618457,-0.2450676695640472,-0.2314543066560363,-7.3335734388764955,-1.2046009576494043e-06,-99715.1188281434,4201083.460625133,42.12747269037035,0.00026807723051715124,337.5153754878892,109.07743540259646
