lens,horizon,requirement,value_source,advantage_type,n,nonzero_reference_count,pearson,spearman,sign_agreement,normalized_mae,quartile_agreement,sign_agreement_including_zeros
legacy_interval_step,20,0.999,V2,normalized,220,220,0.1505810631543361,0.1671086367299099,0.5590909090909091,1.0258976404703035,0.29545454545454547,0.5590909090909091
legacy_interval_step,20,0.999,V3,raw,220,220,0.11016142009846933,0.11453993226757127,0.5272727272727272,1.049155001549481,0.24545454545454545,0.5272727272727272
legacy_interval_step,20,0.999,V3,normalized,220,220,0.13746522496212762,0.13910392588877682,0.5318181818181819,1.0374390862324023,0.2590909090909091,0.5318181818181819
legacy_interval_step,20,0.9999,V0,raw,260,235,0.08617545630839919,0.1639405944899774,0.6382978723404256,1.0780782873455477,0.23076923076923078,0.5769230769230769
legacy_interval_step,20,0.9999,V0,normalized,260,235,0.08321596820590124,0.15992923683307952,0.49361702127659574,1.0745467744249269,0.22692307692307692,0.4461538461538462
legacy_interval_step,20,0.9999,V1,raw,260,235,0.08613241181471454,0.1638961361998319,0.6382978723404256,1.0781019347177487,0.23076923076923078,0.5769230769230769
legacy_interval_step,20,0.9999,V1,normalized,260,235,0.08317267492734601,0.16005321272091033,0.49361702127659574,1.0745671516094317,0.22692307692307692,0.4461538461538462
legacy_interval_step,20,0.9999,V2,raw,260,235,0.08613238638507033,0.1638869139680934,0.6382978723404256,1.0781019386865986,0.23076923076923078,0.5769230769230769
legacy_interval_step,20,0.9999,V2,normalized,260,235,0.08317264069611872,0.16005321272091033,0.49361702127659574,1.0745671589987227,0.22692307692307692,0.4461538461538462
legacy_interval_step,20,0.9999,V3,raw,260,235,0.09331579914649411,0.16363515326183342,0.4553191489361702,1.0840931715068998,0.21923076923076923,0.4115384615384615
legacy_interval_step,20,0.9999,V3,normalized,260,235,0.08762950492118025,0.15915908359049438,0.4340425531914894,1.0801786607873891,0.2076923076923077,0.3923076923076923
legacy_interval_step,50,0.9,V0,raw,300,300,0.22104826417746704,0.23865895989783237,0.5766666666666667,0.9719629288278446,0.36,0.5766666666666667
legacy_interval_step,50,0.9,V0,normalized,300,300,0.2116366758981979,0.24398147530916212,0.58,0.9825207862444887,0.3566666666666667,0.58
legacy_interval_step,50,0.9,V1,raw,300,300,0.22099242674907815,0.23842562345334586,0.5766666666666667,0.9719898320977245,0.36,0.5766666666666667
legacy_interval_step,50,0.9,V1,normalized,300,300,0.21157689669679725,0.24400369782768463,0.58,0.9825377643561979,0.3566666666666667,0.58
legacy_interval_step,50,0.9,V2,raw,300,300,0.22099240656132435,0.23842562345334586,0.5766666666666667,0.9719898566103342,0.36,0.5766666666666667
legacy_interval_step,50,0.9,V2,normalized,300,300,0.21157687959240012,0.24400369782768463,0.58,0.9825377897203564,0.3566666666666667,0.58
legacy_interval_step,50,0.9,V3,raw,300,300,0.2062238312333653,0.2037362720396858,0.5533333333333333,0.9718466377227738,0.32666666666666666,0.5533333333333333
legacy_interval_step,50,0.9,V3,normalized,300,300,0.19670635663698227,0.20780299292930773,0.5566666666666666,0.9874128483672473,0.31,0.5566666666666666
legacy_interval_step,50,0.99,V0,raw,220,220,0.053929228421409396,-0.003883171263676594,0.5590909090909091,1.0968275230923745,0.25,0.5590909090909091
legacy_interval_step,50,0.99,V0,normalized,220,220,0.04628107697591633,-0.012517888035308643,0.44545454545454544,1.110417134887039,0.2318181818181818,0.44545454545454544
legacy_interval_step,50,0.99,V1,raw,220,220,0.05394078284301522,-0.0038414712675204385,0.5590909090909091,1.0968178884113073,0.25,0.5590909090909091
legacy_interval_step,50,0.99,V1,normalized,220,220,0.046295362427602224,-0.012684124506471696,0.44545454545454544,1.1104056226815286,0.2318181818181818,0.44545454545454544
legacy_interval_step,50,0.99,V2,raw,220,220,0.05394080340219745,-0.0038414712675204385,0.5590909090909091,1.0968178825845267,0.25,0.5590909090909091
legacy_interval_step,50,0.99,V2,normalized,220,220,0.04629538586037082,-0.012684124506471696,0.44545454545454544,1.1104055956878824,0.2318181818181818,0.44545454545454544
legacy_interval_step,50,0.99,V3,raw,220,220,0.10825332533651032,0.060170276886024616,0.509090909090909,1.0559307172756982,0.2681818181818182,0.509090909090909
legacy_interval_step,50,0.99,V3,normalized,220,220,0.10364095013906519,0.048452014452683344,0.5136363636363637,1.0651081973400645,0.2590909090909091,0.5136363636363637
legacy_interval_step,50,0.999,V0,raw,220,220,0.12726928781407176,0.14811087381595037,0.6090909090909091,1.0346501698131616,0.2681818181818182,0.6090909090909091
legacy_interval_step,50,0.999,V0,normalized,220,220,0.15061379492863483,0.16695423834827539,0.5590909090909091,1.0258788605014266,0.29545454545454547,0.5590909090909091
legacy_interval_step,50,0.999,V1,raw,220,220,0.12723259919401034,0.1479485864659112,0.6090909090909091,1.0346786453606698,0.2681818181818182,0.6090909090909091
legacy_interval_step,50,0.999,V1,normalized,220,220,0.15058106546147978,0.16706130291948182,0.5590909090909091,1.0258976436107898,0.29545454545454547,0.5590909090909091
legacy_interval_step,50,0.999,V2,raw,220,220,0.12723260912373266,0.1479485864659112,0.6090909090909091,1.0346786371557268,0.2681818181818182,0.6090909090909091
legacy_interval_step,50,0.999,V2,normalized,220,220,0.1505810631543363,0.16706130291948182,0.5590909090909091,1.025897640470303,0.29545454545454547,0.5590909090909091
legacy_interval_step,50,0.999,V3,raw,220,220,0.11016142009846978,0.11450499540749338,0.5272727272727272,1.0491550015494808,0.24545454545454545,0.5272727272727272
legacy_interval_step,50,0.999,V3,normalized,220,220,0.13746522496212818,0.13907011602418531,0.5318181818181819,1.037439086232402,0.2590909090909091,0.5318181818181819
legacy_interval_step,50,0.9999,V0,raw,260,235,0.08617545630839918,0.1639405944899774,0.6382978723404256,1.0780782873455468,0.23076923076923078,0.5769230769230769
legacy_interval_step,50,0.9999,V0,normalized,260,235,0.0832159682059011,0.15992923683307952,0.49361702127659574,1.0745467744249264,0.22692307692307692,0.4461538461538462
legacy_interval_step,50,0.9999,V1,raw,260,235,0.08613241181471447,0.1638961361998319,0.6382978723404256,1.0781019347177483,0.23076923076923078,0.5769230769230769
legacy_interval_step,50,0.9999,V1,normalized,260,235,0.08317267492734584,0.16005321272091033,0.49361702127659574,1.074567151609431,0.22692307692307692,0.4461538461538462
legacy_interval_step,50,0.9999,V2,raw,260,235,0.08613238638507029,0.1638869139680934,0.6382978723404256,1.0781019386865982,0.23076923076923078,0.5769230769230769
legacy_interval_step,50,0.9999,V2,normalized,260,235,0.08317264069611865,0.16005321272091033,0.49361702127659574,1.0745671589987222,0.22692307692307692,0.4461538461538462
legacy_interval_step,50,0.9999,V3,raw,260,235,0.09331579914649415,0.16363515326183342,0.4553191489361702,1.0840931715068993,0.21923076923076923,0.4115384615384615
legacy_interval_step,50,0.9999,V3,normalized,260,235,0.0876295049211803,0.15915908359049438,0.4340425531914894,1.0801786607873887,0.2076923076923077,0.3923076923076923
