lens,horizon,safe_set_bin,value_source,advantage_type,n,nonzero_reference_count,pearson,spearman,sign_agreement,normalized_mae,quartile_agreement,sign_agreement_including_zeros
production_smdp,5,1-5,V1,normalized,55,37,0.09282719775611173,0.15582271301232212,0.2972972972972973,0.9547781745058375,0.2909090909090909,0.2
production_smdp,5,1-5,V2,raw,55,37,0.14484545141663194,0.19314939048688773,0.7567567567567568,0.9458741308573433,0.4909090909090909,0.509090909090909
production_smdp,5,1-5,V2,normalized,55,37,0.0928272758613968,0.15582271301232212,0.2972972972972973,0.954778152090507,0.2909090909090909,0.2
production_smdp,5,1-5,V3,raw,55,37,0.18836800261062156,0.44829259808952526,0.35135135135135137,0.9305356260873442,0.41818181818181815,0.23636363636363636
production_smdp,5,1-5,V3,normalized,55,37,0.14705184793183143,0.3465705733436916,0.2972972972972973,0.9429383851673222,0.3090909090909091,0.2
production_smdp,5,16-28,V0,raw,840,840,0.16506697776091733,0.1464507945862185,0.594047619047619,1.0212768094053184,0.29404761904761906,0.594047619047619
production_smdp,5,16-28,V0,normalized,840,840,0.16475168017513503,0.14524670014275737,0.5464285714285714,1.0228624546535292,0.2845238095238095,0.5464285714285714
production_smdp,5,16-28,V1,raw,840,840,0.16503327625800784,0.14638093493886617,0.594047619047619,1.0212935483121082,0.29404761904761906,0.594047619047619
production_smdp,5,16-28,V1,normalized,840,840,0.1647195040850014,0.14529886457730404,0.5464285714285714,1.0228761299742413,0.2845238095238095,0.5464285714285714
production_smdp,5,16-28,V2,raw,840,840,0.16503326778453187,0.14638093493886617,0.594047619047619,1.0212935534297376,0.29404761904761906,0.594047619047619
production_smdp,5,16-28,V2,normalized,840,840,0.1647194860120354,0.14529886457730404,0.5464285714285714,1.0228761360624428,0.2845238095238095,0.5464285714285714
production_smdp,5,16-28,V3,raw,840,840,0.16316970760992777,0.1359751577434275,0.5345238095238095,1.0190743207215127,0.29285714285714287,0.5345238095238095
production_smdp,5,16-28,V3,normalized,840,840,0.16421894724023833,0.13752110993085168,0.5321428571428571,1.0210557658909796,0.29642857142857143,0.5321428571428571
production_smdp,5,6-15,V0,raw,98,98,0.015122175902599608,0.024743858666825096,0.5714285714285714,1.153127438548719,0.14285714285714285,0.5714285714285714
production_smdp,5,6-15,V0,normalized,98,98,0.04268875977797768,0.0533570504115423,0.4897959183673469,1.1062832706776757,0.16326530612244897,0.4897959183673469
production_smdp,5,6-15,V1,raw,98,98,0.01509624854682243,0.024743858666825096,0.5714285714285714,1.1531332711492532,0.14285714285714285,0.5714285714285714
production_smdp,5,6-15,V1,normalized,98,98,0.04266279931241254,0.0533570504115423,0.4897959183673469,1.1062938457526992,0.16326530612244897,0.4897959183673469
production_smdp,5,6-15,V2,raw,98,98,0.015096266628671385,0.024743858666825096,0.5714285714285714,1.1531332653109896,0.14285714285714285,0.5714285714285714
production_smdp,5,6-15,V2,normalized,98,98,0.04266280154674338,0.0533570504115423,0.4897959183673469,1.106293866001074,0.16326530612244897,0.4897959183673469
production_smdp,5,6-15,V3,raw,98,98,0.04626528511803122,0.0630742060785624,0.4897959183673469,1.1165942865654388,0.25510204081632654,0.4897959183673469
production_smdp,5,6-15,V3,normalized,98,98,0.07963935700001464,0.09894229481858346,0.4897959183673469,1.0838819679222607,0.24489795918367346,0.4897959183673469
production_smdp,5,empty,V0,raw,7,0,,,,0.8954557937935915,0.2857142857142857,0.0
production_smdp,5,empty,V0,normalized,7,0,,,,0.8765894378013671,0.2857142857142857,0.0
production_smdp,5,empty,V1,raw,7,0,,,,0.8954465799624343,0.2857142857142857,0.0
production_smdp,5,empty,V1,normalized,7,0,,,,0.8765998740099763,0.2857142857142857,0.0
production_smdp,5,empty,V2,raw,7,0,,,,0.895446583276606,0.2857142857142857,0.0
production_smdp,5,empty,V2,normalized,7,0,,,,0.8765998934670481,0.2857142857142857,0.0
production_smdp,5,empty,V3,raw,7,0,,,,0.8803900033121107,0.2857142857142857,0.0
