lens,horizon,value_source,advantage_type,n,nonzero_reference_count,pearson,spearman,sign_agreement,normalized_mae,quartile_agreement,sign_agreement_including_zeros
legacy_interval_step,20,V1,normalized,1000,975,0.11613813157782883,0.14100615500524974,0.5241025641025641,1.0203231905375678,0.276,0.511
legacy_interval_step,20,V2,raw,1000,975,0.11641329355243554,0.14094296605301662,0.5948717948717949,1.0202673550570642,0.286,0.58
legacy_interval_step,20,V2,normalized,1000,975,0.1161381215054964,0.14100615500524974,0.5241025641025641,1.0203231947227396,0.276,0.511
legacy_interval_step,20,V3,raw,1000,975,0.12245049477846319,0.13437824029117687,0.5138461538461538,1.022271129072846,0.272,0.501
legacy_interval_step,20,V3,normalized,1000,975,0.12256290482783097,0.1371066291918741,0.5117948717948718,1.020415979173126,0.264,0.499
legacy_interval_step,50,V0,raw,1000,975,0.11648597203456965,0.1411064993586589,0.5948717948717949,1.0202491874425457,0.286,0.58
legacy_interval_step,50,V0,normalized,1000,975,0.11619381622911165,0.14109650087193848,0.5241025641025641,1.020309796614987,0.276,0.511
legacy_interval_step,50,V1,raw,1000,975,0.11645467344789709,0.1410605943693472,0.5948717948717949,1.0202598772552527,0.286,0.58
legacy_interval_step,50,V1,normalized,1000,975,0.11616281638194342,0.1411196850843762,0.5241025641025641,1.0203171763271395,0.276,0.511
legacy_interval_step,50,V2,raw,1000,975,0.11645466826454341,0.14106032436641794,0.5948717948717949,1.0202598762527235,0.286,0.58
legacy_interval_step,50,V2,normalized,1000,975,0.11616280630852831,0.1411196850843762,0.5241025641025641,1.020317180512311,0.276,0.511
legacy_interval_step,50,V3,raw,1000,975,0.12245140489682445,0.134510766906602,0.5138461538461538,1.0222649311551684,0.272,0.501
legacy_interval_step,50,V3,normalized,1000,975,0.12254889352052976,0.13723925752788924,0.5117948717948718,1.0204096848299737,0.264,0.499
production_smdp,5,V0,raw,1000,975,0.12397442590247218,0.1473578895149094,0.597948717948718,1.020753882718327,0.284,0.583
production_smdp,5,V0,normalized,1000,975,0.12465206935886865,0.14873387604028948,0.5312820512820513,1.018942153915328,0.277,0.518
production_smdp,5,V1,raw,1000,975,0.12394216235212319,0.14730994517179238,0.597948717948718,1.020765060128621,0.284,0.583
production_smdp,5,V1,normalized,1000,975,0.12462036957428017,0.14875701825532775,0.5312820512820513,1.0189499896272274,0.277,0.518
production_smdp,5,V2,raw,1000,975,0.12394215619027593,0.1473096571686307,0.597948717948718,1.0207650596034603,0.284,0.583
production_smdp,5,V2,normalized,1000,975,0.12462035774714851,0.14875701825532775,0.5312820512820513,1.0189499977594116,0.277,0.518
production_smdp,5,V3,raw,1000,975,0.1289345713663898,0.14156263165297406,0.5230769230769231,1.0208903845374004,0.278,0.51
production_smdp,5,V3,normalized,1000,975,0.13048615940911312,0.1456809156720768,0.518974358974359,1.0184126588025724,0.269,0.506
production_smdp,10,V0,raw,1000,975,0.12389257466536269,0.1491220135903911,0.6,1.020385689626807,0.282,0.585
production_smdp,10,V0,normalized,1000,975,0.12421030487018903,0.14976835374025024,0.5312820512820513,1.0190905150610066,0.276,0.518
production_smdp,10,V1,raw,1000,975,0.12386143177377404,0.1490749685983598,0.6,1.020393909220698,0.282,0.585
production_smdp,10,V1,normalized,1000,975,0.12417944509836668,0.14979485598794115,0.5312820512820513,1.019095980946071,0.276,0.518
production_smdp,10,V2,raw,1000,975,0.12386142602568792,0.14907468059518253,0.6,1.0203939087563898,0.282,0.585
production_smdp,10,V2,normalized,1000,975,0.1241794332195399,0.14979485598794115,0.5312820512820513,1.0190959876897867,0.276,0.518
production_smdp,10,V3,raw,1000,975,0.13052448322287777,0.1443864324411685,0.5230769230769231,1.0187146587083824,0.279,0.51
production_smdp,10,V3,normalized,1000,975,0.1315292092981826,0.14793501860583622,0.518974358974359,1.0157571835789834,0.27,0.506
production_smdp,20,V0,raw,1000,975,0.12372735289709509,0.14871302987972573,0.6,1.0205110450590273,0.283,0.585
