arm,unit,active_loss,huber_is_hypothetical,hypothetical_huber_saturation_fraction,residual_mean,residual_std,absolute_residual_p50,absolute_residual_p90,absolute_residual_p95,absolute_residual_p99,raw_unit_saturation
V1,190,MSE,True,0.9997222222222222,-308.62532924252616,109.07758252943641,305.88585480607526,448.92620168648295,492.29180561127583,573.8610115811041,0.9997222222222222
V1,200,MSE,True,0.99975,-307.2997207595825,109.07756947185113,304.5602827922203,447.6005243869834,490.96610551896015,572.5353774067571,0.99975
V1,210,MSE,True,0.9998055555555555,-305.9746631963306,109.07755801865802,303.2352581874229,446.2754103275352,489.64096761765404,571.2102945133855,0.9998055555555555
V1,220,MSE,True,0.99975,-304.6500979115486,109.07754797034954,301.91072091020123,444.95079275093605,488.31633421006126,569.8857094761541,0.99975
V1,230,MSE,True,0.9997777777777778,-303.3259523843447,109.07753890231419,300.5865994349815,443.62659612618023,486.99212022843284,568.561544017475,0.9997777777777778
V1,240,MSE,True,0.9996111111111111,-302.00219618514376,109.07753089257737,299.26286515153424,442.3027992816978,485.66830602707785,567.237771548908,0.9996111111111111
V1,250,MSE,True,0.9996944444444444,-300.67879227005636,109.07752373486184,297.93948372758405,440.9793610187583,484.3448500257961,565.9143537327459,0.9996944444444444
V1,260,MSE,True,0.99975,-299.3556858165847,109.07751727918107,296.6163960353233,439.6562203022056,483.02169900956073,564.5912335774115,0.99975
V1,270,MSE,True,0.9998055555555555,-298.0328575363477,109.07751133247564,295.2935849086143,438.3333645435386,481.69882970871845,563.2683918949773,0.9998055555555555
V1,280,MSE,True,0.9998333333333334,-296.7102697213808,109.07750597636353,293.97101220048444,437.01074644051124,480.3762079817287,561.945790538471,0.9998333333333334
V1,290,MSE,True,0.9995555555555555,-295.3879027975188,109.07750109996825,292.64865883744733,435.68835302315284,479.053803883218,560.6234142491033,0.9995555555555555
V1,300,MSE,True,0.9995,-294.065759232023,109.07749672737113,291.3265267268516,434.3661873432212,477.73162828507344,559.3012629887273,0.9995
V2,0,MSE,True,1.0,-337.5904450180474,109.08542473624553,334.8609561925707,477.93637073658044,521.2484771018163,602.8232728208415,1.0
V2,10,MSE,True,1.0,-333.6715722235163,109.09157175020599,330.93581779373415,473.99617941025764,517.4074861973727,598.9549195967185,1.0
V2,20,MSE,True,1.0,-331.6784996132771,109.08266902909249,328.9327926052639,471.99913610582286,515.3557265125485,596.9233126541784,1.0
V2,30,MSE,True,0.9999444444444444,-330.1664555632988,109.08027007244854,327.4213638010641,470.48048935128617,513.8469007139715,595.4071983572652,0.9999444444444444
V2,40,MSE,True,0.9999722222222223,-328.7450743334876,109.0792666952505,326.00148972428815,469.05467849693827,512.4227082830898,593.9839912220648,0.9999722222222223
V2,50,MSE,True,0.9999722222222223,-327.3588439455615,109.07873101568875,324.61649140275495,467.6656746479087,511.0330148321621,592.5967789932897,0.9999722222222223
V2,60,MSE,True,0.9999166666666667,-325.9910737040096,109.07841443678194,323.2494746104576,466.2962679477744,509.66316925110743,591.22841258971,0.9999166666666667
V2,70,MSE,True,0.9999444444444444,-324.6343628114647,109.0782057290445,321.89327248490827,464.93847709618143,508.30507751526756,589.8712924763372,0.9999444444444444
V2,80,MSE,True,0.9999166666666667,-323.28505136318205,109.0780611095011,320.5443230525352,463.58841234169535,506.9547992807857,588.5216957375219,0.9999166666666667
V2,90,MSE,True,0.9999166666666667,-321.9409766130235,109.07795461099603,319.20051583207623,462.2437872501426,505.61000739159505,587.1774123284032,0.9999166666666667
V2,100,MSE,True,0.9999722222222223,-320.600819222588,109.0778741393634,317.86056717790143,460.90320917091896,504.26930481018945,585.8370946499517,0.9999722222222223
V2,110,MSE,True,0.9999166666666667,-319.2636618884722,109.07781046217534,316.5235768214561,459.5657219501548,502.93171258988303,584.499809856098,0.9999166666666667
V2,120,MSE,True,0.9997777777777778,-317.92891152268515,109.07776023183841,315.1889582530357,458.2307100864463,501.5966199499599,583.1649589535406,0.9997777777777778
V2,130,MSE,True,0.9999166666666667,-316.59610606413946,109.07771984600393,313.8562594310142,456.8976925464683,500.26353498520774,581.8320709034613,0.9999166666666667
V2,140,MSE,True,0.9998611111111111,-315.2648948863135,109.07768649205684,312.5251379863121,455.5663069339805,498.9320943457119,580.5007926747014,0.9998611111111111
V2,150,MSE,True,0.9998333333333334,-313.9350173106511,109.07765859510876,311.19533642686383,454.2362854572349,497.6020226103298,579.1708554264715,0.9998333333333334
V2,160,MSE,True,0.9997777777777778,-312.6062696445571,109.07763518716315,309.8666506663658,452.90741468391946,496.2731137854091,577.842060699146,0.9997777777777778
V2,170,MSE,True,0.9998333333333334,-311.27847758063206,109.07761488789919,308.5389157191612,451.57951913796,494.94517828049584,576.5142272755315,0.9998333333333334
V2,180,MSE,True,0.9997222222222222,-309.9515220216963,109.07759773515507,307.2120066539146,450.25247522316505,493.61810346665305,575.1872369953802,0.9997222222222222
V2,190,MSE,True,0.9997222222222222,-308.6252857101546,109.07758281219532,305.8858109370567,448.9261612506919,492.2917616468899,573.8609714695623,0.9997222222222222
V2,200,MSE,True,0.99975,-307.29967435050537,109.07756973676143,304.5602370158531,447.60048376045756,490.96605974259296,572.5353297230413,0.99975
V2,210,MSE,True,0.9998055555555555,-305.97461719987655,109.07755831415679,303.2352124110557,446.27536645851666,489.64092165055195,571.2102487560918,0.9998055555555555
V2,220,MSE,True,0.99975,-304.6500554212252,109.0775481851932,301.9106789485313,444.950753841024,488.31628843369407,569.8856674763372,0.99975
V2,230,MSE,True,0.9997777777777778,-303.3259091821564,109.07753914487255,300.58655556596295,443.6265575977378,486.9920782667629,568.5614982792547,0.9997777777777778
V2,240,MSE,True,0.9996111111111111,-302.00215192882746,109.07753111204121,299.2628212825157,442.3027607532554,485.6682640654079,567.2377295109442,0.9996111111111111
V2,250,MSE,True,0.9996944444444444,-300.67874405281276,109.07752391735383,297.9394360438682,440.9793152423911,484.34480424942893,565.9143041798284,0.9996944444444444
V2,260,MSE,True,0.99975,-299.35563914874393,109.07751739863735,296.61634644425885,439.6561775775962,483.02165323319355,564.5911840244939,0.99975
V2,270,MSE,True,0.9998055555555555,-298.032811992889,109.07751151883629,295.29353913224713,438.3333191486411,481.6987875563137,563.2683461186101,0.9998055555555555
V2,280,MSE,True,0.9998333333333334,-296.7102240264998,109.0775061125428,293.97096642411725,437.01070066414405,480.376158772134,561.9457447621038,0.9998333333333334
V2,290,MSE,True,0.9995555555555555,-295.3878575064659,109.07750128056867,292.6486111537315,435.6883102985435,479.0537581068508,560.6233722492864,0.9995555555555555
V2,300,MSE,True,0.9995,-294.0657102859603,109.07749692560242,291.3264790431358,434.366141566854,477.73157850327414,559.3012096592596,0.9995
V3,0,MSE,True,0.30872222222222223,-0.07506953015820023,1.0084963045204016,0.6554087103953667,1.6601281274289028,2.0386997569470564,2.7081048676928887,0.9921111111111112
V3,10,MSE,True,0.3090833333333333,0.1648831888552134,0.9883692704127357,0.6624159724499797,1.6404191025074852,1.9758887712515014,2.778866891994825,0.9928611111111111
V3,20,MSE,True,0.3043888888888889,0.1805941401909933,0.9720865804334852,0.6533051527966215,1.6174790638732295,1.9476314114188005,2.735171871296789,0.9933055555555556
V3,30,MSE,True,0.28680555555555554,-0.03416810405450981,0.9612298726866844,0.6280439334560362,1.5838384568993997,1.913945852217652,2.574647023491907,0.9920555555555556
V3,40,MSE,True,0.30741666666666667,0.23951171252265982,0.9535522106544612,0.6598291819651284,1.6086503943754966,1.9190080454724883,2.6517560279092516,0.9925833333333334
V3,50,MSE,True,0.28741666666666665,0.08886439071859538,0.9497732527833227,0.6352362150237763,1.568423933201764,1.8753972809543624,2.555197297930724,0.9918888888888889
V3,60,MSE,True,0.2851388888888889,0.02276896024914454,0.9497895755967957,0.624936221990918,1.5625414642480802,1.8827489232878272,2.534971087147444,0.9918888888888889
V3,70,MSE,True,0.2925,0.13165637596769045,0.9493794687086237,0.6399910435879045,1.5767013122210765,1.8811596770357617,2.567108979396515,0.9921111111111112
V3,80,MSE,True,0.28444444444444444,-0.07042175574678312,0.9492092658211366,0.623318328831191,1.5676101010103394,1.8968090636760833,2.511491393202332,0.9920277777777777
V3,90,MSE,True,0.2935277777777778,0.13489938428858286,0.9484793669826406,0.64295789194765,1.5725530040746067,1.8793243257797412,2.5187730149841077,0.9927777777777778
V3,100,MSE,True,0.2851111111111111,0.0059154978197377955,0.9487221592726031,0.6241195876346426,1.5607105381727222,1.8753140781594937,2.5113787899145095,0.99175
V3,110,MSE,True,0.28705555555555556,0.04723070338420151,0.9478015511694787,0.6289729964225601,1.5611542034751984,1.8716892115341346,2.5111317137607543,0.992
V3,120,MSE,True,0.2848888888888889,-0.093239727194628,0.9483382557611452,0.6233134915631373,1.5675444645912124,1.9023591304234975,2.5205703764119907,0.9921666666666666
V3,130,MSE,True,0.29205555555555557,0.11757720397376553,0.9478162073910747,0.6392444231248944,1.5712151662293503,1.8722099327715058,2.517631158901119,0.9916388888888888
V3,140,MSE,True,0.28555555555555556,0.023614216454947944,0.9476420364394436,0.6258284390900681,1.5590179822459584,1.8715398116559716,2.4945259675915707,0.9913333333333333
V3,150,MSE,True,0.2858888888888889,-0.1332844871636998,0.9477153967656542,0.6217519403186685,1.5729234669799332,1.9155881663339656,2.5331446053373505,0.9917777777777778
V3,160,MSE,True,0.28375,-0.020365312514826706,0.9479732173765438,0.6243173511504243,1.5606899359851205,1.8804821333925845,2.500551124662516,0.9917222222222222
V3,170,MSE,True,0.2851388888888889,-0.12229148589183271,0.9482056043336471,0.620722933666962,1.5714043726790543,1.9124569177690303,2.529207390544943,0.9918055555555556
