state_id,episode,task_id,dataset_index,load,requirement,safe_set_bin,safe_set_size,effective_set_size,lens,horizon,coupling,frozen_advantage_spearman,frozen_advantage_regret
ep003_task125,3,125,524,high,0.999,16-28,25,25,legacy_interval_step,50,easy,0.30259786949343076,0.0
ep003_task138,3,138,537,low,0.9,16-28,28,28,production_smdp,5,easy,0.9079648590000492,0.29978946988481425
ep003_task138,3,138,537,low,0.9,16-28,28,28,production_smdp,10,easy,0.9079648590000492,0.29978946988478583
ep003_task138,3,138,537,low,0.9,16-28,28,28,production_smdp,20,easy,0.9079648590000492,0.2997894698848427
ep003_task138,3,138,537,low,0.9,16-28,28,28,production_smdp,50,easy,0.9079648590000492,0.29978946988478583
ep003_task138,3,138,537,low,0.9,16-28,28,28,legacy_interval_step,5,easy,0.9079648590000492,0.2997894698848995
ep003_task138,3,138,537,low,0.9,16-28,28,28,legacy_interval_step,10,easy,0.9079648590000492,0.29978946988478583
ep003_task138,3,138,537,low,0.9,16-28,28,28,legacy_interval_step,20,easy,0.9079648590000492,0.29978946988478583
ep003_task138,3,138,537,low,0.9,16-28,28,28,legacy_interval_step,50,easy,0.9079648590000492,0.29978946988467214
ep003_task150,3,150,549,high,0.9,16-28,28,28,production_smdp,5,easy,0.636689468611691,0.0
ep003_task150,3,150,549,high,0.9,16-28,28,28,production_smdp,10,easy,0.636689468611691,0.0
ep003_task150,3,150,549,high,0.9,16-28,28,28,production_smdp,20,easy,0.636689468611691,0.0
ep003_task150,3,150,549,high,0.9,16-28,28,28,production_smdp,50,easy,0.636689468611691,0.0
ep003_task150,3,150,549,high,0.9,16-28,28,28,legacy_interval_step,5,easy,0.636689468611691,0.0
ep003_task150,3,150,549,high,0.9,16-28,28,28,legacy_interval_step,10,easy,0.636689468611691,0.0
ep003_task150,3,150,549,high,0.9,16-28,28,28,legacy_interval_step,20,easy,0.636689468611691,0.0
ep003_task150,3,150,549,high,0.9,16-28,28,28,legacy_interval_step,50,easy,0.636689468611691,0.0
ep003_task163,3,163,562,medium,0.9,16-28,28,28,production_smdp,5,easy,0.19315631158595123,0.0
ep003_task163,3,163,562,medium,0.9,16-28,28,28,production_smdp,10,easy,0.19315631158595123,0.0
ep003_task163,3,163,562,medium,0.9,16-28,28,28,production_smdp,20,easy,0.19315631158595123,0.0
ep003_task163,3,163,562,medium,0.9,16-28,28,28,production_smdp,50,easy,0.19315631158595123,0.0
ep003_task163,3,163,562,medium,0.9,16-28,28,28,legacy_interval_step,5,easy,0.18265568234379653,0.0
ep003_task163,3,163,562,medium,0.9,16-28,28,28,legacy_interval_step,10,easy,0.18265568234379653,0.0
ep003_task163,3,163,562,medium,0.9,16-28,28,28,legacy_interval_step,20,easy,0.18265568234379653,0.0
ep003_task163,3,163,562,medium,0.9,16-28,28,28,legacy_interval_step,50,easy,0.18265568234379653,0.0
ep003_task175,3,175,574,high,0.9,16-28,28,28,production_smdp,5,coupled,0.26233280598736997,0.0
ep003_task175,3,175,574,high,0.9,16-28,28,28,production_smdp,10,coupled,0.18546650834499215,3.151331723683029
ep003_task175,3,175,574,high,0.9,16-28,28,28,production_smdp,20,coupled,-0.01895879863082142,9.64465679946369
