episode,task_id,state_id,split,dataset_index,max_backlog,load,requirement,safe_set_bin,safe_set_size,effective_set_size
32,113,ep032_task113,test,6312,3.413277205995869,high,0.99,16-28,25,25
32,125,ep032_task125,test,6324,2.5953315549396017,high,0.999,16-28,18,18
32,138,ep032_task138,test,6337,2.97313497111233,high,0.9,16-28,28,28
32,150,ep032_task150,test,6349,0.995657390671925,medium,0.9,16-28,28,28
32,163,ep032_task163,test,6362,0.0,low,0.9,16-28,28,28
32,175,ep032_task175,test,6374,0.0,low,0.9,16-28,28,28
32,188,ep032_task188,test,6387,0.8197222449135779,medium,0.99,16-28,28,28
32,200,ep032_task200,test,6399,0.8393567380760183,medium,0.9999,1-5,5,5
36,1,ep036_task001,test,7000,0.0,low,0.99,16-28,28,28
36,13,ep036_task013,test,7012,2.094576039435464,high,0.999,16-28,26,26
36,26,ep036_task026,test,7025,1.5554617144659892,medium,0.9999,6-15,15,15
36,38,ep036_task038,test,7037,0.43839047248383634,medium,0.99,16-28,28,28
36,51,ep036_task051,test,7050,2.471069136534088,high,0.999,16-28,24,24
36,63,ep036_task063,test,7062,1.8888620474258744,high,0.999,16-28,28,28
36,76,ep036_task076,test,7075,2.1680985660664733,high,0.9999,6-15,15,15
36,88,ep036_task088,test,7087,1.9265542602778396,high,0.9999,16-28,25,25
36,100,ep036_task100,test,7099,2.4941081305800377,high,0.9999,16-28,16,16
36,113,ep036_task113,test,7112,2.1353423086621226,high,0.99,16-28,25,25
36,125,ep036_task125,test,7124,1.3633560417603854,medium,0.999,16-28,20,20
36,138,ep036_task138,test,7137,1.0837690865212335,medium,0.9,16-28,28,28
36,150,ep036_task150,test,7149,1.1630047062310402,medium,0.9,16-28,28,28
36,163,ep036_task163,test,7162,0.0,low,0.9,16-28,28,28
36,175,ep036_task175,test,7174,1.339129925047335,medium,0.9,16-28,28,28
36,188,ep036_task188,test,7187,3.3276044660422097,high,0.99,16-28,28,28
36,200,ep036_task200,test,7199,3.4130787068014947,high,0.9999,1-5,3,3
37,1,ep037_task001,test,7200,0.0,low,0.99,16-28,28,28
37,13,ep037_task013,test,7212,0.9380776573725429,medium,0.999,16-28,25,25
37,26,ep037_task026,test,7225,1.0166850857493102,medium,0.9999,6-15,10,10
37,38,ep037_task038,test,7237,0.0,low,0.99,16-28,28,28
37,51,ep037_task051,test,7250,0.0,low,0.999,16-28,21,21
37,63,ep037_task063,test,7262,2.2002622000341803,high,0.999,16-28,25,25
37,76,ep037_task076,test,7275,0.06687663687590839,medium,0.9999,6-15,11,11
37,88,ep037_task088,test,7287,0.06238989957042196,medium,0.9999,16-28,21,21
37,100,ep037_task100,test,7299,2.524386110507998,high,0.9999,6-15,14,14
37,113,ep037_task113,test,7312,1.8409820414485787,high,0.99,16-28,25,25
37,125,ep037_task125,test,7324,5.342652456144879,high,0.999,6-15,15,15
37,138,ep037_task138,test,7337,0.0,low,0.9,16-28,28,28
37,150,ep037_task150,test,7349,1.5968485294737724,medium,0.9,16-28,28,28
37,163,ep037_task163,test,7362,0.0,low,0.9,16-28,28,28
37,175,ep037_task175,test,7374,0.593986664846069,medium,0.9,16-28,28,28
37,188,ep037_task188,test,7387,0.0,low,0.99,16-28,28,28
37,200,ep037_task200,test,7399,2.264666008998424,high,0.9999,1-5,5,5
