lens,horizon,coupling,value_source,advantage_type,n,nonzero_reference_count,pearson,spearman,sign_agreement,normalized_mae,quartile_agreement,sign_agreement_including_zeros
legacy_interval_step,10,easy,V1,normalized,815,790,0.11009890134227647,0.14253451480110735,0.5126582278481012,1.0338370735056184,0.26134969325153373,0.49693251533742333
legacy_interval_step,10,easy,V2,raw,815,790,0.1152728513411403,0.14489419116969332,0.5962025316455696,1.0309742035920237,0.27361963190184047,0.5779141104294478
legacy_interval_step,10,easy,V2,normalized,815,790,0.11009889137390366,0.14253451480110735,0.5126582278481012,1.0338370745856593,0.26134969325153373,0.49693251533742333
legacy_interval_step,10,easy,V3,raw,815,790,0.12114642210657313,0.1440835800265086,0.5113924050632911,1.023734638612156,0.2785276073619632,0.49570552147239266
legacy_interval_step,10,easy,V3,normalized,815,790,0.11560002165410346,0.1430457735269742,0.5050632911392405,1.0268359953568271,0.2785276073619632,0.48957055214723927
legacy_interval_step,20,coupled,V0,raw,185,185,0.13079876285735545,0.11540692164815587,0.5891891891891892,1.0133458973340745,0.31891891891891894,0.5891891891891892
legacy_interval_step,20,coupled,V0,normalized,185,185,0.14951356541426628,0.12394336833327017,0.572972972972973,1.0071090570474253,0.34054054054054056,0.572972972972973
legacy_interval_step,20,coupled,V1,raw,185,185,0.13076471540984652,0.11540692164815587,0.5891891891891892,1.0133720668375181,0.31891891891891894,0.5891891891891892
legacy_interval_step,20,coupled,V1,normalized,185,185,0.1494810645505352,0.12403813350517419,0.572972972972973,1.0071323779791703,0.34054054054054056,0.572972972972973
legacy_interval_step,20,coupled,V2,raw,185,185,0.1307647053079609,0.11540692164815587,0.5891891891891892,1.0133720955285592,0.31891891891891894,0.5891891891891892
legacy_interval_step,20,coupled,V2,normalized,185,185,0.14948105090034805,0.12403813350517419,0.572972972972973,1.0071324003488127,0.34054054054054056,0.572972972972973
legacy_interval_step,20,coupled,V3,raw,185,185,0.14100807912963198,0.08226375042644328,0.5243243243243243,1.0210770932715043,0.2810810810810811,0.5243243243243243
legacy_interval_step,20,coupled,V3,normalized,185,185,0.16199682834675339,0.10109169478033435,0.5405405405405406,1.011678148939978,0.24864864864864866,0.5405405405405406
legacy_interval_step,20,easy,V0,raw,815,790,0.11599414338681127,0.14481896128917207,0.5962025316455696,1.0317731586098795,0.27361963190184047,0.5779141104294478
legacy_interval_step,20,easy,V0,normalized,815,790,0.11225139485729384,0.14258133868967635,0.5126582278481012,1.0346537834646596,0.26134969325153373,0.49693251533742333
legacy_interval_step,20,easy,V1,raw,815,790,0.11596377267244833,0.14478337158180224,0.5962025316455696,1.0317813852899684,0.27361963190184047,0.5779141104294478
legacy_interval_step,20,easy,V1,normalized,815,790,0.11222141996258876,0.14260366130678165,0.5126582278481012,1.0346587851783375,0.26134969325153373,0.49693251533742333
legacy_interval_step,20,easy,V2,raw,815,790,0.11596376790750211,0.1447828949802506,0.5962025316455696,1.031781384304854,0.27361963190184047,0.5779141104294478
legacy_interval_step,20,easy,V2,normalized,815,790,0.11222140958730034,0.14260366130678165,0.5126582278481012,1.0346587857926464,0.26134969325153373,0.49693251533742333
legacy_interval_step,20,easy,V3,raw,815,790,0.1225415994717264,0.14411519757522884,0.5113924050632911,1.0244922526900448,0.2785276073619632,0.49570552147239266
legacy_interval_step,20,easy,V3,normalized,815,790,0.11870911666721977,0.14326163540898554,0.5050632911392405,1.0276334673252323,0.2785276073619632,0.48957055214723927
legacy_interval_step,50,coupled,V0,raw,185,185,0.1307987628573553,0.11540692164815587,0.5891891891891892,1.0133458973340748,0.31891891891891894,0.5891891891891892
legacy_interval_step,50,coupled,V0,normalized,185,185,0.14951356541426597,0.12394336833327017,0.572972972972973,1.0071090570474264,0.34054054054054056,0.572972972972973
legacy_interval_step,50,coupled,V1,raw,185,185,0.13076471540984635,0.11540692164815587,0.5891891891891892,1.0133720668375183,0.31891891891891894,0.5891891891891892
legacy_interval_step,50,coupled,V1,normalized,185,185,0.14948106455053498,0.12403813350517419,0.572972972972973,1.0071323779791712,0.34054054054054056,0.572972972972973
legacy_interval_step,50,coupled,V2,raw,185,185,0.13076470530796078,0.11540692164815587,0.5891891891891892,1.01337209552856,0.31891891891891894,0.5891891891891892
legacy_interval_step,50,coupled,V2,normalized,185,185,0.14948105090034772,0.12403813350517419,0.572972972972973,1.0071324003488138,0.34054054054054056,0.572972972972973
legacy_interval_step,50,coupled,V3,raw,185,185,0.14100807912963179,0.08226375042644328,0.5243243243243243,1.0210770932715043,0.2810810810810811,0.5243243243243243
legacy_interval_step,50,coupled,V3,normalized,185,185,0.16199682834675294,0.10109169478033435,0.5405405405405406,1.0116781489399784,0.24864864864864866,0.5405405405405406
