trial_id,policy,R_req,tasks,mean_reward,mean_latency,p50_latency,p90_latency,p95_latency,overall_rsr,feasibility_rate,conditional_rsr,avoidable_violation_rate,unavoidable_violation_rate,empty_safe_set_rate,mean_empty_deficit,p95_empty_deficit,avoidable_violation_count,unavoidable_violation_count,mean_safe_set_size,pair_selection_hhi,pair_selection_entropy,top1_pair_frequency,unique_selected_pairs,pair_78_frequency,mean_masked_entropy
1,masked_greedy,0.999,1000,61.52275941703512,2.1236222111756953,2.004565239766263,3.4845735826202913,3.970613589959618,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,22.082,0.566614,0.8100643943460429,0.73,4,0.73,2.9708184353113176
1,masked_greedy,0.9999,1000,49.23251532494941,2.446106008773916,2.27453061733069,3.9203952335099537,4.802848722775545,0.897,0.897,1.0,0.0,0.103,0.103,6.156324910821297e-05,0.00021423707819970977,0,103,8.883,0.554074,0.9269593997542407,0.729,5,0.729,1.7477716346383094
1,masked_stochastic,0.9,1000,59.83235896113335,2.1447787604855195,2.1321919918746346,3.3530892460317148,3.6845911935722744,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,27.974,0.043724,3.2147588394588116,0.074,28,0.074,3.1974831120967866
1,masked_stochastic,0.99,1000,65.89354700773146,1.9195518986873161,1.7746647179223984,3.151221352930236,3.591780499791045,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,27.42,0.04726400000000001,3.1584982400857733,0.085,28,0.085,3.181489274263382
1,masked_stochastic,0.999,1000,65.8674435027556,1.894945552342182,1.806895344916203,3.014808489269075,3.457766818053021,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,22.082,0.051396,3.099263780931306,0.086,28,0.086,2.9572829464673998
1,masked_stochastic,0.9999,1000,55.51771018348708,2.0196107111430477,1.9699963540245164,2.978789128964536,3.392523645872924,0.897,0.897,1.0,0.0,0.103,0.103,6.156324910821297e-05,0.00021423707819970977,0,103,8.883,0.112396,2.5133433476797307,0.216,25,0.216,1.7415342947244645
1,pair,0.9,1000,47.29693805416503,3.1304427206165655,2.694410539289237,5.757500854190318,6.961958022384435,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,27.974,0.9940180000000001,0.020422924464179912,0.997,2,0.997,2.4171909112930297
1,pair,0.99,1000,51.99085417914537,2.944159304840247,2.58134473248969,5.5121167899040815,6.742511989933434,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,27.42,0.996008,0.014427214862176116,0.998,2,0.998,2.407158603191376
1,pair,0.999,1000,47.41513570899347,3.1735485713283933,2.779303504727409,5.916899539450668,6.7419100632212485,0.996,1.0,0.996,0.004,0.0,0.0,0.0,0.0,4,0,22.082,0.9980020000000001,0.007907255112232087,0.999,2,0.999,2.4050180826187133
1,pair,0.9999,1000,36.01335586575832,3.4742208984656155,2.8350189186446078,6.373700755003976,7.7600143231892025,0.85,0.897,0.947603121516165,0.047,0.103,0.103,6.156324910821297e-05,0.00021423707819970977,47,103,8.883,1.0,-0.0,1.0,1,1.0,2.40646639752388
