trial_id,policy,tasks,mean_reward,mean_latency,p50_latency,p90_latency,p95_latency,overall_rsr,feasibility_rate,conditional_rsr,avoidable_violation_rate,unavoidable_violation_rate,empty_safe_set_rate,mean_empty_deficit,p95_empty_deficit,avoidable_violation_count,unavoidable_violation_count,mean_safe_set_size,pair_selection_hhi,pair_selection_entropy,top1_pair_frequency,unique_selected_pairs,pair_78_frequency,mean_masked_entropy,maximum_server_selection_share,maximum_server_utilization,maximum_mean_queue_length,maximum_p95_queue_length,mean_server_queue_length,mean_server_p95_queue_length,mean_server_waiting_time,highest_rsr
6,flat,4000,48.35888703103134,2.9248786335533703,2.5447896251671835,5.469554238665716,6.550825621960362,0.9565,0.97525,0.980774160471674,0.01875,0.02475,0.02475,8.054532128771008e-05,0.000286166300104,75,99,21.96725,0.914505125,0.18275664611700265,0.95525,2,0.95525,2.7364804305434225,0.5,0.7173734604039607,1.105503778636038,5.0,0.21090901501548995,1.0,0.4554006521554311,0.826
6,masked_greedy,4000,48.276067368994106,3.063502484435724,2.618122112826569,5.802842720870264,6.985376349297526,0.97525,0.97525,1.0,0.0,0.02475,0.02475,8.054532128771008e-05,0.000286166300104,0,99,21.96725,0.9513177499999999,0.14535039424937649,0.97525,6,0.97525,2.8637648039758203,0.4945,0.7021621420596774,1.020422527616647,4.0,0.21213743026459694,0.875,0.46400545381630487,0.901
6,masked_stochastic,4000,61.27887790795619,2.0185708145064973,1.9667104167755485,3.143342361201661,3.591429896579541,0.97525,0.97525,1.0,0.0,0.02475,0.02475,8.054532128771008e-05,0.000286166300104,0,99,21.96725,0.04917075,3.161269694059401,0.10475,28,0.10475,2.857458132788539,0.19575,0.2865600609254978,0.0683998278677293,1.0,0.03801743082547701,0.125,0.30842892961750457,0.901
6,pair,4000,46.961626429067614,3.178282403776399,2.663496248548906,6.014430540147275,7.271924682754443,0.9685,0.97525,0.9930786977698026,0.00675,0.02475,0.02475,8.054532128771008e-05,0.000286166300104,27,99,21.96725,0.9990005000000002,0.004300326208932443,0.9995,2,0.9995,2.2841975165605546,0.5,0.7171432726193842,1.1025602093144662,5.0,0.22645642642109398,1.0,0.5205932181836711,0.874
7,flat,4000,46.87607231877706,3.250555621760987,2.640590925079806,6.124956411275123,7.82242311230535,0.978,0.9875,0.990379746835443,0.0095,0.0125,0.0125,7.213634742484027e-05,0.0002134074089213,38,50,22.172,1.0,-0.0,1.0,1,1.0,2.7147566463947297,0.5,0.7140643521060679,1.1144321629075036,5.0,0.23213242862250158,1.125,0.4784184456884496,0.912
7,masked_greedy,4000,51.44586265789733,2.6945000502708325,2.4885110591223594,4.6597047228732755,5.291447226507051,0.9875,0.9875,1.0,0.0,0.0125,0.0125,7.213634742484027e-05,0.0002134074089213,0,50,22.172,0.892870625,0.28012114084298956,0.94425,7,0.94425,2.810999631866813,0.489625,0.6941355954489776,0.9989779467190336,4.0,0.18787328310884757,0.75,0.45335397311451914,0.95
7,masked_stochastic,4000,62.54022229614039,2.00216210579365,1.9564873090121324,3.1416628711901504,3.5943579689825014,0.9875,0.9875,1.0,0.0,0.0125,0.0125,7.213634742484027e-05,0.0002134074089213,0,50,22.172,0.0571855,3.0671675806109175,0.12425,28,0.12425,2.808094896584749,0.218625,0.2971250268162468,0.0798664143553824,1.0,0.03853159061936873,0.25,0.2955990978227966,0.95
7,pair,4000,50.7771819390015,2.6943250003781305,2.477315121824347,4.6263030800426055,5.365566393428573,0.9725,0.9875,0.9848101265822785,0.015,0.0125,0.0125,7.213634742484027e-05,0.0002134074089213,60,50,22.172,0.8828125,0.2337916587064593,0.9375,2,0.9375,2.279373513817787,0.5,0.6695632038986924,0.7436787165175662,4.0,0.16659845510789012,0.75,0.3814763448554164,0.89
8,flat,4000,43.43361271987009,3.683714039533701,2.7383035112789003,7.341968471069438,9.636067034891754,0.948,0.96625,0.9811125485122898,0.01825,0.03375,0.03375,0.0002256416696448334,0.0008466436868869398,73,135,21.60325,1.0,-0.0,1.0,1,1.0,2.6907517068386078,0.5,0.7217380156776746,1.578982124299598,7.0,0.3174319993339437,1.375,0.6472626939492538,0.812
8,masked_greedy,4000,47.0812525831528,3.441707268543055,2.594959376653449,6.711418158249365,8.858146638104024,0.96625,0.96625,1.0,0.0,0.03375,0.03375,0.0002256416696448334,0.0008466436868869398,0,135,21.60325,0.837404,0.39210394892152356,0.91325,7,0.91325,2.7679219048172237,0.491,0.6689861032904763,1.2248584200004913,6.0,0.2683898430732265,1.25,0.73490152089025,0.872
8,masked_stochastic,4000,61.104002676248435,2.006335342784879,1.95444667843708,3.1175698622202326,3.657479395725673,0.96625,0.96625,1.0,0.0,0.03375,0.03375,0.0002256416696448334,0.0008466436868869398,0,135,21.60325,0.05719575,3.0645583275422505,0.12325,28,0.12325,2.7575700591653587,0.220375,0.2991391818993017,0.0836819503009754,1.0,0.03922978150356213,0.25,0.2896917282043728,0.872
8,pair,4000,43.81526411944121,3.656143340043991,2.721463263875364,7.321122438725222,9.565942159355865,0.948,0.96625,0.9811125485122898,0.01825,0.03375,0.03375,0.0002256416696448334,0.0008466436868869398,73,135,21.60325,0.9670611249999999,0.08510565898365231,0.98325,2,0.98325,2.3354587250947954,0.5,0.7113473864663846,1.461436704124992,6.0,0.30302978252285473,1.25,0.6405710003058097,0.812
