trial_id,policy,tasks,mean_reward,mean_latency,p50_latency,p90_latency,p95_latency,overall_rsr,feasibility_rate,conditional_rsr,avoidable_violation_rate,unavoidable_violation_rate,empty_safe_set_rate,mean_empty_deficit,p95_empty_deficit,avoidable_violation_count,unavoidable_violation_count,mean_safe_set_size,pair_selection_hhi,pair_selection_entropy,top1_pair_frequency,unique_selected_pairs,pair_78_frequency,mean_masked_entropy,maximum_server_selection_share,maximum_server_utilization,maximum_mean_queue_length,maximum_p95_queue_length,mean_server_queue_length,mean_server_p95_queue_length,mean_server_waiting_time,highest_rsr,posthoc_reliability_diagnostic,actor_sha256,action_rng_seed,mean_native_policy_entropy
0,Masked Stochastic,4000,60.55369681812354,2.0214231522299118,1.9650437059567167,3.171451280879728,3.684334382344083,0.95675,0.95675,1.0,0.0,0.04325,0.04325,0.0001094956286553,0.0003577416544684,0,173,20.9215,0.067177625,2.9541763740238665,0.13575,28,0.13575,2.6057010565400125,0.22575,0.3314381275895553,0.0992695746722853,1.0,0.0447425716721095,0.375,0.2997010155472162,0.827,False,,,
1,Masked Stochastic,4000,61.77776491377687,1.9947217306645169,1.9488527919060343,3.120254550879394,3.5824872743383978,0.97425,0.97425,1.0,0.0,0.02575,0.02575,6.156324910821297e-05,0.0002142370781997,0,103,21.58975,0.0554265,3.073732633109536,0.11525,28,0.11525,2.769447406888008,0.22325,0.3383188257219316,0.1097602417139122,1.0,0.0402876886873091,0.25,0.2880461308569502,0.897,False,,,
2,Masked Stochastic,4000,60.59948446595163,2.004543715790942,1.964890229284464,3.117584101477882,3.511721600659995,0.9575,0.9575,1.0,0.0,0.0425,0.0425,9.781897016790127e-05,0.0003645157081459,0,170,20.92725,0.05409525,3.090167051506724,0.115,28,0.115,2.716049152761698,0.226375,0.3116339550914631,0.08555490981709,1.0,0.0400216099993142,0.25,0.3110830467866899,0.83,False,,,
3,Masked Stochastic,4000,60.82596312725253,2.024229400940285,1.970155737637356,3.1769637190787705,3.622861964037744,0.9655,0.9655,1.0,0.0,0.0345,0.0345,6.930862004996635e-05,0.0001759940887402,0,138,21.56875,0.050383375,3.133141259629636,0.085,28,0.08225,2.78967901276052,0.20075,0.2836479329945096,0.0804486735567736,1.0,0.042431665286764,0.25,0.3275935265251522,0.862,False,,,
4,Masked Stochastic,4000,61.89701687390434,2.0186603089588715,1.957508219383804,3.138991470250357,3.595003047634219,0.983,0.983,1.0,0.0,0.017,0.017,4.805966977929202e-05,0.0001244851538345,0,68,22.13625,0.061419375,3.022242160953362,0.1355,28,0.1355,2.7861347920149564,0.219875,0.3246312640685282,0.0953023800845271,1.0,0.0409803434971925,0.25,0.288963258734133,0.932,False,,,
5,Masked Stochastic,4000,61.41212309869239,2.000493183586977,1.973657550068438,3.109329766840247,3.573257693271728,0.9715,0.9715,1.0,0.0,0.0285,0.0285,9.430848271695178e-05,0.0002731586389505,0,114,21.52125,0.052747875,3.108842130663404,0.10075,28,0.10075,2.7750991434752943,0.21675,0.2904431972793377,0.0679435635549536,1.0,0.0383240397814306,0.25,0.3080876171020739,0.886,False,,,
6,Masked Stochastic,4000,61.27887790795619,2.0185708145064973,1.9667104167755485,3.143342361201661,3.591429896579541,0.97525,0.97525,1.0,0.0,0.02475,0.02475,8.054532128771008e-05,0.000286166300104,0,99,21.96725,0.04917075,3.161269694059401,0.10475,28,0.10475,2.857458132788539,0.19575,0.2865600609254978,0.0683998278677293,1.0,0.038017430825477,0.125,0.3084289296175045,0.901,False,,,
7,Masked Stochastic,4000,62.54022229614039,2.00216210579365,1.9564873090121324,3.1416628711901504,3.5943579689825014,0.9875,0.9875,1.0,0.0,0.0125,0.0125,7.213634742484027e-05,0.0002134074089213,0,50,22.172,0.0571855,3.067167580610917,0.12425,28,0.12425,2.808094896584749,0.218625,0.2971250268162468,0.0798664143553824,1.0,0.0385315906193687,0.25,0.2955990978227966,0.95,False,,,
8,Masked Stochastic,4000,61.10400267624844,2.006335342784879,1.95444667843708,3.1175698622202326,3.657479395725673,0.96625,0.96625,1.0,0.0,0.03375,0.03375,0.0002256416696448,0.0008466436868869,0,135,21.60325,0.05719575,3.0645583275422505,0.12325,28,0.12325,2.7575700591653587,0.220375,0.2991391818993017,0.0836819503009754,1.0,0.0392297815035621,0.25,0.2896917282043728,0.872,False,,,
9,Masked Stochastic,4000,62.30216503836733,2.0159210399026364,1.9556495884978489,3.165309902168332,3.593144656350185,0.98975,0.98975,1.0,0.0,0.01025,0.01025,2.4312161578049636e-05,5.227407200802947e-05,0,41,22.111,0.050288125,3.1376274260916936,0.094,28,0.094,2.8571884226202964,0.199375,0.2942581747524039,0.0736590680280506,1.0,0.037832430778097,0.25,0.2882769084035402,0.959,False,,,
