trial_id,policy,server_id,selection_count,primary_count,backup_count,utilization,mean_queue_length,p95_queue_length,mean_waiting_time,busy_time,observation_time,replica_wait_count
4,Pair Greedy,1,0,0,0,0.0,0.0,0.0,0.0,0.0,8200.374580926573,0
4,Pair Greedy,2,0,0,0,0.0,0.0,0.0,0.0,0.0,8200.374580926573,0
4,Pair Greedy,3,0,0,0,0.0,0.0,0.0,0.0,0.0,8200.374580926573,0
4,Pair Greedy,4,0,0,0,0.0,0.0,0.0,0.0,0.0,8200.374580926573,0
4,Pair Greedy,5,0,0,0,0.0,0.0,0.0,0.0,0.0,8200.374580926573,0
4,Pair Greedy,6,30,30,0,0.0067213572398293,0.0006049425656801,0.0,0.1653585212841344,55.11764705882358,8200.374580926573,30
4,Pair Greedy,7,3970,3970,0,0.7115054383835049,1.2561918591980863,6.0,2.5947717357518583,5834.611111111111,8200.374580926573,3970
4,Pair Greedy,8,4000,0,4000,0.6460680481990092,0.8695526068322271,4.0,1.7826642734613585,5297.999999999999,8200.374580926573,4000
4,Masked Stochastic,1,320,320,0,0.0995701956127158,0.0072157904337918,0.0,0.1840495808464632,812.6999999999998,8162.080982154986,320
4,Masked Stochastic,2,536,517,19,0.1501176881179664,0.0143586413175284,0.0,0.2186499873645218,1225.2727272727273,8162.080982154986,536
4,Masked Stochastic,3,551,502,49,0.1407627134769404,0.0148157812403276,0.0,0.2194693399227714,1148.916666666667,8162.080982154986,551
4,Masked Stochastic,4,945,771,174,0.2134872226592313,0.0340137918615073,0.0,0.2937812949034782,1742.499999999999,8162.080982154986,945
4,Masked Stochastic,5,908,640,268,0.1923284029443107,0.0242499090561934,0.0,0.2179842748089695,1569.7999999999995,8162.080982154986,908
4,Masked Stochastic,6,1250,708,542,0.2367619964149234,0.0468803858305195,0.0,0.3061132044986971,1932.4705882352928,8162.080982154986,1250
4,Masked Stochastic,7,1731,542,1189,0.3246312640685282,0.0953023800845271,1.0,0.4493736245187896,2649.666666666668,8162.080982154986,1731
4,Masked Stochastic,8,1759,0,1759,0.2942876951664126,0.0910060681531454,1.0,0.4222847630093737,2402.0,8162.080982154986,1759
4,Masked Greedy,1,0,0,0,0.0,0.0,0.0,0.0,0.0,8196.383884509518,0
4,Masked Greedy,2,0,0,0,0.0,0.0,0.0,0.0,0.0,8196.383884509518,0
4,Masked Greedy,3,0,0,0,0.0,0.0,0.0,0.0,0.0,8196.383884509518,0
4,Masked Greedy,4,8,8,0,0.0031634159397504,0.0,0.0,0.0,25.928571428571416,8196.383884509518,8
4,Masked Greedy,5,18,18,0,0.0059375777601928,4.139255271993197e-05,0.0,0.0188482917806867,48.666666666666686,8196.383884509518,18
4,Masked Greedy,6,136,135,1,0.0282764581488635,0.0022834846766513,0.0,0.1376199779722761,231.76470588235296,8196.383884509518,136
4,Masked Greedy,7,3873,3839,34,0.6937747822172352,1.0788559650356586,5.0,2.2831700608120937,5686.444444444447,8196.383884509518,3873
4,Masked Greedy,8,3965,0,3965,0.637665350189093,0.840593991740762,4.0,1.7376623070162691,5226.55,8196.383884509518,3965
5,Pair Greedy,1,0,0,0,0.0,0.0,0.0,0.0,0.0,8289.28266710719,0
5,Pair Greedy,2,0,0,0,0.0,0.0,0.0,0.0,0.0,8289.28266710719,0
5,Pair Greedy,3,0,0,0,0.0,0.0,0.0,0.0,0.0,8289.28266710719,0
