comparison,left_policy,right_policy,metric,mean_delta,std_seed_delta,ci95_low,ci95_high,wins,losses,ties,win_direction,bootstrap_samples,bootstrap_seed,reused_existing_result
Masked Stochastic - Pair Stochastic,Masked Stochastic,Pair Stochastic,maximum_server_utilization,-0.10374551184764425,0.03255227282850395,-0.12354804166726512,-0.08579981892419926,10,0,0,lower,20000,2043,False
Masked Stochastic - Pair Stochastic,Masked Stochastic,Pair Stochastic,maximum_mean_queue_length,-0.08355064691641882,0.03617335521056024,-0.10515741832764684,-0.06337139839097759,10,0,0,lower,20000,2043,False
Masked Stochastic - Pair Stochastic,Masked Stochastic,Pair Stochastic,maximum_p95_queue_length,0.0,0.0,0.0,0.0,0,0,10,lower,20000,2043,False
Masked Stochastic - Pair Stochastic,Masked Stochastic,Pair Stochastic,mean_server_queue_length,-0.013078507525908695,0.00444939849162613,-0.01562135031734726,-0.010403830788437787,10,0,0,lower,20000,2043,False
Masked Stochastic - Pair Stochastic,Masked Stochastic,Pair Stochastic,mean_server_p95_queue_length,-0.125,0.05892556509887896,-0.1625,-0.0875,9,0,1,lower,20000,2043,False
Masked Stochastic - Pair Stochastic,Masked Stochastic,Pair Stochastic,mean_server_waiting_time,0.04311353547272293,0.014211409021457256,0.0348813194456731,0.05147011095175788,0,10,0,lower,20000,2043,False
Masked Stochastic - Masked Greedy,Masked Stochastic,Masked Greedy,mean_reward,10.755231680305647,3.684724138716052,8.27067164920182,12.666712650341443,10,0,0,higher,20000,2043,True
Masked Stochastic - Masked Greedy,Masked Stochastic,Masked Greedy,mean_latency,-0.9030727377612668,0.40069258755639264,-1.1264143113551637,-0.6507746415533651,10,0,0,lower,20000,2043,True
Masked Stochastic - Masked Greedy,Masked Stochastic,Masked Greedy,overall_rsr,0.0,0.0,0.0,0.0,0,0,10,higher,20000,2043,True
Masked Stochastic - Masked Greedy,Masked Stochastic,Masked Greedy,highest_rsr,0.0,0.0,0.0,0.0,0,0,10,higher,20000,2043,True
Masked Stochastic - Masked Greedy,Masked Stochastic,Masked Greedy,pair_selection_hhi,-0.7763644125,0.12515631006189498,-0.8422339406249999,-0.6952923759375,10,0,0,lower,20000,2043,True
Masked Stochastic - Masked Greedy,Masked Stochastic,Masked Greedy,top1_pair_frequency,-0.7922,0.08250461266566317,-0.8359,-0.7391250000000001,10,0,0,lower,20000,2043,True
Masked Stochastic - Masked Greedy,Masked Stochastic,Masked Greedy,maximum_server_selection_share,-0.26999999999999996,0.023393523557695275,-0.2822624999999999,-0.2549871875,10,0,0,lower,20000,2043,True
Masked Stochastic - Masked Greedy,Masked Stochastic,Masked Greedy,maximum_server_utilization,-0.3712743009464609,0.03522787959646778,-0.3906857493660026,-0.3494052680344973,10,0,0,lower,20000,2043,True
Masked Stochastic - Masked Greedy,Masked Stochastic,Masked Greedy,maximum_mean_queue_length,-0.8421381512383423,0.21785690338169222,-0.959446671016386,-0.7030566918348169,10,0,0,lower,20000,2043,True
Masked Stochastic - Masked Greedy,Masked Stochastic,Masked Greedy,maximum_p95_queue_length,-3.1,1.1005049346146119,-3.7,-2.4,10,0,0,lower,20000,2043,True
Masked Stochastic - Masked Greedy,Masked Stochastic,Masked Greedy,mean_server_queue_length,-0.153992386834411,0.05178185969388497,-0.1825601236379556,-0.1214358883691246,10,0,0,lower,20000,2043,True
Masked Stochastic - Masked Greedy,Masked Stochastic,Masked Greedy,mean_server_p95_queue_length,-0.625,0.2429563289518875,-0.7625,-0.475,10,0,0,lower,20000,2043,True
Masked Stochastic - Masked Greedy,Masked Stochastic,Masked Greedy,avoidable_violation_rate,0.0,0.0,0.0,0.0,0,0,10,lower,20000,2043,True
Masked Stochastic - Masked Greedy,Masked Stochastic,Masked Greedy,conditional_rsr,0.0,0.0,0.0,0.0,0,0,10,higher,20000,2043,True
