state_id,trial_id,task_id,requirement,load_tertile,safe_set_size,safe_set_empty,effective_set_size,total_backlog_seconds,maximum_backlog_seconds,estimated_min_latency,myopic_action,ppo_sampled_action,ppo_high_probability_action,critic_value,snapshot_digest,state_feature_0,state_feature_1,state_feature_2,state_feature_3,state_feature_4,state_feature_5,state_feature_6,state_feature_7,state_feature_8,state_feature_9,state_feature_10,state_feature_11,state_feature_12,state_feature_13,state_feature_14,state_feature_15,state_feature_16,state_feature_17,state_feature_18,state_feature_19,state_feature_20,state_feature_21,state_feature_22,state_feature_23,state_feature_24,state_feature_25,state_feature_26,state_feature_27,state_feature_28,state_feature_29,state_feature_30,state_feature_31,state_feature_32,state_feature_33,state_feature_34
trial_008_ep1_task100,8,100,0.9999,medium,13,False,13,1.1941258936812869,1.0711603369182807,0.9611824555130497,23,6,27,43.100730895996094,5ce2f3abaf7955fc9777a4b831cc7d3a43772d30af1ad7bb7a48ec92a7a4b404,1.0,0.7858735918998718,0.6118251085281372,0.3553605377674103,0.2618909776210785,0.12416132539510727,0.07396519929170609,0.0,0.0,0.10000000149011612,0.20000000298023224,0.4000000059604645,0.5,0.699999988079071,0.800000011920929,1.0,0.0,0.0,0.0,0.21122588217258453,0.0,0.0,0.0,0.02982454188168049,0.0833333358168602,0.5833333134651184,0.25,0.8333333134651184,0.0,0.5,1.0,0.3333333432674408,0.2780155837535858,0.20000000298023224,1.0
trial_008_ep1_task102,8,102,0.9,low,28,False,28,0.0,0.0,2.0376851021673748,5,19,27,43.10067367553711,2e4e3e979d9f1a4040f0af8e95559e1eb3cff668401a010ff3422ccb24360e36,1.0,0.7858735918998718,0.6118251085281372,0.3553605377674103,0.2618909776210785,0.12416132539510727,0.07396519929170609,0.0,0.0,0.10000000149011612,0.20000000298023224,0.4000000059604645,0.5,0.699999988079071,0.800000011920929,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833333358168602,0.5833333134651184,0.25,0.8333333134651184,0.0,0.5,1.0,0.3333333432674408,0.7182096242904663,0.5777778029441833,0.0
trial_008_ep1_task104,8,104,0.9999,medium,3,False,3,0.879575335267945,0.879575335267945,2.4528320038224622,27,26,27,43.10109329223633,989b55033e4ff4276f5d007db9a5bc03ab0809738193675c869627e55bbed3a7,1.0,0.7858735918998718,0.6118251085281372,0.3553605377674103,0.2618909776210785,0.12416132539510727,0.07396519929170609,0.0,0.0,0.10000000149011612,0.20000000298023224,0.4000000059604645,0.5,0.699999988079071,0.800000011920929,1.0,0.0,0.18025653064250946,0.0,0.0,0.0,0.0,0.0,0.0,0.0833333358168602,0.5833333134651184,0.25,0.8333333134651184,0.0,0.5,1.0,0.3333333432674408,0.9909214973449707,0.7111111283302307,1.0
trial_008_ep1_task105,8,105,0.9999,low,8,False,8,0.0,0.0,1.8834533028715463,23,27,27,43.10099411010742,aad3897204d6bf0b224bfeb121bacd065d81eb0df3b5650b7022d4184da70c98,1.0,0.7858735918998718,0.6118251085281372,0.3553605377674103,0.2618909776210785,0.12416132539510727,0.07396519929170609,0.0,0.0,0.10000000149011612,0.20000000298023224,0.4000000059604645,0.5,0.699999988079071,0.800000011920929,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833333358168602,0.5833333134651184,0.25,0.8333333134651184,0.0,0.5,1.0,0.3333333432674408,0.9448443651199341,0.4888888895511627,1.0
trial_008_ep1_task107,8,107,0.9,high,28,False,28,2.3876005690125592,2.3876005690125592,2.694410539289235,6,6,26,43.1007194519043,94d98666934b1897eb5ae9f94ea82f58eb1b599104e02a029067970416d93d1a,1.0,0.7858735918998718,0.6118251085281372,0.3553605377674103,0.2618909776210785,0.12416132539510727,0.07396519929170609,0.0,0.0,0.10000000149011612,0.20000000298023224,0.4000000059604645,0.5,0.699999988079071,0.800000011920929,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3737867772579193,0.0,0.0833333358168602,0.5833333134651184,0.25,0.8333333134651184,0.0,0.5,1.0,0.3333333432674408,0.25548774003982544,0.9555555582046509,0.0
trial_008_ep1_task110,8,110,0.9999,high,8,False,8,4.571202527016329,2.864503785542878,1.6088940828012226,6,26,26,43.10104751586914,f74c39b8be85ff7169f4294ba5f17abbc5bc7c1d7d369246136610ad1e00d90e,1.0,0.7858735918998718,0.6118251085281372,0.3553605377674103,0.2618909776210785,0.12416132539510727,0.07396519929170609,0.0,0.0,0.10000000149011612,0.20000000298023224,0.4000000059604645,0.5,0.699999988079071,0.800000011920929,1.0,0.0,0.2990693747997284,0.0,0.0,0.0,0.0,0.41729217767715454,0.0,0.0833333358168602,0.5833333134651184,0.25,0.8333333134651184,0.0,0.5,1.0,0.3333333432674408,0.6844548583030701,0.3777777850627899,1.0
trial_008_ep1_task111,8,111,0.999,high,13,False,13,5.833170504954541,2.681187723166273,3.5114421010182384,22,12,27,43.10121154785156,7dee20cfad8b572a4b19edd57b45df371f4a6aeb18ce85b653fdb97dbdb5c0da,1.0,0.7858735918998718,0.6118251085281372,0.3553605377674103,0.2618909776210785,0.12416132539510727,0.07396519929170609,0.0,0.0,0.10000000149011612,0.20000000298023224,0.4000000059604645,0.5,0.699999988079071,0.800000011920929,1.0,0.0,0.27580609917640686,0.0,0.0,0.0,0.0,0.40130406618118286,0.2893437147140503,0.0833333358168602,0.5833333134651184,0.25,0.8333333134651184,0.0,0.5,1.0,0.3333333432674408,0.9972864985466003,1.0,0.6666666865348816
trial_008_ep1_task114,8,114,0.9999,high,8,False,8,4.029209808822272,3.5694863434811452,1.6156729398894116,23,12,27,43.1010856628418,49099bcb5563758b4b22201eb475c4e90d114f522be8523a9d89852dad11cba6,1.0,0.7858735918998718,0.6118251085281372,0.3553605377674103,0.2618909776210785,0.12416132539510727,0.07396519929170609,0.0,0.0,0.10000000149011612,0.20000000298023224,0.4000000059604645,0.5,0.699999988079071,0.800000011920929,1.0,0.0,0.10308340191841125,0.0,0.0,0.0,0.0,0.0,0.47156256437301636,0.0833333358168602,0.5833333134651184,0.25,0.8333333134651184,0.0,0.5,1.0,0.3333333432674408,0.9781690835952759,0.3777777850627899,1.0
trial_008_ep1_task117,8,117,0.99,high,28,False,28,8.420383704481115,3.1524756282579616,2.554890162002551,5,23,27,43.10115432739258,7d2cca1e175b05de2d59f40c3249c8522a9e428fd89dda13b926e92c7f28831d,1.0,0.7858735918998718,0.6118251085281372,0.3553605377674103,0.2618909776210785,0.12416132539510727,0.07396519929170609,0.0,0.0,0.10000000149011612,0.20000000298023224,0.4000000059604645,0.5,0.699999988079071,0.800000011920929,1.0,0.0,0.4407530725002289,0.0,0.0,0.0,0.37511706352233887,0.0,0.4174793064594269,0.0833333358168602,0.5833333134651184,0.25,0.8333333134651184,0.0,0.5,1.0,0.3333333432674408,0.9607449769973755,0.7555555701255798,0.3333333432674408
trial_008_ep1_task119,8,119,0.9999,high,3,False,3,9.316248239601798,2.272556826337592,3.938515772618375,27,27,27,43.10120391845703,f750309606cce61606e48c8f9a552026b744fb95a130d3e3469a11e0ce775705,1.0,0.7858735918998718,0.6118251085281372,0.3553605377674103,0.2618909776210785,0.12416132539510727,0.07396519929170609,0.0,0.0,0.10000000149011612,0.20000000298023224,0.4000000059604645,0.5,0.699999988079071,0.800000011920929,1.0,0.0,0.3053533732891083,0.0,0.0,0.35237422585487366,0.32753029465675354,0.22491705417633057,0.3623014986515045,0.0833333358168602,0.5833333134651184,0.25,0.8333333134651184,0.0,0.5,1.0,0.3333333432674408,0.3367044925689697,1.0,1.0
