group_type,group_value,metric,count,mean,std,p50,p90
safe_set_size,6,current_task_attribution_ratio,1108,0.9999999999999795,5.891668683071495e-15,0.9999999999999802,0.9999999999999857
safe_set_size,6,signed_current_task_share,1108,0.9999999974390468,2.6410137718758933e-08,0.9999999943247329,1.0000000345342157
safe_set_size,6,current_task_absolute_share,1108,0.9999999999999795,5.891668683071495e-15,0.9999999999999802,0.9999999999999857
safe_set_size,6,previous_tasks_absolute_share,1108,0.0,0.0,0.0,0.0
safe_set_size,6,other_absolute_share,1108,0.0,0.0,0.0,0.0
safe_set_size,7,current_task_attribution_ratio,991,0.9999999999999802,5.849819361602089e-15,0.9999999999999809,0.9999999999999868
safe_set_size,7,signed_current_task_share,991,0.9999999983421121,2.6935173984783518e-08,0.9999999942802624,1.0000000377719005
safe_set_size,7,current_task_absolute_share,991,0.9999999999999802,5.849819361602089e-15,0.9999999999999809,0.9999999999999868
safe_set_size,7,previous_tasks_absolute_share,991,0.0,0.0,0.0,0.0
safe_set_size,7,other_absolute_share,991,0.0,0.0,0.0,0.0
safe_set_size,8,current_task_attribution_ratio,790,0.99999999999998,5.790942393594344e-15,0.9999999999999807,0.9999999999999867
safe_set_size,8,signed_current_task_share,790,0.9999999980805949,2.779994402886188e-08,0.9999999956313494,1.0000000377719005
safe_set_size,8,current_task_absolute_share,790,0.99999999999998,5.790942393594344e-15,0.9999999999999807,0.9999999999999867
safe_set_size,8,previous_tasks_absolute_share,790,0.0,0.0,0.0,0.0
safe_set_size,8,other_absolute_share,790,0.0,0.0,0.0,0.0
safe_set_size,9,current_task_attribution_ratio,791,0.9999999999999805,6.328798172375171e-15,0.9999999999999813,0.9999999999999871
safe_set_size,9,signed_current_task_share,791,0.9999999974909104,2.700689138038125e-08,0.9999999945350403,1.000000035520103
safe_set_size,9,current_task_absolute_share,791,0.9999999999999805,6.328798172375171e-15,0.9999999999999813,0.9999999999999871
safe_set_size,9,previous_tasks_absolute_share,791,0.0,0.0,0.0,0.0
safe_set_size,9,other_absolute_share,791,0.0,0.0,0.0,0.0
safe_set_size,10,current_task_attribution_ratio,916,0.9999999999999807,6.2192484722499336e-15,0.9999999999999818,0.9999999999999872
safe_set_size,10,signed_current_task_share,916,0.9999999973439585,2.730983880882151e-08,0.9999999920915346,1.0000000352694705
safe_set_size,10,current_task_absolute_share,916,0.9999999999999807,6.2192484722499336e-15,0.9999999999999818,0.9999999999999872
safe_set_size,10,previous_tasks_absolute_share,916,0.0,0.0,0.0,0.0
safe_set_size,10,other_absolute_share,916,0.0,0.0,0.0,0.0
safe_set_size,11,current_task_attribution_ratio,779,0.999999999999981,6.258319092871707e-15,0.999999999999982,0.9999999999999872
safe_set_size,11,signed_current_task_share,779,0.999999997118567,2.706842115099261e-08,0.9999999923143399,1.0000000377719005
safe_set_size,11,current_task_absolute_share,779,0.999999999999981,6.258319092871707e-15,0.999999999999982,0.9999999999999872
safe_set_size,11,previous_tasks_absolute_share,779,0.0,0.0,0.0,0.0
safe_set_size,11,other_absolute_share,779,0.0,0.0,0.0,0.0
safe_set_size,12,current_task_attribution_ratio,747,0.9999999999999815,6.003623213989875e-15,0.9999999999999825,0.9999999999999876
safe_set_size,12,signed_current_task_share,747,0.9999999999109517,2.7730760414779145e-08,0.9999999969364802,1.0000000377719005
safe_set_size,12,current_task_absolute_share,747,0.9999999999999815,6.003623213989875e-15,0.9999999999999825,0.9999999999999876
safe_set_size,12,previous_tasks_absolute_share,747,0.0,0.0,0.0,0.0
safe_set_size,12,other_absolute_share,747,0.0,0.0,0.0,0.0
safe_set_size,13,current_task_attribution_ratio,685,0.9999999999999808,6.65857687488397e-15,0.9999999999999819,0.9999999999999882
safe_set_size,13,signed_current_task_share,685,0.999999999814237,2.6970346900122637e-08,0.9999999964176585,1.0000000378422647
safe_set_size,13,current_task_absolute_share,685,0.9999999999999808,6.65857687488397e-15,0.9999999999999819,0.9999999999999882
safe_set_size,13,previous_tasks_absolute_share,685,0.0,0.0,0.0,0.0
safe_set_size,13,other_absolute_share,685,0.0,0.0,0.0,0.0
safe_set_size,14,current_task_attribution_ratio,704,0.9999999999999811,6.693957818219525e-15,0.9999999999999826,0.9999999999999885
safe_set_size,14,signed_current_task_share,704,0.9999999977284543,2.6953453444198112e-08,0.9999999952377647,1.000000035048894
safe_set_size,14,current_task_absolute_share,704,0.9999999999999811,6.693957818219525e-15,0.9999999999999826,0.9999999999999885
safe_set_size,14,previous_tasks_absolute_share,704,0.0,0.0,0.0,0.0
safe_set_size,14,other_absolute_share,704,0.0,0.0,0.0,0.0
safe_set_size,15,current_task_attribution_ratio,712,0.9999999999999813,6.124431989376877e-15,0.999999999999982,0.9999999999999885
safe_set_size,15,signed_current_task_share,712,0.9999999979675449,2.6857111909646737e-08,0.9999999961183142,1.0000000356315812
safe_set_size,15,current_task_absolute_share,712,0.9999999999999813,6.124431989376877e-15,0.999999999999982,0.9999999999999885
safe_set_size,15,previous_tasks_absolute_share,712,0.0,0.0,0.0,0.0
safe_set_size,15,other_absolute_share,712,0.0,0.0,0.0,0.0
safe_set_size,16,current_task_attribution_ratio,809,0.9999999999999806,6.748716052895696e-15,0.9999999999999813,0.9999999999999883
safe_set_size,16,signed_current_task_share,809,0.9999999971150692,2.6828737297630477e-08,0.9999999956313494,1.0000000346098006
safe_set_size,16,current_task_absolute_share,809,0.9999999999999806,6.748716052895696e-15,0.9999999999999813,0.9999999999999883
safe_set_size,16,previous_tasks_absolute_share,809,0.0,0.0,0.0,0.0
safe_set_size,16,other_absolute_share,809,0.0,0.0,0.0,0.0
safe_set_size,17,current_task_attribution_ratio,791,0.999999999999981,6.794869881960524e-15,0.9999999999999818,0.9999999999999885
safe_set_size,17,signed_current_task_share,791,0.9999999975868705,2.683182125954809e-08,0.9999999958707705,1.0000000341420503
safe_set_size,17,current_task_absolute_share,791,0.999999999999981,6.794869881960524e-15,0.9999999999999818,0.9999999999999885
safe_set_size,17,previous_tasks_absolute_share,791,0.0,0.0,0.0,0.0
safe_set_size,17,other_absolute_share,791,0.0,0.0,0.0,0.0
safe_set_size,18,current_task_attribution_ratio,881,0.9999999999999809,6.185785089356986e-15,0.9999999999999813,0.9999999999999882
safe_set_size,18,signed_current_task_share,881,0.999999999415395,2.6549440003914195e-08,0.9999999974404242,1.0000000372097515
safe_set_size,18,current_task_absolute_share,881,0.9999999999999809,6.185785089356986e-15,0.9999999999999813,0.9999999999999882
safe_set_size,18,previous_tasks_absolute_share,881,0.0,0.0,0.0,0.0
safe_set_size,18,other_absolute_share,881,0.0,0.0,0.0,0.0
safe_set_size,19,current_task_attribution_ratio,887,0.999999999999981,6.511311255748063e-15,0.9999999999999817,0.9999999999999887
safe_set_size,19,signed_current_task_share,887,0.9999999989555648,2.5611370982445695e-08,0.9999999972705343,1.0000000351178406
safe_set_size,19,current_task_absolute_share,887,0.999999999999981,6.511311255748063e-15,0.9999999999999817,0.9999999999999887
safe_set_size,19,previous_tasks_absolute_share,887,0.0,0.0,0.0,0.0
safe_set_size,19,other_absolute_share,887,0.0,0.0,0.0,0.0
safe_set_size,20,current_task_attribution_ratio,819,0.9999999999999808,6.9341414979351905e-15,0.9999999999999817,0.9999999999999887
