flat_index,transition_id,episode,task_id,target_snapshot_sha256,snapshot_hash_match,next_state_matches_next_row,next_mask_matches_collection,pi_old_matches_collection,terminal,terminal_no_bootstrap,delta_t,discount_term_online,discount_term_gamma_power_delta,next_q_expectation_recomputed,next_q_expectation_online,bellman_target_recomputed,bellman_target_online,absolute_error,q_values_finite,effective_mask_size
58221,ep292:d022,292,22,c9845660c4592152b49b4b58ad7ec7dca259254a87602839826a58a3542a918f,True,True,True,True,False,True,2.4397952556610107,0.7733232378959656,0.7733232930215498,35.673135422010226,35.673133850097656,63.1495324371299,63.14952850341797,3.933711930415029e-06,True,28
53867,ep270:d068,270,68,dbfdc0c9570f7d31815b8f95a1f35555d09e6b76427de33aa04ed3110db912f3,True,True,True,True,False,True,0.45255616307258606,0.953437328338623,0.9534373601933634,32.762783200532894,32.762779235839844,108.67994847193485,108.67994689941406,1.5725207873629188e-06,True,28
52995,ep265:d196,265,196,1fdc97e4c85f5be87f3ee989d0e503c2b3d4c6bdb39dd9596469c501d65be2a5,True,True,True,True,False,True,0.38937121629714966,0.9598057270050049,0.9598057563473211,32.10267488076755,32.1026725769043,72.24692058872674,72.24691772460938,2.8641173628329852e-06,True,19
40912,ep205:d113,205,113,10016ca22e84f89f12efa63527a96de0d02a7b6c93c7d8f8d437d5c6ca19ab65,True,True,True,True,False,True,3.5228800773620605,0.6899248957633972,0.6899249457713844,24.187279443528613,24.187273025512695,54.45771188242156,54.45771026611328,1.616308281882084e-06,True,13
41748,ep209:d149,209,149,3c1ec5fcf19dbd802d7e6b2467b62d4499bd69968453572c08b027eea62fffd7,True,True,True,True,False,True,4.224276542663574,0.640778124332428,0.640778167298153,24.69034389562342,24.69034194946289,47.89731475178089,47.89731216430664,2.5874742490827884e-06,True,28
40410,ep203:d011,203,11,a28bf13c8b8beb4f90385891a77567902f3938db1df341dd379568ee38e4779a,True,True,True,True,False,True,1.724716067314148,0.8338372707366943,0.8338373044794013,23.92323022895094,23.923229217529297,71.17664621737849,71.17664337158203,2.8457964589279072e-06,True,27
50766,ep254:d167,254,167,71b15d690501c4e757b5f0944c493639ad6be9b6f40344be87e483bcf0eb5b02,True,True,True,True,False,True,2.8085203170776367,0.7438564300537109,0.7438564927499162,30.648061350147415,30.64806365966797,65.05600106477878,65.05599975585938,1.3089194084159317e-06,True,28
44739,ep224:d140,224,140,543ed0ca58667bd9212768e7811e7b36abf499c9904de80a4bfcf12dbfc34139,True,True,True,True,False,True,0.4178837239742279,0.956926703453064,0.9569267376465498,26.68460611492445,26.68460464477539,89.67482245302547,89.67481994628906,2.506736407781318e-06,True,27
44982,ep225:d183,225,183,d1aca26fd4accfa8794b53a55608a17c5fafcb7bf7747fee0a055873859858e5,True,True,True,True,False,True,0.14885735511779785,0.9844386577606201,0.9844386608744989,26.816021771747376,26.816024780273438,96.37097274215387,96.3709716796875,1.0624663673297619e-06,True,7
59356,ep297:d157,297,157,ca8b7e44e037040993775626f2e80da97d8ae0b8feae39532cf67f2bf8c92adb,True,True,True,True,False,True,0.22266435623168945,0.976813018321991,0.9768130157459379,36.33814284955791,36.33814239501953,86.78691850075444,86.78691864013672,1.3938227994003682e-07,True,25
50235,ep252:d036,252,36,41b1bc36e5d4afc2ceadad30900377e156ab371bcbe1d63eefac94a5df902fc1,True,True,True,True,False,True,4.081869125366211,0.6504648923873901,0.6504649683524888,30.38049810984213,30.38050079345703,81.34619093344963,81.34619140625,4.7280036596930586e-07,True,28
57871,ep290:d072,290,72,13dd8249dd324093b4d873770a4aa07d3e224b13df76f3b0720d810da316feec,True,True,True,True,False,True,5.758176803588867,0.5451552867889404,0.5451553509759003,35.40970208164957,35.40970230102539,94.64193631784667,94.64193725585938,9.380127039548825e-07,True,5
50523,ep253:d124,253,124,06280b104502e5d04c4b69ab5327353f805e2479a19bb8f6e56b49a63078c2d6,True,True,True,True,False,True,0.6030097603797913,0.9384427666664124,0.9384427566762927,30.51666265336903,30.516666412353516,87.66730087575165,87.66730499267578,4.1169241313809835e-06,True,26
57763,ep289:d164,289,164,6c06e5c6e2e101cd803fd24c7d9dd58f21018aa97998afb9cb8ad541609294d5,True,True,True,True,False,True,0.5577173829078674,0.9429317116737366,0.9429317342634742,35.27943356570322,35.27943420410156,75.00685748221107,75.0068588256836,1.343472519010902e-06,True,24
40757,ep204:d158,204,158,af4ee467244bf898f468958727e7647e01283b70b95ab76452a8b6bc1e3169cf,True,True,True,True,False,True,8.264891624450684,0.4186192452907562,0.41861935046751975,24.052424684299133,24.052427291870117,102.37644794443766,102.37644958496094,1.6405232798888392e-06,True,11
57998,ep290:d199,290,199,13dd8249dd324093b4d873770a4aa07d3e224b13df76f3b0720d810da316feec,True,True,True,True,False,True,1.1264029741287231,0.8880933523178101,0.8880933672720916,35.41188430786133,35.41188430786133,77.38111547386097,77.38111877441406,3.3005530895025004e-06,True,1
42236,ep212:d037,212,37,3ab652bdc0f2e4d75bcdcf3dceffc0aace023921085f8014753734077fd82078,True,True,True,True,False,True,1.92724609375,0.8162328004837036,0.8162328231418161,25.101726576359415,25.101728439331055,135.33486851057384,135.33486938476562,8.741917838506197e-07,True,28
46476,ep233:d077,233,77,5037292780f03b7ec4d11d11e3a03938d40552ae817008819ab891136c97a213,True,True,True,True,False,True,4.253079891204834,0.6388364434242249,0.6388365226262293,27.866607948163722,27.866605758666992,67.08390866087676,67.08390808105469,5.79822071244962e-07,True,28
49252,ep247:d053,247,53,352555e63287a5cc21c6ff515d8a37549744253d83188470a72a445822e257d1,True,True,True,True,False,True,0.323286235332489,0.9665119647979736,0.9665119613562786,29.721499510924314,29.72150230407715,129.9786797010572,129.9786834716797,3.770622498677767e-06,True,28
51755,ep259:d156,259,156,c1c1018853b3cf5efcde75ed3f312862f2c1395aa355291f89c7c9243211afdf,True,True,True,True,False,True,0.1300029456615448,0.9863961935043335,0.9863962021109123,31.30942885753673,31.309431076049805,72.92370835504865,72.9237060546875,2.3003611460126194e-06,True,28
52834,ep265:d035,265,35,1fdc97e4c85f5be87f3ee989d0e503c2b3d4c6bdb39dd9596469c501d65be2a5,True,True,True,True,False,True,4.185530185699463,0.6433992981910706,0.6433993858817606,32.098822559076716,32.098819732666016,72.96450514042397,72.96450805664062,2.9162166583773796e-06,True,28
58194,ep291:d195,291,195,b3a0f1ae623ebe3f46aa3152ac3e6e49a2471f415b45bd04a3cab58ba422f516,True,True,True,True,False,True,2.5258569717407227,0.76634281873703,0.7663428741404547,35.54412546484067,35.544124603271484,87.84100937663779,87.84101104736328,1.6707254957282203e-06,True,13
41951,ep210:d152,210,152,979a48809e6f7ca355284769ecaf90710cddbf239b3b10ea37e112ece49dc3ae,True,True,True,True,False,True,0.5678244233131409,0.9419281482696533,0.9419281567411393,24.84161371004798,24.84161376953125,57.28463913382029,57.284637451171875,1.6826484170451295e-06,True,23
44639,ep224:d040,224,40,543ed0ca58667bd9212768e7811e7b36abf499c9904de80a4bfcf12dbfc34139,True,True,True,True,False,True,2.655885934829712,0.7559155821800232,0.7559156284409093,26.680566269161286,26.68056297302246,64.41388032648207,64.41387939453125,9.319508222915829e-07,True,27
59837,ep300:d038,300,38,941c7cca08778dab893991d10d5ee8b48fe1218e451a94a7b883a311a3d327b1,True,True,True,True,False,True,0.8861152529716492,0.9108641147613525,0.9108641087385068,36.73503724720846,36.73503875732422,109.84090672391947,109.84091186523438,5.141314900924954e-06,True,4
58864,ep295:d065,295,65,ae93db21186cadc091853c7b581ec030566c07f8bb350fd3a0a60f00fc8cba50,True,True,True,True,False,True,3.050915241241455,0.7250997424125671,0.7250997821503136,36.0645583032581,36.06455612182617,70.01821123156975,70.0182113647461,1.3317634284248925e-07,True,28
58227,ep292:d028,292,28,c9845660c4592152b49b4b58ad7ec7dca259254a87602839826a58a3542a918f,True,True,True,True,False,True,1.243439793586731,0.8772094249725342,0.8772094778433789,35.67535157845681,35.675357818603516,96.8497396902178,96.84974670410156,7.013883760009776e-06,True,28
46442,ep233:d043,233,43,5037292780f03b7ec4d11d11e3a03938d40552ae817008819ab891136c97a213,True,True,True,True,False,True,2.130206823348999,0.798963725566864,0.7989637612579745,27.872834337210907,27.872831344604492,111.02171052949807,111.0217056274414,4.902056659261689e-06,True,26
56149,ep281:d150,281,150,46ad435de3cf369f9935192ef0e533207a4d9604a7901d085004d78952d514c6,True,True,True,True,False,True,0.04547769948840141,0.995219886302948,0.9952199073122807,34.21838781662191,34.218387603759766,119.58235451719193,119.58235168457031,2.8326216181540076e-06,True,28
55166,ep276:d167,276,167,b4a9d767d2f8132e6f8420e78b783224e3fe278bfe417fd8b11f54fbd67e1545,True,True,True,True,False,True,3.6601169109344482,0.680020809173584,0.6800208598013836,33.55798287903016,33.5579833984375,65.07837023242239,65.078369140625,1.0917973867208275e-06,True,28
41357,ep207:d158,207,158,d5e8958f20015f2476f2661072291439d396eb0819fdd8b2551c04e3c1f930ee,True,True,True,True,False,True,7.081672668457031,0.47419869899749756,0.4741987771736265,24.445826238699453,24.44582748413086,92.2402579167672,92.2402572631836,6.53583612120201e-07,True,11
41159,ep206:d160,206,160,d3c9096c8bfe6bb75822c68ce8633477d849a4eb641cb28113ec273802e26dc3,True,True,True,True,False,True,0.5918740630149841,0.9395444393157959,0.9395444428254968,24.31724694436621,24.317249298095703,68.82384541924166,68.82384490966797,5.095736952398511e-07,True,24
57472,ep288:d073,288,73,ecb4c2726aa669fd3da261c723ca3d407715dae2389d96a3d48cda6ea33edab7,True,True,True,True,False,True,1.9216492176055908,0.8167142271995544,0.8167142892205183,35.14385390935316,35.143856048583984,94.61077253473125,94.61077880859375,6.273862496186666e-06,True,28
54920,ep275:d121,275,121,58d6e0544e480357b9539addf3a82bf425cd31a6ed9de5f75554bc0450093772,True,True,True,True,False,True,2.4865994453430176,0.7695191502571106,0.7695191807247902,33.42350270312724,33.423500061035156,82.92468772172475,82.9246826171875,5.104537251554575e-06,True,25
