state_id,trial_id,task_id,action_index,pair,next_task_id,interval_duration_seconds,next_effective_mask_size,next_q_expectation,next_action_q_spread,next_action_q_weighted_std,discount_term,bootstrap_term
trial_000_ep1_task014,0,14,1,"(1, 3)",15,1.2651924136559425,24,36.86355365651325,0.0149002075195312,0.0034009457934452,0.8752013322350578,32.26303127109894
trial_000_ep1_task014,0,14,2,"(1, 4)",15,1.2651924136559425,24,36.86357828248275,0.0170936584472656,0.0036844171822865,0.8752013322350578,32.26305282378024
trial_000_ep1_task014,0,14,3,"(1, 5)",15,1.2651924136559425,24,36.86349442170612,0.0170936584472656,0.0035540497120027,0.8752013322350578,32.26297942871681
trial_000_ep1_task014,0,14,4,"(1, 6)",15,1.2651924136559425,24,36.86370515659447,0.0170936584472656,0.0035499475881712,0.8752013322350578,32.26316386417185
trial_000_ep1_task014,0,14,5,"(1, 7)",15,1.2651924136559425,24,36.86358318131489,0.0171546936035156,0.00372812188248,0.8752013322350578,32.263057111244656
trial_000_ep1_task014,0,14,6,"(1, 8)",15,1.2651924136559425,24,36.86350331155354,0.0170936584472656,0.0035183267851736,0.8752013322350578,32.262987209123125
trial_000_ep1_task014,0,14,7,"(2, 3)",15,1.2651924136559425,24,36.863532703456286,0.0155792236328125,0.0034298534627887,0.8752013322350578,32.26301293295556
trial_000_ep1_task014,0,14,8,"(2, 4)",15,1.2651924136559425,24,36.86361690587621,0.016143798828125,0.0035505290339215,0.8752013322350578,32.263086627025665
trial_000_ep1_task014,0,14,9,"(2, 5)",15,1.2651924136559425,24,36.86352872566512,0.0153160095214843,0.0034179279763963,0.8752013322350578,32.26300945158744
trial_000_ep1_task014,0,14,10,"(2, 6)",15,1.2651924136559425,24,36.86374064569524,0.016143798828125,0.0034096725521118,0.8752013322350578,32.26319492428012
trial_000_ep1_task014,0,14,11,"(2, 7)",15,1.2651924136559425,24,36.86361803011978,0.0161933898925781,0.003596178151179,0.8752013322350578,32.26308761096513
trial_000_ep1_task014,0,14,12,"(2, 8)",15,1.2651924136559425,24,36.86353569289352,0.016143798828125,0.0033776720226253,0.8752013322350578,32.263015549315014
trial_000_ep1_task014,0,14,13,"(3, 4)",15,1.2651924136559425,24,36.86367711445444,0.01495361328125,0.0034194125994868,0.8752013322350578,32.26313932165354
trial_000_ep1_task014,0,14,14,"(3, 5)",15,1.2651924136559425,24,36.86356016809732,0.01495361328125,0.0033702078572105,0.8752013322350578,32.26303697004598
trial_000_ep1_task014,0,14,15,"(3, 6)",15,1.2651924136559425,24,36.86380147411545,0.01495361328125,0.0032707382132738,0.8752013322350578,32.26324816139453
trial_000_ep1_task014,0,14,16,"(3, 7)",15,1.2651924136559425,24,36.86367835337229,0.0150032043457031,0.0034685533470002,0.8752013322350578,32.263140405956094
trial_000_ep1_task014,0,14,17,"(3, 8)",15,1.2651924136559425,24,36.86356730102281,0.01495361328125,0.0032654734456473,0.8752013322350578,32.26304321279188
trial_000_ep1_task014,0,14,18,"(4, 5)",15,1.2651924136559425,24,36.86361589371271,0.0171470642089843,0.0035747734276805,0.8752013322350578,32.26308574117882
trial_000_ep1_task014,0,14,19,"(4, 6)",15,1.2651924136559425,24,36.863805495045945,0.0171470642089843,0.0035613560711257,0.8752013322350578,32.26325168051826
trial_000_ep1_task014,0,14,20,"(4, 7)",15,1.2651924136559425,24,36.86371234379593,0.0171966552734375,0.0037493207360542,0.8752013322350578,32.263170154420145
trial_000_ep1_task014,0,14,21,"(4, 8)",15,1.2651924136559425,24,36.86363698716372,0.0171470642089843,0.0035521477110045,0.8752013322350578,32.263104202195244
trial_000_ep1_task014,0,14,22,"(5, 6)",15,1.2651924136559425,24,36.86374164917038,0.0171470642089843,0.0034311647607393,0.8752013322350578,32.2631958025229
trial_000_ep1_task014,0,14,23,"(5, 7)",15,1.2651924136559425,24,36.863618284123305,0.0171966552734375,0.0036224173719439,0.8752013322350578,32.26308783326935
trial_000_ep1_task014,0,14,24,"(5, 8)",15,1.2651924136559425,24,36.86349977676563,0.0171470642089843,0.0034974198929932,0.8752013322350578,32.26298411547204
trial_000_ep1_task014,0,14,25,"(6, 7)",15,1.2651924136559425,24,36.86383217373534,0.0171966552734375,0.003600626559771,0.8752013322350578,32.26327502974276
trial_000_ep1_task014,0,14,26,"(6, 8)",15,1.2651924136559425,24,36.86377966225678,0.0171470642089843,0.0033545564106176,0.8752013322350578,32.26322907162677
trial_000_ep1_task014,0,14,27,"(7, 8)",15,1.2651924136559425,24,36.86364301061452,0.0171966552734375,0.0035957785422888,0.8752013322350578,32.2631094739274
trial_000_ep1_task015,0,15,2,"(1, 4)",16,9.22095304075119,28,36.859761889532,0.0214309692382812,0.0053026840364205,0.3785056165556649,13.951626900092313
trial_000_ep1_task015,0,15,4,"(1, 6)",16,9.22095304075119,28,36.859761889532,0.0214309692382812,0.0053026840364205,0.3785056165556649,13.951626900092313
trial_000_ep1_task015,0,15,5,"(1, 7)",16,9.22095304075119,28,36.859761889532,0.0214309692382812,0.0053026840364205,0.3785056165556649,13.951626900092313
trial_000_ep1_task015,0,15,6,"(1, 8)",16,9.22095304075119,28,36.859761889532,0.0214309692382812,0.0053026840364205,0.3785056165556649,13.951626900092313
trial_000_ep1_task015,0,15,7,"(2, 3)",16,9.22095304075119,28,36.859761889532,0.0214309692382812,0.0053026840364205,0.3785056165556649,13.951626900092313
trial_000_ep1_task015,0,15,8,"(2, 4)",16,9.22095304075119,28,36.859761889532,0.0214309692382812,0.0053026840364205,0.3785056165556649,13.951626900092313
trial_000_ep1_task015,0,15,10,"(2, 6)",16,9.22095304075119,28,36.859761889532,0.0214309692382812,0.0053026840364205,0.3785056165556649,13.951626900092313
trial_000_ep1_task015,0,15,11,"(2, 7)",16,9.22095304075119,28,36.859761889532,0.0214309692382812,0.0053026840364205,0.3785056165556649,13.951626900092313
trial_000_ep1_task015,0,15,12,"(2, 8)",16,9.22095304075119,28,36.859761889532,0.0214309692382812,0.0053026840364205,0.3785056165556649,13.951626900092313
trial_000_ep1_task015,0,15,13,"(3, 4)",16,9.22095304075119,28,36.859761889532,0.0214309692382812,0.0053026840364205,0.3785056165556649,13.951626900092313
trial_000_ep1_task015,0,15,14,"(3, 5)",16,9.22095304075119,28,36.859761889532,0.0214309692382812,0.0053026840364205,0.3785056165556649,13.951626900092313
trial_000_ep1_task015,0,15,15,"(3, 6)",16,9.22095304075119,28,36.859761889532,0.0214309692382812,0.0053026840364205,0.3785056165556649,13.951626900092313
trial_000_ep1_task015,0,15,16,"(3, 7)",16,9.22095304075119,28,36.859761889532,0.0214309692382812,0.0053026840364205,0.3785056165556649,13.951626900092313
trial_000_ep1_task015,0,15,17,"(3, 8)",16,9.22095304075119,28,36.859761889532,0.0214309692382812,0.0053026840364205,0.3785056165556649,13.951626900092313
trial_000_ep1_task015,0,15,18,"(4, 5)",16,9.22095304075119,28,36.859761889532,0.0214309692382812,0.0053026840364205,0.3785056165556649,13.951626900092313
trial_000_ep1_task015,0,15,19,"(4, 6)",16,9.22095304075119,28,36.859761889532,0.0214309692382812,0.0053026840364205,0.3785056165556649,13.951626900092313
trial_000_ep1_task015,0,15,20,"(4, 7)",16,9.22095304075119,28,36.859761889532,0.0214309692382812,0.0053026840364205,0.3785056165556649,13.951626900092313
trial_000_ep1_task015,0,15,21,"(4, 8)",16,9.22095304075119,28,36.859761889532,0.0214309692382812,0.0053026840364205,0.3785056165556649,13.951626900092313
trial_000_ep1_task015,0,15,22,"(5, 6)",16,9.22095304075119,28,36.859761889532,0.0214309692382812,0.0053026840364205,0.3785056165556649,13.951626900092313
trial_000_ep1_task015,0,15,23,"(5, 7)",16,9.22095304075119,28,36.859761889532,0.0214309692382812,0.0053026840364205,0.3785056165556649,13.951626900092313
trial_000_ep1_task015,0,15,24,"(5, 8)",16,9.22095304075119,28,36.859761889532,0.0214309692382812,0.0053026840364205,0.3785056165556649,13.951626900092313
trial_000_ep1_task015,0,15,25,"(6, 7)",16,9.22095304075119,28,36.859761889532,0.0214309692382812,0.0053026840364205,0.3785056165556649,13.951626900092313
trial_000_ep1_task015,0,15,26,"(6, 8)",16,9.22095304075119,28,36.859761889532,0.0214309692382812,0.0053026840364205,0.3785056165556649,13.951626900092313
trial_000_ep1_task015,0,15,27,"(7, 8)",16,9.22095304075119,28,36.859761889532,0.0214309692382812,0.0053026840364205,0.3785056165556649,13.951626900092313
trial_000_ep1_task016,0,16,0,"(1, 2)",17,1.6874356791965577,26,36.86567541229325,0.006866455078125,0.0016800847619071,0.8371189588693543,30.86095581915448
trial_000_ep1_task016,0,16,1,"(1, 3)",17,1.6874356791965577,26,36.86567541229325,0.006866455078125,0.0016800847619071,0.8371189588693543,30.86095581915448
trial_000_ep1_task016,0,16,2,"(1, 4)",17,1.6874356791965577,26,36.86567541229325,0.006866455078125,0.0016800847619071,0.8371189588693543,30.86095581915448
trial_000_ep1_task016,0,16,3,"(1, 5)",17,1.6874356791965577,26,36.86567541229325,0.006866455078125,0.0016800847619071,0.8371189588693543,30.86095581915448
trial_000_ep1_task016,0,16,4,"(1, 6)",17,1.6874356791965577,26,36.86567541229325,0.006866455078125,0.0016800847619071,0.8371189588693543,30.86095581915448
