state_id,trial_id,task_id,requirement,load_tertile,safe_set_size,choice,action_index,horizon,effective_horizon,delta_total_queue_length,delta_maximum_server_queue_length,delta_total_backlog_seconds,delta_maximum_server_backlog_seconds,delta_mean_waiting_time_seconds,delta_mean_future_task_latency_seconds,delta_mean_future_task_reward,delta_mean_server_utilization
trial_003_ep1_task003,3,3,0.9999,high,23,PPO sampled,16,5,5,0.0,0.0,0.0,0.0,0.2162216539717954,0.16102173045287738,-8.5258660619334,-0.0007597457613116032
trial_003_ep1_task003,3,3,0.9999,high,23,PPO sampled,16,10,10,0.0,0.0,0.0,0.0,0.1251809575626184,0.08051086522643858,-4.2629330309667,-0.00048028101241537335
trial_003_ep1_task003,3,3,0.9999,high,23,PPO sampled,16,20,20,0.0,0.0,0.0,0.0,0.05946095484224376,0.0402554326132194,-2.1314665154833534,-0.0002459905113239014
trial_003_ep1_task003,3,3,0.9999,high,23,PPO sampled,16,50,50,0.0,0.0,0.0,0.0,0.024024628219088406,0.016102173045287937,-0.8525866061933414,-8.849518664028055e-05
trial_003_ep1_task005,3,5,0.999,medium,28,Safe Min-Latency,5,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trial_003_ep1_task005,3,5,0.999,medium,28,Safe Min-Latency,5,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trial_003_ep1_task005,3,5,0.999,medium,28,Safe Min-Latency,5,10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trial_003_ep1_task005,3,5,0.999,medium,28,Safe Min-Latency,5,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trial_003_ep1_task005,3,5,0.999,medium,28,Safe Min-Latency,5,50,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trial_003_ep1_task005,3,5,0.999,medium,28,Next-best immediate,11,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004433855028543626
trial_003_ep1_task005,3,5,0.999,medium,28,Next-best immediate,11,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008739895416508547
trial_003_ep1_task005,3,5,0.999,medium,28,Next-best immediate,11,10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003818037542284991
trial_003_ep1_task005,3,5,0.999,medium,28,Next-best immediate,11,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00018923957210054132
trial_003_ep1_task005,3,5,0.999,medium,28,Next-best immediate,11,50,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.544515673712059e-05
trial_003_ep1_task005,3,5,0.999,medium,28,PPO high probability,27,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024386202656989903
trial_003_ep1_task005,3,5,0.999,medium,28,PPO high probability,27,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0048069424790794235
trial_003_ep1_task005,3,5,0.999,medium,28,PPO high probability,27,10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0020999206482567867
trial_003_ep1_task005,3,5,0.999,medium,28,PPO high probability,27,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001040817646553005
trial_003_ep1_task005,3,5,0.999,medium,28,PPO high probability,27,50,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00035994836205430203
trial_003_ep1_task005,3,5,0.999,medium,28,PPO sampled,17,1,1,0.0,0.0,0.0,0.0,-0.06139736178729649,0.0141241369511107,-1.2457362002044903,-0.0108383122919955
trial_003_ep1_task005,3,5,0.999,medium,28,PPO sampled,17,5,5,0.0,0.0,0.0,0.0,-0.012279472357459298,0.002824827390222051,-0.24914724004089805,-0.0021364188795908734
trial_003_ep1_task005,3,5,0.999,medium,28,PPO sampled,17,10,10,0.0,0.0,0.0,0.0,-0.006139736178729649,0.0014124136951112476,-0.12457362002045613,-0.0009332980658919021
trial_003_ep1_task005,3,5,0.999,medium,28,PPO sampled,17,20,20,0.0,0.0,0.0,0.0,-0.0031485826557587915,0.0007062068475554018,-0.06228681001022096,-0.0004625856206902368
trial_003_ep1_task005,3,5,0.999,medium,28,PPO sampled,17,50,50,0.0,0.0,0.0,0.0,-0.0012279472357459298,0.0002824827390222051,-0.024914724004077016,-0.00015997704980189043
trial_003_ep1_task006,3,6,0.99,low,28,Safe Min-Latency,6,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trial_003_ep1_task006,3,6,0.99,low,28,Safe Min-Latency,6,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trial_003_ep1_task006,3,6,0.99,low,28,Safe Min-Latency,6,10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trial_003_ep1_task006,3,6,0.99,low,28,Safe Min-Latency,6,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trial_003_ep1_task006,3,6,0.99,low,28,Safe Min-Latency,6,50,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trial_003_ep1_task006,3,6,0.99,low,28,Next-best immediate,12,1,1,0.0,0.0,-0.5538879751665924,-0.5538879751665924,0.0,0.0,0.0,0.02513604515572518
trial_003_ep1_task006,3,6,0.99,low,28,Next-best immediate,12,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005710529196470304
trial_003_ep1_task006,3,6,0.99,low,28,Next-best immediate,12,10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0024228193416225563
trial_003_ep1_task006,3,6,0.99,low,28,Next-best immediate,12,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013725033525848473
trial_003_ep1_task006,3,6,0.99,low,28,Next-best immediate,12,50,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004619055904927505
trial_003_ep1_task006,3,6,0.99,low,28,PPO high probability,27,1,1,0.0,0.0,-2.135207076965176,-2.1352070769651763,0.0,0.0,0.0,0.034562062089122186
trial_003_ep1_task006,3,6,0.99,low,28,PPO high probability,27,5,5,0.0,0.0,0.0,0.0,0.15366096325005163,0.10341595566516792,-2.0488456751491952,-0.027918142738299262
trial_003_ep1_task006,3,6,0.99,low,28,PPO high probability,27,10,10,0.0,0.0,0.0,0.0,0.07683048162502581,0.05170797783258396,-1.0244228375746047,-0.011844894559043612
trial_003_ep1_task006,3,6,0.99,low,28,PPO high probability,27,20,20,0.0,0.0,0.0,0.0,0.03841524081251291,0.025853988916292092,-0.5122114187873024,-0.006710016390414852
trial_003_ep1_task006,3,6,0.99,low,28,PPO high probability,27,50,50,0.0,0.0,0.0,0.0,0.01536609632500513,0.010341595566516704,-0.2048845675149238,-0.0022582051090757616
trial_003_ep1_task006,3,6,0.99,low,28,PPO sampled,19,1,1,0.0,0.0,-1.0965383274706841,-1.4322950338933063,0.0,0.3357567064226217,-5.115689816503469,0.038152925682797406
trial_003_ep1_task006,3,6,0.99,low,28,PPO sampled,19,5,5,0.0,0.0,0.0,0.0,0.32821630802200374,0.16159724788370444,-2.845948045658176,-0.012404805019223308
trial_003_ep1_task006,3,6,0.99,low,28,PPO sampled,19,10,10,0.0,0.0,0.0,0.0,0.16410815401100187,0.08079862394185211,-1.422974022829095,-0.005263015124448989
trial_003_ep1_task006,3,6,0.99,low,28,PPO sampled,19,20,20,0.0,0.0,0.0,0.0,0.08205407700550094,0.04039931197092628,-0.7114870114145333,-0.0029814463583460737
trial_003_ep1_task006,3,6,0.99,low,28,PPO sampled,19,50,50,0.0,0.0,0.0,0.0,0.03282163080220035,0.016159724788370022,-0.28459480456582753,-0.001003383152456988
trial_003_ep1_task008,3,8,0.9999,high,3,Safe Min-Latency,24,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trial_003_ep1_task008,3,8,0.9999,high,3,Safe Min-Latency,24,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trial_003_ep1_task008,3,8,0.9999,high,3,Safe Min-Latency,24,10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trial_003_ep1_task008,3,8,0.9999,high,3,Safe Min-Latency,24,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trial_003_ep1_task008,3,8,0.9999,high,3,Safe Min-Latency,24,50,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trial_003_ep1_task008,3,8,0.9999,high,3,Next-best immediate,26,1,1,0.0,0.0,-0.3576471311624152,0.0,0.0,0.0,0.0,0.03264404800542839
trial_003_ep1_task008,3,8,0.9999,high,3,Next-best immediate,26,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002896634066817033
trial_003_ep1_task008,3,8,0.9999,high,3,Next-best immediate,26,10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011785728710762555
trial_003_ep1_task008,3,8,0.9999,high,3,Next-best immediate,26,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006332412447944136
trial_003_ep1_task008,3,8,0.9999,high,3,Next-best immediate,26,50,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002104826599154952
trial_003_ep1_task008,3,8,0.9999,high,3,PPO high probability,27,1,1,0.0,0.0,-0.5035818006208457,0.0,0.0,0.0,0.0,0.04570166720759991
trial_003_ep1_task008,3,8,0.9999,high,3,PPO high probability,27,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004103564927990827
trial_003_ep1_task008,3,8,0.9999,high,3,PPO high probability,27,10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001669644900691325
trial_003_ep1_task008,3,8,0.9999,high,3,PPO high probability,27,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008970917634587572
trial_003_ep1_task008,3,8,0.9999,high,3,PPO high probability,27,50,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00029818376821361126
trial_003_ep1_task008,3,8,0.9999,high,3,PPO sampled,26,1,1,0.0,0.0,-0.3576471311624152,0.0,0.0,0.0,0.0,0.03264404800542839
trial_003_ep1_task008,3,8,0.9999,high,3,PPO sampled,26,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002896634066817033
trial_003_ep1_task008,3,8,0.9999,high,3,PPO sampled,26,10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011785728710762555
trial_003_ep1_task008,3,8,0.9999,high,3,PPO sampled,26,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006332412447944136
trial_003_ep1_task008,3,8,0.9999,high,3,PPO sampled,26,50,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002104826599154952
trial_003_ep1_task009,3,9,0.9,high,28,Safe Min-Latency,5,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trial_003_ep1_task009,3,9,0.9,high,28,Safe Min-Latency,5,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trial_003_ep1_task009,3,9,0.9,high,28,Safe Min-Latency,5,10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trial_003_ep1_task009,3,9,0.9,high,28,Safe Min-Latency,5,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trial_003_ep1_task009,3,9,0.9,high,28,Safe Min-Latency,5,50,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trial_003_ep1_task009,3,9,0.9,high,28,Next-best immediate,11,1,1,0.0,0.0,-0.4526581290501368,-0.4526581290501368,0.0,0.0,0.0,0.013729554598257476
