Episode,Task_ID,R_req,rho,actor_score,actor_probability,oracle_reward
6,4,0.9,0.032109413745201466,2.6571621894836426,0.18165914714336395,43.74889149233469
6,4,0.9,0.04320945834303912,2.664000988006592,0.1826780140399933,43.74889149233469
6,4,0.9,0.05430950294087677,2.670809745788574,0.18369679152965546,43.74889149233469
6,4,0.9,0.06540954753871442,2.6775894165039062,0.18471559882164001,43.74889149233469
6,4,0.9,0.07650959213655206,2.6843390464782715,0.18573424220085144,43.74889149233469
6,4,0.9,0.08760963673438972,2.69105863571167,0.18675263226032257,43.74889149233469
6,4,0.9,0.09870968133222738,2.697749137878418,0.18777090311050415,43.74889149233469
6,4,0.9,0.10980972593006502,2.704409599304199,0.18878883123397827,43.74889149233469
6,4,0.9,0.12090977052790267,2.711040496826172,0.18980640172958374,43.74889149233469
6,4,0.9,0.13200981512574034,2.717641830444336,0.19082365930080414,43.74889149233469
6,4,0.9,0.14310985972357798,2.724213123321533,0.19184039533138275,43.74889149233469
6,4,0.9,0.15420990432141563,2.730754852294922,0.19285663962364197,43.74889149233469
6,4,0.9,0.16530994891925327,2.7372665405273438,0.19387230277061462,43.74889149233469
6,4,0.9,0.17640999351709094,2.743748188018799,0.19488731026649475,43.74889149233469
6,4,0.9,0.18751003811492858,2.7502007484436035,0.19590173661708832,43.74889149233469
6,4,0.9,0.19861008271276623,2.756622791290283,0.19691534340381622,43.74889149233469
6,4,0.9,0.20971012731060387,2.7630152702331543,0.19792822003364563,43.74889149233469
6,4,0.9,0.22081017190844152,2.769378185272217,0.19894027709960938,43.74889149233469
6,4,0.9,0.2319102165062792,2.7757105827331543,0.19995133578777313,43.74889149233469
6,4,0.9,0.24301026110411683,2.7820138931274414,0.20096158981323242,43.74889149233469
6,4,0.9,0.2541103057019545,2.7882866859436035,0.20197075605392456,43.74889149233469
6,4,0.9,0.2652103502997921,2.7945303916931152,0.2029789835214615,43.74889149233469
6,4,0.9,0.27631039489762976,2.800743579864502,0.20398598909378052,43.74889149233469
6,4,0.9,0.2874104394954674,2.80692720413208,0.2049919068813324,43.74889149233469
6,4,0.9,0.29851048409330505,2.8130807876586914,0.2059965878725052,43.74889149233469
6,4,0.9,0.3096105286911427,2.819204807281494,0.20700004696846008,43.74889149233469
6,4,0.9,0.32071057328898034,2.8252992630004883,0.2080022394657135,43.74889149233469
6,4,0.9,0.3318106178868181,2.8313632011413574,0.20900295674800873,43.74889149233469
6,4,0.9,0.34291066248465574,2.837397575378418,0.21000231802463531,43.74889149233469
6,4,0.9,0.3540107070824934,2.84340238571167,0.2110002487897873,43.74889149233469
6,4,0.99,0.021009369147363816,2.5712075233459473,0.18481704592704773,43.74889149233469
6,4,0.99,0.032109413745201466,2.578395366668701,0.1859024316072464,43.74889149233469
6,4,0.99,0.04320945834303912,2.58555269241333,0.18698807060718536,43.74889149233469
6,4,0.99,0.05430950294087677,2.592679977416992,0.1880740076303482,43.74889149233469
6,4,0.99,0.06540954753871442,2.5997772216796875,0.18916015326976776,43.74889149233469
6,4,0.99,0.07650959213655206,2.6068434715270996,0.1902463585138321,43.74889149233469
6,4,0.99,0.08760963673438972,2.6138792037963867,0.19133257865905762,43.74889149233469
6,4,0.99,0.09870968133222738,2.620884895324707,0.1924188733100891,43.74889149233469
6,4,0.99,0.10980972593006502,2.627859592437744,0.19350503385066986,43.74889149233469
6,4,0.99,0.12090977052790267,2.6348042488098145,0.19459113478660583,43.74889149233469
6,4,0.99,0.13200981512574034,2.6417183876037598,0.1956770122051239,43.74889149233469
6,4,0.99,0.14310985972357798,2.648601531982422,0.19676263630390167,43.74889149233469
6,4,0.99,0.15420990432141563,2.655454158782959,0.1978479027748108,43.74889149233469
6,4,0.99,0.16530994891925327,2.662276268005371,0.19893284142017365,43.74889149233469
6,4,0.99,0.17640999351709094,2.6690673828125,0.2000172883272171,43.74889149233469
6,4,0.99,0.18751003811492858,2.675827980041504,0.20110122859477997,43.74889149233469
6,4,0.99,0.19861008271276623,2.682558059692383,0.20218467712402344,43.74889149233469
6,4,0.99,0.20971012731060387,2.6892571449279785,0.203267440199852,43.74889149233469
6,4,0.99,0.22081017190844152,2.695925712585449,0.204349547624588,43.74889149233469
6,4,0.99,0.2319102165062792,2.7025632858276367,0.20543085038661957,43.74889149233469
6,4,0.99,0.24301026110411683,2.709170341491699,0.20651142299175262,43.74889149233469
6,4,0.99,0.2541103057019545,2.7157464027404785,0.20759108662605286,43.74889149233469
6,4,0.99,0.2652103502997921,2.7222914695739746,0.2086697816848755,43.74889149233469
6,4,0.99,0.27631039489762976,2.728806495666504,0.20974764227867126,43.74889149233469
6,4,0.99,0.2874104394954674,2.735290050506592,0.21082434058189392,43.74889149233469
6,4,0.99,0.29851048409330505,2.7417426109313965,0.21189989149570465,43.74889149233469
6,4,0.99,0.3096105286911427,2.748164653778076,0.21297433972358704,43.74889149233469
6,4,0.99,0.32071057328898034,2.754556179046631,0.2140476554632187,43.74889149233469
6,4,0.99,0.3318106178868181,2.7609167098999023,0.2151196300983429,43.74889149233469
6,4,0.99,0.34291066248465574,2.7672457695007324,0.2161901891231537,43.74889149233469
6,4,0.99,0.3540107070824934,2.7735447883605957,0.2172594666481018,43.74889149233469
6,4,0.999,0.021009369147363816,2.4723849296569824,0.18832062184810638,43.74889149233469
6,4,0.999,0.032109413745201466,2.479887008666992,0.18947002291679382,43.74889149233469
6,4,0.999,0.04320945834303912,2.487359046936035,0.19062018394470215,43.74889149233469
6,4,0.999,0.05430950294087677,2.4948010444641113,0.191771000623703,43.74889149233469
6,4,0.999,0.06540954753871442,2.5022120475769043,0.19292229413986206,43.74889149233469
6,4,0.999,0.07650959213655206,2.5095925331115723,0.19407406449317932,43.74889149233469
6,4,0.999,0.08760963673438972,2.5169429779052734,0.19522634148597717,43.74889149233469
6,4,0.999,0.09870968133222738,2.5242624282836914,0.19637887179851532,43.74889149233469
6,4,0.999,0.10980972593006502,2.531550884246826,0.19753164052963257,43.74889149233469
6,4,0.999,0.12090977052790267,2.538809299468994,0.1986847221851349,43.74889149233469
6,4,0.999,0.13200981512574034,2.546036720275879,0.19983789324760437,43.74889149233469
6,4,0.999,0.14310985972357798,2.5532336235046387,0.2009911835193634,43.74889149233469
6,4,0.999,0.15420990432141563,2.5603995323181152,0.20214444398880005,43.74889149233469
