source,Episode,Task_ID,R_req,sampled_action,greedy_action,sampled_regret,greedy_regret,optimal_set_size,top1_hit,top3_hit,top5_hit,optimal_set_probability_mass,uniform_optimal_set_mass,optimal_mass_lift_over_uniform,spearman_logit_reward,kendall_logit_reward,spearman_probability_negative_regret
evaluation,1,87,0.9999,27,27,4.463075475153577,4.463075475153577,1,0,1,1,0.17382073402404785,0.03571428571428571,0.13810644830976215,0.8478379857690203,0.6878306878306878,0.8478379857690203
evaluation,1,93,0.999,27,27,51.583723840730045,51.583723840730045,1,0,1,1,0.17229771614074707,0.03571428571428571,0.13658343042646137,0.8232074438970991,0.656084656084656,0.8232074438970991
evaluation,1,96,0.9,27,27,1.4201192785889418,1.4201192785889418,7,0,1,1,0.43970839865505695,0.25,0.18970839865505695,0.5095312211218882,0.4022828629602581,0.5095312211218882
evaluation,1,98,0.9999,27,27,53.58413967637943,53.58413967637943,4,0,0,1,0.20355711970478296,0.14285714285714285,0.060699976847640114,0.7231067399922855,0.522465728819013,0.7231067399922855
evaluation,1,103,0.99,27,27,0.0,0.0,4,1,1,1,0.42524292320013046,0.14285714285714285,0.2823857803429876,0.7762528440297644,0.6231984995632222,0.7762528440297644
evaluation,1,106,0.9,27,27,0.0,0.0,7,1,1,1,0.539318566210568,0.25,0.28931856621056795,0.6893291490874607,0.5789986267458422,0.6893291490874607
evaluation,1,110,0.9999,27,27,12.021544292238664,12.021544292238664,1,0,1,1,0.16917437314987183,0.03571428571428571,0.13346008743558613,0.8106185002736727,0.6296296296296297,0.8106185002736727
evaluation,1,119,0.9999,27,27,4.343074711991694,4.343074711991694,1,0,1,1,0.17644429206848145,0.03571428571428571,0.14073000635419575,0.8264915161466886,0.6613756613756614,0.8264915161466886
evaluation,1,122,0.99,27,27,35.00836994471056,35.00836994471056,7,0,1,1,0.4454995503183454,0.25,0.19549955031834543,0.47403017824462595,0.3940115041781218,0.47403017824462595
evaluation,1,124,0.9,27,27,7.683229616918801,7.683229616918801,7,0,1,1,0.4461535378359258,0.25,0.19615353783592582,0.4200033764945013,0.32676160123280207,0.4200033764945013
evaluation,1,125,0.999,27,27,5.774705374634927,5.774705374634927,3,0,1,1,0.38153254985809326,0.10714285714285714,0.2743896927152361,0.8258489737875683,0.6401113218879753,0.8258489737875683
evaluation,1,135,0.999,27,27,0.0,0.0,2,1,1,1,0.3634924590587616,0.07142857142857142,0.2920638876301902,0.8320788363127282,0.6649012454730381,0.8320788363127282
