Episode,sampled_78_frequency,greedy_78_frequency,mean_78_probability,mean_78_advantage_when_selected,positive_78_advantage_fraction
30,0.04,0.0,0.04200969463214278,0.7290580961853266,0.75
31,0.025,0.0,0.04212239710614085,0.2739179604221135,0.8
32,0.035,0.0,0.042162987813353536,0.3323777552161898,0.7142857142857143
33,0.035,0.0,0.042519546095281836,-0.041038168328148945,0.5714285714285714
34,0.05,0.005,0.043029847610741856,-0.15307778716087342,0.5
35,0.02,0.0,0.043206208627671,0.35564110428094864,0.5
36,0.04,0.01,0.04354543928056955,0.3014825191348791,0.5
37,0.055,0.015,0.04367994327098131,-0.012100622057914734,0.6363636363636364
38,0.045,0.01,0.04353860691189766,0.11367490059799618,0.6666666666666666
39,0.04,0.0,0.04350452886894345,0.36078596767038107,0.875
40,0.025,0.005,0.04378420708701015,0.08679894208908082,0.6
41,0.045,0.005,0.04408593339845538,-0.40808652796679074,0.4444444444444444
42,0.045,0.01,0.044188679419457914,0.03852719234095679,0.5555555555555556
43,0.03,0.0,0.04424108784645796,0.6367028756067157,0.6666666666666666
44,0.055,0.005,0.04465055884793401,0.04799808290871707,0.45454545454545453
45,0.055,0.0,0.04492996664717794,0.45829098603942175,0.7272727272727273
46,0.025,0.005,0.044986726120114326,0.06226922869682312,0.6
47,0.03,0.0,0.04508534502238035,0.04238948225975033,0.5
48,0.03,0.0,0.045299029462039474,0.41886042058467865,0.6666666666666666
49,0.03,0.0,0.045531177520751955,-0.08758907020092015,0.5
50,0.04,0.0,0.045831960886716844,0.5209240969270468,0.75
51,0.055,0.005,0.046380633115768434,0.23391048813408072,0.6363636363636364
52,0.05,0.0,0.04700012205168605,0.13536207964643837,0.4
53,0.05,0.0,0.047312729451805355,-0.11766099240630865,0.4
54,0.04,0.0,0.04772597135975957,-0.08393924683332443,0.5
55,0.075,0.02,0.04822096321731806,0.07720308701197307,0.5333333333333333
56,0.03,0.01,0.04843372346833348,0.3390990247329076,0.8333333333333334
57,0.08,0.02,0.04873062336817384,0.40169623447582126,0.5625
58,0.05,0.01,0.04916190929710865,0.2528595842421055,0.5
59,0.03,0.03,0.04948811503127217,0.7714159662524859,1.0
60,0.055,0.055,0.05002114223316312,0.4599309462037953,0.5454545454545454
61,0.075,0.075,0.050729160085320475,0.500207620114088,0.6666666666666666
62,0.045,0.095,0.05103317968547344,0.1654929518699646,0.5555555555555556
63,0.035,0.07,0.051307109799236056,0.7664819363770741,1.0
64,0.06,0.03,0.051629493907094,0.4297970247765382,0.5
65,0.04,0.105,0.05187220426276326,0.09967077430337665,0.625
66,0.04,0.085,0.052265341635793446,0.6036098407348618,0.875
67,0.05,0.1,0.05266990749165416,-0.05160915553569789,0.7
68,0.025,0.08,0.05276113502681255,0.8788407146930695,0.8
69,0.06,0.1,0.053343347776681184,0.4679092463726799,0.5833333333333334
70,0.05,0.075,0.05376596502959728,-0.11491007581353188,0.5
71,0.05,0.12,0.05403865987434983,0.35859627202153205,0.7
72,0.065,0.135,0.05427312584593892,0.14487794156257922,0.5384615384615384
73,0.07,0.07,0.054265343360602854,0.2607166884200914,0.5714285714285714
74,0.06,0.065,0.054494949355721474,-0.09466164062420529,0.5833333333333334
75,0.055,0.06,0.05459158213809132,0.4257699373093518,0.7272727272727273
76,0.07,0.06,0.05534092565998435,0.04110498872718641,0.5
77,0.055,0.065,0.05611323794350028,-0.08300145753574642,0.45454545454545453
78,0.07,0.06,0.05655304752290249,0.1539028212428093,0.5
79,0.05,0.04,0.05698990099132061,0.22033733278512954,0.5
80,0.075,0.04,0.058030348587781194,0.1974676915754875,0.4666666666666667
81,0.05,0.06,0.05868632504716516,0.5529474586248397,0.7
82,0.075,0.04,0.05907002536579967,-0.049951141575972226,0.4
83,0.07,0.07,0.059223203882575036,0.3437228245394571,0.7142857142857143
84,0.065,0.075,0.06033941436558962,0.15151261681547532,0.46153846153846156
85,0.045,0.09,0.061132957451045515,-0.3483407851308584,0.3333333333333333
86,0.06,0.055,0.06170790106058121,0.23815424491961798,0.5833333333333334
87,0.105,0.11,0.06222125543281436,0.14302890304298627,0.5714285714285714
88,0.07,0.055,0.06235824724659324,0.2852547158088003,0.5
89,0.055,0.065,0.06257714163511992,-0.019772157750346443,0.6363636363636364
90,0.1,0.09,0.06276268921792508,-0.16424704492092135,0.5
91,0.025,0.025,0.06249622944742441,0.39165353775024425,0.6
