Episode,Task_ID,R_req,action_index,pair,oracle_reward,oracle_regret,actor_logit,actor_probability,oracle_optimal
1,1,0.99,23,"(5, 7)",76.2171290764531,23.01811845878167,1.666908621788025,0.057145822793245316,False
1,1,0.99,24,"(5, 8)",76.2171290764531,23.01811845878167,1.5026227235794067,0.048488203436136246,False
1,1,0.99,25,"(6, 7)",97.9077836888554,1.3274638463793735,2.7434630393981934,0.16769734025001526,False
1,1,0.99,26,"(6, 8)",97.9077836888554,1.3274638463793735,2.676372528076172,0.1568155586719513,False
1,1,0.99,27,"(7, 8)",61.13289440733028,38.1023531279045,2.866971969604492,0.18974284827709198,False
1,3,0.9999,0,"(1, 2)",-17.978049026874594,128.30054901121068,-2.3818259239196777,0.0014959636610001326,False
1,3,0.9999,1,"(1, 3)",-13.173272154772777,123.49577213910887,-2.302544593811035,0.001619393820874393,False
1,3,0.9999,2,"(1, 4)",-12.411420660606398,122.73392064494249,-2.033182144165039,0.002119996352121234,False
1,3,0.9999,3,"(1, 5)",-18.325704967613703,128.6482049519498,-2.0345964431762695,0.002117000287398696,False
1,3,0.9999,4,"(1, 6)",-7.399023646044233,117.72152363038032,-1.8371690511703491,0.0025790659710764885,False
1,3,0.9999,5,"(1, 7)",-7.097494324344103,117.41999430868019,-1.5595647096633911,0.003404274582862854,False
1,3,0.9999,6,"(1, 8)",-12.791372065044536,123.11387204938063,-1.651009202003479,0.0031067817471921444,False
1,3,0.9999,7,"(2, 3)",-10.829604323734056,121.15210430807015,-1.5238021612167358,0.003528222441673279,False
1,3,0.9999,8,"(2, 4)",-10.067752829567677,120.39025281390377,-0.6972460746765137,0.008063522167503834,False
1,3,0.9999,9,"(2, 5)",-15.895205021621718,126.21770500595781,-1.478507161140442,0.003691708669066429,False
1,3,0.9999,10,"(2, 6)",-5.055355815005512,115.3778557993416,-0.6332889795303345,0.008596091531217098,False
1,3,0.9999,11,"(2, 7)",-4.154420168902483,114.47692015323858,-0.3741533160209656,0.011138895526528358,False
1,3,0.9999,12,"(2, 8)",-9.848297909602916,120.17079789393901,-0.5423377752304077,0.009414571337401867,False
1,3,0.9999,13,"(3, 4)",-5.262975957465863,115.58547594180196,-0.5302224159240723,0.009529327042400837,False
1,3,0.9999,14,"(3, 5)",-11.090428149519905,121.412928133856,-0.8911486864089966,0.006642230786383152,False
1,3,0.9999,15,"(3, 6)",110.32249998433609,0.0,-0.3943437933921814,0.010916250757873058,True
1,3,0.9999,16,"(3, 7)",91.9569436160262,18.365556368309896,-0.04095901548862457,0.015543418936431408,False
1,3,0.9999,17,"(3, 8)",-5.043521037501103,115.3660210218372,-0.20903044939041138,0.013138752430677414,False
1,3,0.9999,18,"(4, 5)",-10.328576655353526,120.65107663968962,0.2998192012310028,0.021854694932699203,False
1,3,0.9999,19,"(4, 6)",110.32249998433609,0.0,1.151598572731018,0.051223330199718475,True
1,3,0.9999,20,"(4, 7)",108.89449966658962,1.4280003177464664,1.6871801614761353,0.0875120609998703,False
1,3,0.9999,21,"(4, 8)",-4.281669543334726,114.60416952767082,1.1511269807815552,0.05119917541742325,False
1,3,0.9999,22,"(5, 6)",-5.316179640791362,115.63867962512745,0.9107397794723511,0.04025910794734955,False
1,3,0.9999,23,"(5, 7)",-4.502076109641595,114.82457609397768,1.2127569913864136,0.05445384234189987,False
1,3,0.9999,24,"(5, 8)",-10.195953850342029,120.51845383467813,1.0248457193374634,0.04512526094913483,False
1,3,0.9999,25,"(6, 7)",110.32249998433609,0.0,2.366466999053955,0.17261497676372528,True
1,3,0.9999,26,"(6, 8)",110.32249998433609,0.0,2.281893730163574,0.15861664712429047,True
1,3,0.9999,27,"(7, 8)",74.20659203423939,36.1159079500967,2.516195297241211,0.20049549639225006,False
1,4,0.9,0,"(1, 2)",27.14991906741584,12.52514861210383,-2.1441521644592285,0.0015457830158993602,False
