episode,tasks,mean_reward,mean_latency,mean_safe_set_size,empty_safe_set_rate,feasibility_rate,conditional_rsr,overall_rsr,avoidable_violation_count,unavoidable_violation_count,mean_masked_entropy,pair_78_frequency,pair_selection_hhi
19,200,62.01985469854927,2.0654584323124645,19.265,0.005,0.995,1.0,0.995,0,1,2.5715108427405355,0.185,0.06695000000000001
20,200,61.67691400704565,2.0054903017387007,19.99,0.02,0.98,1.0,0.98,0,4,2.728163946866989,0.105,0.048750000000000016
21,200,62.26767659004827,1.9949757016738936,20.9,0.005,0.995,1.0,0.995,0,1,2.8166328740119932,0.115,0.05995000000000002
22,200,60.78865870808721,2.115076340497489,20.725,0.0,1.0,1.0,1.0,0,0,2.861958928108215,0.09,0.04865000000000001
23,200,61.756723013774156,2.03341208745338,20.99,0.0,1.0,1.0,1.0,0,0,2.864494575858116,0.07,0.047000000000000014
24,200,61.415642054400784,2.0889579272451506,23.93,0.0,1.0,1.0,1.0,0,0,3.1190450274944306,0.05,0.04165
25,200,59.26115419788133,2.0272780344529804,16.915,0.06,0.94,1.0,0.94,0,12,2.3984500485658646,0.08,0.07694999999999999
26,200,61.43939882129864,2.086576878574123,21.355,0.0,1.0,1.0,1.0,0,0,2.845854847729206,0.04,0.04710000000000002
27,200,60.497585966085715,2.1550056391639174,25.555,0.0,1.0,1.0,1.0,0,0,3.2192226803302764,0.075,0.046250000000000006
28,200,62.51854898765512,2.04054209391814,22.955,0.0,1.0,1.0,1.0,0,0,2.9844297310709953,0.055,0.05
29,200,62.514579678762075,2.027535053582734,21.265,0.005,0.995,1.0,0.995,0,1,2.8472885370254515,0.045,0.050850000000000006
30,200,59.29665813170475,2.152480747566488,23.12,0.02,0.98,1.0,0.98,0,4,2.939358352124691,0.055,0.04880000000000001
31,200,62.27912220346994,2.0417061622714305,23.86,0.0,1.0,1.0,1.0,0,0,3.103333984017372,0.03,0.04470000000000002
32,200,60.81081239941805,2.1003873571044736,23.975,0.0,1.0,1.0,1.0,0,0,3.0997342365980147,0.03,0.042900000000000015
33,200,62.42741657705855,2.0360719821058484,21.09,0.005,0.995,1.0,0.995,0,1,2.842406913638115,0.08,0.04415000000000001
34,200,62.06989782108665,2.0514131386026886,22.82,0.0,1.0,1.0,1.0,0,0,3.01135869204998,0.065,0.044350000000000014
35,200,59.61582550862955,2.1552845715386075,25.63,0.0,1.0,1.0,1.0,0,0,3.218857705593109,0.025,0.0418
36,200,61.437855650495585,2.055867227869367,23.31,0.0,1.0,1.0,1.0,0,0,3.043872799873352,0.075,0.04690000000000001
37,200,57.02499971878174,2.060906431685583,18.595,0.09,0.91,1.0,0.91,0,18,2.545193180143833,0.215,0.07739999999999998
38,200,52.3013140367782,2.093915349890916,16.91,0.165,0.835,1.0,0.835,0,33,2.3034662985801697,0.065,0.09905000000000003
39,200,62.36189409547003,2.0203607819208855,20.075,0.0,1.0,1.0,1.0,0,0,2.7559812542796136,0.065,0.054700000000000006
40,200,56.21220738017773,2.0955809657152726,21.835,0.09,0.91,1.0,0.91,0,18,2.783706774711609,0.025,0.059650000000000016
41,200,60.69719636118068,2.1178005781433002,21.44,0.0,1.0,1.0,1.0,0,0,2.8970368349552156,0.045,0.04625
42,200,61.23678585542703,2.0902148108200365,22.825,0.0,1.0,1.0,1.0,0,0,2.974366144835949,0.07,0.043250000000000004
43,200,52.64553640449913,1.9982469792717028,17.28,0.165,0.835,1.0,0.835,0,33,2.3875051766633986,0.24,0.08495000000000001
44,200,61.100055572025305,2.0656912600297956,23.375,0.0,1.0,1.0,1.0,0,0,3.0515741407871246,0.065,0.041950000000000015
45,200,60.57010882389896,2.1056225348072375,21.145,0.0,1.0,1.0,1.0,0,0,2.930823717713356,0.07,0.046550000000000015
46,200,50.95643179945275,2.0397193636400566,18.915,0.18,0.82,1.0,0.82,0,36,2.414962773025036,0.03,0.09215000000000002
47,200,60.84642115950786,2.1045433969718768,20.565,0.0,1.0,1.0,1.0,0,0,2.8086994993686676,0.065,0.05160000000000001
