state_id,trial_id,task_id,requirement,load_tertile,safe_set_size,reference_action,alternative_action,initial_peak_queue_difference_seconds,peak_step,half_life_50_steps,half_life_25_steps,half_life_10_steps,right_censored
trial_000_ep1_task014,0,14,0.9,high,28,3,18,0.5385466527280407,1,2.0,2.0,2.0,False
trial_000_ep1_task014,0,14,0.9,high,28,3,19,1.375058103547377,1,2.0,2.0,2.0,False
trial_000_ep1_task014,0,14,0.9,high,28,3,20,1.3227705218480308,1,2.0,2.0,2.0,False
trial_000_ep1_task014,0,14,0.9,high,28,3,21,0.9414600746755664,1,2.0,2.0,2.0,False
trial_000_ep1_task014,0,14,0.9,high,28,3,22,0.33686598045913296,1,2.0,2.0,2.0,False
trial_000_ep1_task014,0,14,0.9,high,28,3,23,0.28457839875978674,1,2.0,2.0,2.0,False
trial_000_ep1_task014,0,14,0.9,high,28,3,24,0.09673204841267768,1,2.0,2.0,2.0,False
trial_000_ep1_task014,0,14,0.9,high,28,3,25,1.121089849579124,1,2.0,2.0,2.0,False
trial_000_ep1_task014,0,14,0.9,high,28,3,26,0.7397794024066595,1,2.0,2.0,2.0,False
trial_000_ep1_task014,0,14,0.9,high,28,3,27,0.6874918207073133,1,2.0,2.0,2.0,False
trial_000_ep1_task015,0,15,0.999,high,24,14,2,0.0,1,,,,False
trial_000_ep1_task015,0,15,0.999,high,24,14,4,0.0,1,,,,False
trial_000_ep1_task015,0,15,0.999,high,24,14,5,0.0,1,,,,False
trial_000_ep1_task015,0,15,0.999,high,24,14,6,0.0,1,,,,False
trial_000_ep1_task015,0,15,0.999,high,24,14,7,0.0,1,,,,False
trial_000_ep1_task015,0,15,0.999,high,24,14,8,0.0,1,,,,False
trial_000_ep1_task015,0,15,0.999,high,24,14,10,0.0,1,,,,False
trial_000_ep1_task015,0,15,0.999,high,24,14,11,0.0,1,,,,False
trial_000_ep1_task015,0,15,0.999,high,24,14,12,0.0,1,,,,False
trial_000_ep1_task015,0,15,0.999,high,24,14,13,0.0,1,,,,False
trial_000_ep1_task015,0,15,0.999,high,24,14,15,0.0,1,,,,False
trial_000_ep1_task015,0,15,0.999,high,24,14,16,0.0,1,,,,False
trial_000_ep1_task015,0,15,0.999,high,24,14,17,0.0,1,,,,False
trial_000_ep1_task015,0,15,0.999,high,24,14,18,0.0,1,,,,False
trial_000_ep1_task015,0,15,0.999,high,24,14,19,0.0,1,,,,False
trial_000_ep1_task015,0,15,0.999,high,24,14,20,0.0,1,,,,False
trial_000_ep1_task015,0,15,0.999,high,24,14,21,0.0,1,,,,False
trial_000_ep1_task015,0,15,0.999,high,24,14,22,0.0,1,,,,False
trial_000_ep1_task015,0,15,0.999,high,24,14,23,0.0,1,,,,False
trial_000_ep1_task015,0,15,0.999,high,24,14,24,0.0,1,,,,False
trial_000_ep1_task015,0,15,0.999,high,24,14,25,0.0,1,,,,False
trial_000_ep1_task015,0,15,0.999,high,24,14,26,0.0,1,,,,False
trial_000_ep1_task015,0,15,0.999,high,24,14,27,0.0,1,,,,False
trial_000_ep1_task016,0,16,0.99,low,28,5,0,0.0,1,,,,False
trial_000_ep1_task016,0,16,0.99,low,28,5,1,0.0,1,,,,False
trial_000_ep1_task016,0,16,0.99,low,28,5,2,0.0,1,,,,False
trial_000_ep1_task016,0,16,0.99,low,28,5,3,0.0,1,,,,False
trial_000_ep1_task016,0,16,0.99,low,28,5,4,0.0,1,,,,False
trial_000_ep1_task016,0,16,0.99,low,28,5,6,0.0,1,,,,False
trial_000_ep1_task016,0,16,0.99,low,28,5,7,0.0,1,,,,False
trial_000_ep1_task016,0,16,0.99,low,28,5,8,0.0,1,,,,False
trial_000_ep1_task016,0,16,0.99,low,28,5,9,0.0,1,,,,False
trial_000_ep1_task016,0,16,0.99,low,28,5,10,0.0,1,,,,False
trial_000_ep1_task016,0,16,0.99,low,28,5,11,0.0,1,,,,False
trial_000_ep1_task016,0,16,0.99,low,28,5,12,0.0,1,,,,False
trial_000_ep1_task016,0,16,0.99,low,28,5,13,0.0,1,,,,False
trial_000_ep1_task016,0,16,0.99,low,28,5,14,0.0,1,,,,False
trial_000_ep1_task016,0,16,0.99,low,28,5,15,0.0,1,,,,False
trial_000_ep1_task016,0,16,0.99,low,28,5,16,0.0,1,,,,False
trial_000_ep1_task016,0,16,0.99,low,28,5,17,0.0,1,,,,False
trial_000_ep1_task016,0,16,0.99,low,28,5,18,0.0,1,,,,False
trial_000_ep1_task016,0,16,0.99,low,28,5,19,0.0,1,,,,False
trial_000_ep1_task016,0,16,0.99,low,28,5,20,0.0,1,,,,False
trial_000_ep1_task016,0,16,0.99,low,28,5,21,0.0,1,,,,False
trial_000_ep1_task016,0,16,0.99,low,28,5,22,0.0,1,,,,False
trial_000_ep1_task016,0,16,0.99,low,28,5,23,0.0,1,,,,False
trial_000_ep1_task016,0,16,0.99,low,28,5,24,0.0,1,,,,False
trial_000_ep1_task016,0,16,0.99,low,28,5,25,0.0,1,,,,False
