trial_id,policy,metric,old_value,rerun_value,absolute_diff,match
0,Safe Min-Latency,pair_selection_entropy,2.711369778210285,2.711369778210285,0.0,True
1,Safe Min-Latency,pair_selection_entropy,2.721474662941847,2.721474662941847,0.0,True
2,Safe Min-Latency,pair_selection_entropy,2.7438960070657386,2.7438960070657386,0.0,True
3,Safe Min-Latency,pair_selection_entropy,2.7256097360057936,2.7256097360057936,0.0,True
4,Safe Min-Latency,pair_selection_entropy,2.749915754813114,2.749915754813114,0.0,True
5,Safe Min-Latency,pair_selection_entropy,2.705820331374136,2.705820331374136,0.0,True
6,Safe Min-Latency,pair_selection_entropy,2.727893571820084,2.727893571820084,0.0,True
7,Safe Min-Latency,pair_selection_entropy,2.7449016869118275,2.7449016869118275,0.0,True
8,Safe Min-Latency,pair_selection_entropy,2.719119760540863,2.719119760540863,0.0,True
9,Safe Min-Latency,pair_selection_entropy,2.728151797872141,2.728151797872141,0.0,True
0,Safe Min-Latency,top1_pair_frequency,0.1755,0.1755,0.0,True
1,Safe Min-Latency,top1_pair_frequency,0.163,0.163,0.0,True
2,Safe Min-Latency,top1_pair_frequency,0.17825,0.17825,0.0,True
3,Safe Min-Latency,top1_pair_frequency,0.15925,0.15925,0.0,True
4,Safe Min-Latency,top1_pair_frequency,0.1605,0.1605,0.0,True
5,Safe Min-Latency,top1_pair_frequency,0.18225,0.18225,0.0,True
6,Safe Min-Latency,top1_pair_frequency,0.1745,0.1745,0.0,True
7,Safe Min-Latency,top1_pair_frequency,0.15875,0.15875,0.0,True
8,Safe Min-Latency,top1_pair_frequency,0.1685,0.1685,0.0,True
9,Safe Min-Latency,top1_pair_frequency,0.1565,0.1565,0.0,True
0,Safe Min-Latency,unique_selected_pairs,27.0,27.0,0.0,True
1,Safe Min-Latency,unique_selected_pairs,25.0,25.0,0.0,True
2,Safe Min-Latency,unique_selected_pairs,27.0,27.0,0.0,True
3,Safe Min-Latency,unique_selected_pairs,27.0,27.0,0.0,True
4,Safe Min-Latency,unique_selected_pairs,27.0,27.0,0.0,True
5,Safe Min-Latency,unique_selected_pairs,26.0,26.0,0.0,True
6,Safe Min-Latency,unique_selected_pairs,26.0,26.0,0.0,True
7,Safe Min-Latency,unique_selected_pairs,25.0,25.0,0.0,True
8,Safe Min-Latency,unique_selected_pairs,26.0,26.0,0.0,True
9,Safe Min-Latency,unique_selected_pairs,27.0,27.0,0.0,True
0,Safe Min-Latency,pair_78_frequency,0.1755,0.1755,0.0,True
1,Safe Min-Latency,pair_78_frequency,0.163,0.163,0.0,True
2,Safe Min-Latency,pair_78_frequency,0.17825,0.17825,0.0,True
3,Safe Min-Latency,pair_78_frequency,0.15925,0.15925,0.0,True
4,Safe Min-Latency,pair_78_frequency,0.1605,0.1605,0.0,True
5,Safe Min-Latency,pair_78_frequency,0.18225,0.18225,0.0,True
6,Safe Min-Latency,pair_78_frequency,0.1745,0.1745,0.0,True
7,Safe Min-Latency,pair_78_frequency,0.15875,0.15875,0.0,True
8,Safe Min-Latency,pair_78_frequency,0.1685,0.1685,0.0,True
9,Safe Min-Latency,pair_78_frequency,0.1565,0.1565,0.0,True
0,Safe Min-Latency,maximum_server_selection_share,0.298125,0.298125,0.0,True
1,Safe Min-Latency,maximum_server_selection_share,0.294125,0.294125,0.0,True
2,Safe Min-Latency,maximum_server_selection_share,0.29125,0.29125,0.0,True
3,Safe Min-Latency,maximum_server_selection_share,0.29675,0.29675,0.0,True
4,Safe Min-Latency,maximum_server_selection_share,0.296375,0.296375,0.0,True
5,Safe Min-Latency,maximum_server_selection_share,0.29275,0.29275,0.0,True
6,Safe Min-Latency,maximum_server_selection_share,0.299125,0.299125,0.0,True
7,Safe Min-Latency,maximum_server_selection_share,0.29675,0.29675,0.0,True
8,Safe Min-Latency,maximum_server_selection_share,0.29775,0.29775,0.0,True
9,Safe Min-Latency,maximum_server_selection_share,0.292625,0.292625,0.0,True
0,Safe Min-Latency,maximum_server_utilization,0.3856139139336006,0.3856139139336006,0.0,True
1,Safe Min-Latency,maximum_server_utilization,0.3962511036142336,0.3962511036142336,0.0,True
