trial_id,policy,tasks,mean_reward,mean_latency,p50_latency,p90_latency,p95_latency,overall_rsr,highest_rsr,feasibility_rate,conditional_rsr,conditional_rsr_defined,avoidable_violation_count,avoidable_violation_rate,unavoidable_violation_count,unavoidable_violation_rate,mean_selected_reliability_deficit,p95_selected_reliability_deficit,mean_best_achievable_deficit,p95_best_achievable_deficit,mean_safe_set_size,pair_selection_hhi,pair_selection_entropy,top1_pair_frequency,unique_selected_pairs,pair_78_frequency,maximum_server_selection_share,maximum_server_utilization,maximum_mean_queue_length,maximum_p95_queue_length,mean_server_waiting_time
5,Pair PPO greedy,4000,47.61914718545537,2.940840235326727,2.5139665060619905,5.435366815141486,6.515638334001162,0.9455,0.785,0.9715,0.9732372619660319,True,104,0.02676273803396809,114,0.0285,8.290669641534465e-06,6.777528097190455e-06,2.6877917574337495e-06,0.0,21.52125,0.964648,0.0901499225359206,0.982,2,0.982,0.5,0.6996785567884813,0.8200535473055824,3.0,0.40670814663682187
6,Pair PPO greedy,4000,46.961626429067614,3.178282403776399,2.663496248548906,6.014430540147275,7.271924682754443,0.9685,0.874,0.97525,0.9930786977698026,True,27,0.006921302230197385,99,0.02475,3.6802939826610094e-06,0.0,1.9934967018713223e-06,0.0,21.96725,0.9990005000000002,0.004300326208932443,0.9995,2,0.9995,0.5,0.7171432726193842,1.1025602093144662,5.0,0.5205932181836711
7,Pair PPO greedy,4000,50.7771819390015,2.6943250003781305,2.477315121824347,4.6263030800426055,5.365566393428573,0.9725,0.89,0.9875,0.9848101265822785,True,60,0.015189873417721518,50,0.0125,3.610466038451804e-06,0.0,9.017043428108384e-07,0.0,22.172,0.8828125,0.2337916587064593,0.9375,2,0.9375,0.5,0.6695632038986924,0.7436787165175662,4.0,0.3814763448554164
8,Pair PPO greedy,4000,43.81526411944121,3.656143340043991,2.721463263875364,7.321122438725222,9.565942159355865,0.948,0.812,0.96625,0.9811125485122898,True,73,0.01888745148771022,135,0.03375,1.8978584826624513e-05,7.005556538813474e-06,7.6154063505143865e-06,0.0,21.60325,0.9670611249999999,0.08510565898365231,0.98325,2,0.98325,0.5,0.7113473864663846,1.461436704124992,6.0,0.6405710003058097
9,Pair PPO greedy,4000,46.36595623520985,3.22214289679334,2.706958231932756,5.900025134238786,7.443986297146878,0.96375,0.855,0.98975,0.9737307400858802,True,104,0.026269259914119727,41,0.01025,3.6338854009231867e-06,0.0,2.4919965617503645e-07,0.0,22.111,1.0,-0.0,1.0,1,1.0,0.5,0.724642118386456,1.1439363130189135,5.0,0.47788730032724186
0,Pair PPO stochastic,4000,53.764927480975395,1.9911443475567876,1.9556495884978489,3.076342572223071,3.539821388471637,0.84725,0.487,0.95675,0.885550039195192,True,438,0.11444996080480795,173,0.04325,0.00014616842816440813,0.0006722094411932931,4.73568593934659e-06,0.0,20.9215,0.113116625,2.520606465561594,0.193,28,0.193,0.27275,0.4002257631599383,0.1683873588459077,1.0,0.2631171717137322
1,Pair PPO stochastic,4000,57.428466932838624,1.9809053772348635,1.9357775718169279,3.0714846988049973,3.524480238826699,0.8995,0.644,0.97425,0.9232743135745445,True,299,0.07672568642545548,103,0.02575,7.751466467208543e-05,0.0001956072137799671,1.5852536645366567e-06,0.0,21.58975,0.131292,2.3957730644208795,0.2415,28,0.2415,0.27925,0.4226768773175623,0.1629151582898909,1.0,0.2422259436575126
2,Pair PPO stochastic,4000,56.15118427603312,1.9702500458814447,1.9360494390307397,3.022595157247005,3.5395020836591584,0.8775,0.574,0.9575,0.9164490861618799,True,320,0.0835509138381201,170,0.0425,8.453014131843728e-05,0.00030251076045839594,4.157306232136893e-06,0.0,20.92725,0.12620712499999998,2.4136768373560415,0.2405,28,0.2405,0.287125,0.3960836154021075,0.1329154695489821,1.0,0.24109367075394647
3,Pair PPO stochastic,4000,56.54505192979441,2.0291284313581355,1.964890229284464,3.1351138162918915,3.6984855274166235,0.89425,0.606,0.9655,0.9262040393578457,True,285,0.07379596064215432,138,0.0345,5.1944545023589414e-05,0.00019001330204881367,2.391147391724302e-06,0.0,21.56875,0.1462905,2.2960014107822713,0.26375,28,0.26375,0.300375,0.4402210322867764,0.2173202828127294,1.0,0.2843268501187944
4,Pair PPO stochastic,4000,58.43404026547946,1.997927270745649,1.934708018141059,3.1167139284218024,3.5665979778674455,0.91575,0.69,0.983,0.931586978636826,True,269,0.06841302136317395,68,0.017,4.039717652095165e-05,0.00010793267429017279,8.170143862480383e-07,0.0,22.13625,0.127303375,2.4165085619583455,0.24025,28,0.24025,0.2785,0.3988079037564591,0.1357082931327773,1.0,0.27329377261588256
